"V1","V2","V3","V4"
26,35,56,61
17,64,75,87
5,39,52,69
8,32,39,85
8,35,61,75
5,56,69,92
15,47,68,98
20,73,76,99
23,25,60,90
15,47,64,97
1,2,17,98
35,39,61,93
5,8,69,97
1,15,16,64
16,37,52,64
3,30,47,63
7,48,81,93
7,8,22,74
20,55,95,96
1,3,48,67
9,62,67,81
7,17,63,76
22,35,50,61
9,40,67,74
30,55,70,71
11,17,32,60
35,61,93,97
1,42,60,90
16,64,81,99
21,58,64,81
16,23,66,75
67,86,94,95
2,25,44,76
34,66,68,93
25,26,38,90
3,10,69,74
37,42,77,89
47,55,56,76
29,35,59,61
25,38,78,90
20,81,87,99
2,25,48,64
7,17,66,75
67,81,87,95
8,25,66,91
14,16,50,86
38,54,61,83
9,25,44,47
11,17,55,71
14,25,76,82
1,52,61,66
32,43,44,85
21,39,70,76
2,30,54,55
8,72,74,83
29,42,67,86
21,25,74,75
12,68,86,98
15,34,74,92
40,74,87,98
12,38,67,68
14,34,38,82
28,66,67,81
20,21,28,42
52,55,66,68
6,7,64,99
5,33,69,93
14,16,37,89
14,55,82,90
9,29,34,71
23,48,55,67
24,43,93,98
14,28,47,81
48,55,60,62
9,17,20,42
7,31,47,95
55,64,66,82
14,21,25,28
7,37,84,95
3,60,67,95
16,44,47,64
16,60,77,98
23,25,30,71
32,62,63,85
9,20,42,50
35,61,68,77
7,50,92,95
19,74,87,98
34,75,76,90
7,14,40,81
16,39,64,99
29,35,61,75
25,30,44,71
40,48,90,98
7,60,90,92
38,69,82,83
2,28,42,83
7,14,52,86
24,87,94,97
7,70,76,91
12,20,32,60
29,42,86,89
24,88,93,98
37,47,77,89
34,50,55,76
8,9,15,67
47,81,89,99
5,7,40,90
2,25,66,68
32,77,85,96
7,31,56,74
8,61,65,66
20,72,81,95
16,30,44,64
34,37,71,93
6,69,74,95
27,64,81,90
5,29,39,69
2,20,28,81
81,82,89,90
27,55,86,93
46,64,81,90
11,21,56,64
7,29,66,96
8,47,60,98
3,71,83,100
20,21,46,81
2,5,46,81
35,61,75,77
29,32,85,92
34,38,81,82
8,32,79,85
29,32,33,85
9,47,89,93
10,32,60,62
5,69,70,91
12,21,22,64
58,69,74,97
28,83,87,100
15,34,38,68
35,59,61,77
7,15,37,38
2,14,25,82
33,38,69,77
2,38,70,98
5,33,44,69
32,39,44,85
32,40,42,48
19,34,62,83
37,62,66,81
7,15,23,64
32,84,85,93
47,64,81,82
23,45,55,76
21,34,82,98
42,51,89,99
34,81,86,90
7,9,20,94
34,40,60,90
4,7,89,95
25,71,86,94
32,36,50,85
20,21,28,81
2,14,25,37
10,17,74,98
16,53,66,93
8,35,61,75
32,56,60,78
1,29,64,81
37,44,47,55
9,20,23,42
35,52,61,96
15,27,76,83
39,61,66,77
7,29,68,74
24,69,75,81
6,23,74,87
4,5,34,44
54,67,87,95
55,76,92,93
9,20,42,52
7,71,79,95
46,55,64,95
15,55,79,94
9,67,70,99
25,30,71,90
53,74,87,98
47,96,98,99
30,44,87,89
16,25,64,84
33,34,38,90
13,15,47,64
11,20,42,99
37,52,55,71
3,32,38,63
8,9,83,87
35,61,70,75
24,73,87,98
47,89,92,99
59,83,87,95
63,69,82,98
12,35,61,75
29,37,60,69
56,74,96,98
8,32,85,92
9,20,42,50
12,32,78,85
48,69,77,83
17,34,86,87
7,33,58,66
5,34,52,92
44,60,67,71
1,47,64,81
31,81,87,89
7,14,28,97
20,38,42,96
3,34,71,86
2,25,26,38
14,30,56,67
8,30,42,71
1,40,55,76
20,47,55,82
16,29,76,96
2,26,29,89
32,53,70,85
7,14,37,58
34,59,76,90
42,43,64,87
12,16,34,37
17,21,37,81
39,42,71,94
38,39,44,67
21,68,83,95
4,20,61,95
14,30,34,56
34,48,81,93
29,33,69,74
14,16,81,82
5,22,62,69
2,28,81,89
24,84,87,98
7,17,63,74
24,62,91,98
35,59,61,62
17,35,61,68
5,11,62,69
6,38,52,55
3,60,67,68
14,16,40,74
2,4,66,81
5,7,39,58
3,42,71,79
4,25,38,90
83,86,90,95
19,34,76,99
12,35,39,61
30,34,43,71
14,19,37,47
2,81,82,89
14,17,42,65
9,25,34,90
4,81,82,89
7,15,30,87
20,29,55,88
35,58,59,61
1,20,28,89
2,25,71,73
55,65,81,95
42,66,70,79
13,21,89,99
2,14,25,86
11,23,34,60
11,21,77,83
56,82,83,87
2,37,81,89
34,38,40,59
39,48,62,69
23,55,71,86
47,50,60,81
4,74,77,83
33,38,67,82
7,37,64,90
12,59,61,66
5,52,87,92
15,30,42,89
33,55,71,76
40,47,81,89
3,34,35,59
32,33,77,85
7,24,33,40
3,22,32,85
39,55,71,93
7,31,89,95
28,81,89,90
