"V1","V2","V3","V4","V5","V6","V7","V8"
7,21,28,38,65,66,89,93
5,12,15,16,37,78,81,83
5,11,20,37,47,55,70,95
8,24,31,39,69,81,86,89
12,17,47,55,60,67,71,79
12,14,50,60,69,78,87,98
25,29,32,37,42,43,45,74
11,20,25,28,29,69,74,90
22,35,42,69,81,90,93,99
4,15,16,40,68,76,77,98
12,16,22,25,32,38,50,95
16,20,23,24,48,53,77,98
13,39,58,61,83,85,89,90
2,5,7,58,68,81,89,99
5,45,56,61,64,67,68,99
24,34,37,42,45,64,70,81
5,21,34,39,44,54,77,99
7,15,20,24,27,37,58,87
21,28,38,44,71,81,83,96
9,24,34,47,62,81,89,97
2,52,65,69,71,81,83,85
5,10,34,42,47,70,94,99
1,14,47,50,55,60,62,99
25,69,70,73,76,87,92,99
2,7,17,24,27,44,86,89
14,15,47,55,60,62,63,94
14,29,65,69,81,83,86,95
7,9,20,47,53,62,76,95
2,12,60,61,62,71,79,83
24,37,69,70,81,87,88,89
14,29,69,72,81,85,87,92
14,26,28,34,38,42,70,94
5,15,22,47,58,61,89,96
8,11,30,40,69,71,74,98
2,5,15,34,42,44,84,92
2,20,22,35,44,55,77,85
23,25,32,35,37,42,84,97
14,27,28,32,38,42,44,77
7,11,15,21,38,40,70,98
1,28,50,67,69,85,87,98
5,16,84,90,92,93,98,99
11,21,25,32,44,64,77,95
2,7,8,14,26,40,60,99
2,15,17,30,53,55,60,83
11,30,34,35,61,70,82,90
24,29,42,54,69,81,86,89
3,14,21,32,33,48,76,81
3,7,20,21,28,38,65,71
59,60,61,62,66,67,84,90
28,52,61,71,76,81,83,91
20,25,30,35,46,61,70,90
2,3,30,34,37,61,63,74
17,20,21,22,25,32,35,48
8,10,28,38,47,55,71,83
23,33,56,69,81,85,89,90
24,34,42,45,58,68,86,87
6,21,34,35,44,77,81,86
24,25,32,42,46,64,77,86
12,16,20,57,59,62,85,98
19,24,37,47,55,89,93,96
23,34,42,56,74,85,88,90
8,10,32,34,35,40,42,48
17,61,65,67,70,71,76,86
5,7,28,29,33,42,89,90
3,16,20,30,46,55,87,95
1,2,29,34,37,71,74,81
14,53,61,74,82,90,94,98
9,21,22,38,56,61,66,83
35,42,61,67,70,79,82,98
3,5,25,27,37,61,83,90
34,47,52,71,76,81,88,89
25,32,35,42,52,59,86,95
12,34,42,62,64,86,88,95
6,8,16,25,48,64,67,100
3,5,31,47,55,67,92,99
3,5,15,21,26,69,82,98
7,14,21,51,52,85,96,99
14,15,19,25,29,60,69,92
9,12,14,22,34,38,42,94
11,16,35,48,55,67,70,98
6,38,47,55,66,73,77,83
5,44,56,61,75,83,90,99
1,20,28,29,47,49,66,98
14,25,32,42,48,50,59,70
3,43,47,55,71,76,82,89
20,35,37,42,59,87,93,95
32,36,62,66,81,85,87,92
16,20,30,55,59,62,74,82
10,44,47,55,60,67,77,99
14,17,30,61,62,63,95,98
7,14,30,52,74,75,89,90
3,21,25,26,35,86,89,99
9,15,20,21,34,56,68,81
5,23,42,81,89,90,91,99
5,7,12,46,62,89,90,99
10,21,37,55,62,64,66,67
9,38,47,55,66,75,83,93
16,20,25,38,44,63,66,82
2,7,17,28,30,46,74,89
3,5,21,52,68,69,72,98
16,34,62,68,71,73,74,94
17,34,42,60,63,66,81,82
4,9,15,16,25,39,77,83
5,16,47,55,58,82,91,98
3,14,15,19,25,60,69,92
6,7,14,62,85,89,90,94
21,27,34,35,37,52,81,95
13,32,42,58,59,60,66,81
4,21,34,48,68,70,71,76
