"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
13,16,19,21,34,37,40,51,53,56,70,75,78,82,96,98
12,15,17,29,31,44,47,49,55,63,67,70,81,84,90,96
2,6,9,14,32,38,40,45,54,61,67,70,73,81,85,88
2,4,17,24,30,32,38,44,47,52,65,69,72,85,88,92
2,7,10,14,28,32,36,40,58,61,64,70,73,77,93,96
4,6,19,22,25,37,41,50,55,58,63,71,76,79,84,88
10,13,16,21,29,34,48,51,53,56,64,70,78,82,95,99
2,9,24,27,32,44,47,49,52,74,77,79,81,95,97,100
12,15,18,30,32,36,45,49,53,65,68,70,71,86,94,100
4,12,17,20,33,35,37,50,59,62,64,67,81,83,86,89
1,7,9,14,32,36,38,40,45,52,65,68,70,82,85,88
3,19,22,26,34,37,46,53,58,60,61,64,77,83,96,99
4,11,17,20,23,31,35,37,49,62,65,77,80,85,93,97
3,19,22,27,33,45,48,51,60,63,66,78,82,84,97,100
5,7,12,25,29,37,45,51,53,60,68,72,74,87,90,94
1,4,6,9,23,26,35,38,50,53,65,68,82,86,90,94
6,10,22,24,28,36,43,50,55,58,61,73,76,88,91,95
1,5,8,24,26,29,31,45,48,59,66,72,74,80,87,93
3,6,19,21,25,39,43,46,57,61,64,79,83,86,91,99
10,12,15,18,35,38,40,42,57,64,70,72,76,89,93,97
3,6,18,21,24,27,39,46,51,54,58,74,80,88,92,95
3,6,18,22,24,26,30,47,55,59,62,75,78,91,96,100
2,5,18,25,31,33,40,46,48,53,65,78,80,82,85,99
4,12,18,25,27,42,48,54,60,62,66,68,85,89,92,97
13,16,19,31,33,46,48,50,51,54,71,74,76,79,94,100
6,9,13,21,26,28,30,44,51,56,58,64,79,82,86,99
14,21,28,30,33,35,50,56,58,62,64,76,79,81,83,98
10,13,16,21,28,34,48,50,51,53,66,75,78,82,90,97
12,15,17,18,20,35,42,48,50,55,72,77,80,85,92,97
3,6,19,22,25,37,45,51,57,59,71,74,79,93,97,100
11,13,16,20,28,33,40,46,52,57,60,74,77,82,95,99
3,10,17,22,25,39,43,46,62,64,70,77,83,86,89,91
6,8,11,24,26,36,39,41,54,62,67,70,85,88,92,100
7,13,20,25,33,36,38,41,45,50,57,63,75,78,82,97
7,14,21,28,30,35,43,56,59,61,63,76,80,84,88,91
2,16,28,31,34,46,50,51,54,58,73,76,79,91,95,97
4,10,11,17,24,38,40,41,44,63,67,69,71,74,93,98
3,7,10,11,25,28,39,44,52,67,69,71,74,94,97,100
5,9,13,21,27,33,40,45,48,51,63,67,70,85,88,91
1,4,8,26,30,32,34,38,56,58,70,77,81,83,89,97
1,7,10,22,24,28,36,44,49,52,66,69,81,85,87,100
3,6,11,19,24,36,42,50,55,58,63,71,76,80,94,98
12,15,18,30,34,37,41,43,60,65,68,71,73,85,87,90
5,8,13,25,31,37,40,43,57,61,64,79,83,86,91,98
5,10,12,18,25,34,41,48,50,53,66,71,78,84,90,97
3,7,10,28,31,35,50,53,66,68,71,74,80,83,95,98
13,15,20,28,31,34,46,50,53,58,61,66,74,89,92,96
10,13,16,28,32,40,46,51,54,58,60,66,79,82,85,88
4,15,18,21,30,33,37,44,62,65,70,78,86,92,94,100
1,10,16,23,28,36,40,41,55,57,71,73,79,84,87,91
3,7,21,25,30,37,43,51,56,59,73,75,78,80,81,96
7,9,13,25,33,37,39,51,56,60,63,68,76,82,95,99
9,13,16,21,28,33,36,40,51,54,59,73,85,88,90,92
9,11,13,14,27,35,39,41,53,56,64,69,72,87,94,98
2,16,28,30,31,33,36,45,51,59,63,65,81,84,89,97
3,6,18,23,39,41,45,53,57,59,71,74,80,85,93,98
1,4,16,20,22,34,38,51,53,59,66,78,82,85,97,100
3,6,12,19,24,41,43,47,49,55,68,70,72,86,88,93
10,11,14,17,33,39,41,46,48,54,63,69,71,84,87,90
12,14,18,20,26,34,38,41,52,60,65,68,83,86,89,91
1,4,6,10,22,25,28,43,46,50,57,61,76,80,82,88
3,6,19,22,24,27,45,49,52,57,73,79,81,87,95,100
3,7,10,21,26,29,34,47,52,59,64,67,71,86,89,93
4,12,17,24,30,34,36,42,49,55,68,72,74,86,89,93
7,13,19,21,25,33,37,50,51,59,63,68,76,82,84,89
1,5,9,23,27,35,40,41,47,53,67,73,80,88,92,96
4,6,19,22,26,34,49,52,54,57,73,76,79,91,95,97
11,14,17,20,38,40,42,54,56,69,72,78,85,93,97,100
11,17,20,24,37,39,44,50,52,66,68,71,74,90,93,96
4,7,11,20,24,27,42,45,49,57,65,69,72,86,92,98
11,13,16,19,32,38,45,58,60,61,64,67,83,86,89,91
2,14,17,30,31,33,36,38,44,56,59,63,72,78,86,94
3,6,8,23,26,29,31,38,45,53,57,69,75,82,88,94
4,10,16,23,29,43,46,48,51,60,65,68,73,82,96,99
13,16,19,21,26,34,37,50,51,63,65,68,81,85,87,90
10,13,21,27,29,35,43,51,58,60,66,71,74,88,93,96
2,5,8,24,27,32,39,45,57,62,65,69,74,87,92,95
3,7,10,21,25,28,33,46,51,53,58,73,76,88,91,95
4,6,22,28,36,40,46,52,55,58,73,75,80,88,91,94
1,8,13,19,26,33,39,41,54,56,61,76,79,83,95,98
4,6,8,11,24,28,32,39,46,52,69,75,77,82,90,95
3,4,17,21,23,29,35,42,47,62,65,69,84,87,89,91
8,12,15,30,36,38,41,43,57,60,61,64,67,83,86,89
3,9,11,16,23,42,45,49,57,66,69,72,74,87,90,92
8,14,20,22,28,47,49,52,55,61,73,77,79,91,94,98
6,9,11,22,24,27,36,49,52,54,57,71,76,79,83,98
3,5,19,24,26,32,45,47,49,62,75,78,91,94,97,100
9,14,16,21,30,33,35,38,53,57,65,69,83,86,91,98
4,9,16,21,23,35,38,40,52,56,64,69,81,83,87,90
5,10,13,17,21,33,39,46,51,53,58,70,75,78,82,96
2,5,7,25,28,32,40,46,54,58,61,74,76,79,92,96
5,10,12,18,25,37,41,43,60,61,64,67,79,82,95,100
7,11,14,19,27,33,41,49,54,57,69,72,77,85,93,98
1,16,23,28,30,31,36,43,59,62,65,71,77,89,92,96
2,15,18,20,33,45,48,50,61,63,67,80,83,86,88,91
1,7,9,13,24,36,38,43,52,56,58,75,77,80,83,96
13,16,20,21,28,36,43,50,58,65,71,73,76,80,84,88
1,13,18,25,26,40,42,44,47,63,66,69,75,81,87,90
6,9,11,14,27,39,42,44,52,57,69,74,76,81,89,96
4,6,19,22,25,37,40,43,52,58,64,75,78,80,82,95
1,4,17,20,32,36,48,52,54,60,67,72,75,79,93,97
2,4,6,19,22,24,36,38,52,55,58,74,87,92,95,99
3,9,17,22,24,40,54,59,62,66,73,77,85,90,92,97
1,7,19,26,31,33,48,51,56,60,73,78,81,84,96,100
3,6,8,22,29,34,41,43,47,59,64,72,76,80,94,97
10,11,16,18,23,35,37,41,56,63,69,71,77,93,96,99
2,5,9,21,27,33,39,44,56,58,62,65,70,87,92,95
3,6,28,30,32,34,36,49,63,65,67,70,78,82,85,99
13,16,19,32,37,40,51,55,58,63,72,76,79,84,92,96
3,9,16,21,29,36,41,45,48,60,63,66,84,87,92,100
9,11,14,17,30,32,35,48,53,60,66,71,79,83,86,98
2,15,17,28,30,32,44,47,59,62,67,74,80,81,87,95
5,11,18,20,23,42,44,47,49,65,72,78,85,90,92,97
3,6,19,24,32,37,44,49,62,67,70,75,88,93,96,100
6,8,14,21,27,39,42,44,48,63,66,69,82,84,87,100
3,18,20,22,25,48,52,54,56,60,64,71,78,84,86,100
4,18,20,22,25,38,43,47,60,61,66,68,74,83,89,95
11,18,26,30,33,41,45,48,60,63,66,79,82,84,87,100
3,7,10,22,25,28,44,46,52,57,60,72,75,87,95,99
1,5,8,20,23,27,41,44,48,55,59,63,78,81,86,100
6,11,14,28,30,36,42,45,58,61,73,76,78,91,96,99
2,5,9,23,27,35,39,43,57,61,65,70,83,88,96,100
7,13,21,25,29,37,50,52,55,58,71,73,77,84,90,96
3,16,20,28,35,41,43,47,55,62,69,77,81,84,97,100
3,4,6,19,26,32,34,48,56,65,69,71,72,77,93,99
4,11,17,20,24,32,36,39,54,57,59,72,74,87,94,100
1,7,10,24,27,32,39,52,55,57,69,73,77,92,96,100
2,8,14,26,30,31,38,43,55,61,68,73,74,80,88,91
2,15,18,24,30,32,35,38,56,62,64,70,77,92,95,98
3,6,20,21,24,28,40,44,47,61,63,69,76,83,96,98
9,12,17,25,29,34,42,47,54,59,71,73,76,80,95,98
4,9,11,16,24,39,43,57,62,64,69,77,90,91,94,97
2,15,18,30,31,45,48,52,60,66,74,79,82,94,97,100
6,11,13,20,28,33,36,52,55,58,60,66,80,82,85,88
1,4,9,23,27,35,39,42,47,64,68,70,71,76,83,99
1,4,8,22,26,34,39,42,57,65,70,71,78,83,86,100
12,15,18,21,27,30,43,45,48,57,65,69,71,83,86,98
4,9,11,17,23,29,35,42,57,64,70,72,77,93,96,100
13,16,19,21,28,43,47,50,51,55,68,73,85,87,90,92
1,3,8,24,27,42,45,49,57,61,75,76,79,82,95,98
7,13,21,26,29,33,48,51,56,60,73,75,78,80,93,96
4,6,9,11,24,27,39,42,45,47,65,69,72,84,97,100
2,5,9,27,30,32,35,48,61,64,70,77,83,91,95,97
6,11,13,19,26,41,48,50,53,55,61,69,76,83,89,97
3,6,18,20,24,32,37,39,44,63,67,71,80,85,88,93
2,7,25,29,31,37,49,55,61,63,67,70,83,85,88,100
2,5,14,26,28,32,40,46,54,61,69,74,77,92,95,99
6,14,18,22,24,30,36,49,54,67,69,71,74,87,93,99
2,5,8,23,26,38,41,43,45,59,61,65,78,83,90,95
2,5,9,17,24,32,35,39,53,58,61,67,70,83,85,98
8,12,13,19,25,37,39,43,60,64,66,68,72,90,93,96
8,13,15,30,32,38,44,46,56,62,69,74,77,90,92,96
5,10,12,18,25,42,45,49,57,71,75,78,90,94,96,98
5,17,20,21,33,38,44,49,51,57,63,65,69,83,87,100
1,4,17,23,30,36,42,44,59,72,75,78,91,94,97,100
1,4,7,23,29,45,47,50,53,61,65,69,81,87,95,99
2,6,18,21,25,30,33,37,50,58,61,64,79,83,86,98
1,6,13,19,25,33,37,51,54,68,70,73,76,91,95,98
5,8,21,24,26,39,43,51,64,68,72,76,89,91,94,96
4,6,10,22,24,28,36,40,44,61,69,76,80,81,84,96
