"V1","V2","V3","V4"
24,52,57,96
13,25,49,74
24,58,82,95
13,41,76,79
3,8,45,100
3,38,63,98
21,28,82,97
19,22,55,89
4,10,52,57
15,47,67,81
21,36,70,85
27,41,77,82
9,34,79,93
25,30,62,79
32,37,92,99
30,33,34,76
37,41,87,95
4,57,62,90
14,48,62,100
35,40,61,96
20,44,87,90
16,41,64,90
3,39,72,97
29,33,68,91
14,19,60,87
8,22,67,92
27,32,77,91
23,38,73,98
5,33,59,94
20,27,61,87
13,39,63,74
28,46,62,90
27,32,69,93
37,65,81,88
15,21,65,68
10,32,59,82
1,8,59,73
11,37,73,79
23,51,57,93
18,32,67,91
41,46,50,96
35,40,82,89
15,60,61,65
12,16,53,70
21,36,68,71
45,49,94,99
31,36,80,84
29,43,93,100
9,35,80,84
6,52,58,63
18,21,77,93
35,41,49,84
19,25,62,77
12,29,65,90
5,27,51,76
21,29,67,91
26,50,51,66
3,38,64,87
13,48,61,86
21,26,67,92
34,41,60,65
24,43,68,72
11,56,90,91
19,45,68,71
1,17,64,69
33,38,84,98
14,30,33,77
7,33,57,75
17,31,69,86
12,19,45,96
19,44,67,82
13,20,56,98
16,63,78,94
27,31,74,80
16,44,60,75
11,46,71,99
10,14,67,72
1,5,58,74
15,19,53,68
33,38,88,91
16,47,53,95
24,58,82,83
25,59,61,66
4,9,63,98
33,38,86,93
38,45,61,85
23,49,55,96
13,28,63,78
14,49,64,69
13,20,63,79
33,38,76,93
8,23,62,67
14,37,41,90
24,29,47,84
13,38,71,88
25,31,81,89
11,46,61,89
20,34,62,69
29,44,72,88
1,16,69,72
25,30,74,87
4,49,54,98
11,24,29,57
13,30,64,80
8,31,41,56
15,19,61,66
21,26,74,80
4,36,53,78
30,43,72,77
16,32,57,95
21,37,64,79
7,50,53,76
6,44,47,95
22,47,75,90
2,7,55,92
28,45,69,74
8,12,58,62
27,41,57,76
3,29,61,68
31,36,94,99
2,17,63,87
5,56,59,94
3,29,57,72
24,48,59,63
19,55,71,97
11,36,60,85
13,48,63,98
9,22,46,97
11,26,60,65
19,44,86,91
15,52,56,80
14,44,69,93
28,41,70,74
3,29,64,90
1,26,64,97
3,39,67,72
3,17,53,68
11,18,57,82
9,23,67,73
40,42,47,96
31,36,70,85
5,44,49,85
2,9,54,80
15,50,73,96
23,38,83,98
15,18,68,73
24,48,76,81
11,37,62,88
27,31,74,80
24,48,83,98
7,44,49,74
17,51,77,86
35,50,52,67
23,26,59,73
9,23,56,90
1,36,51,76
40,41,55,78
31,36,59,84
23,38,73,98
1,37,64,69
45,50,91,98
39,41,55,80
15,68,72,98
9,33,57,85
25,56,61,100
3,44,69,94
9,23,67,73
4,48,51,65
14,46,60,92
4,40,45,83
14,48,61,76
17,22,67,92
20,23,72,77
6,11,58,93
11,18,65,79
26,41,65,70
24,50,71,76
25,44,49,72
28,44,59,94
31,39,66,92
11,18,78,82
26,31,80,85
11,37,75,80
2,20,45,83
24,38,51,96
20,25,63,79
25,50,81,90
5,48,53,88
24,42,57,83
5,43,50,67
7,31,60,94
1,10,45,87
16,54,89,91
13,39,65,100
26,30,58,74
25,41,70,75
26,43,61,88
2,37,72,90
8,43,58,94
12,38,64,80
10,34,77,81
25,56,62,69
13,57,72,85
21,28,56,71
13,50,55,91
16,32,60,74
17,31,75,80
14,20,62,67
3,28,42,89
27,30,52,77
11,47,61,80
28,33,72,79
16,32,37,73
19,35,69,85
3,20,46,84
20,35,51,86
14,47,70,75
18,24,66,73
20,21,88,93
10,34,59,84
21,27,73,79
4,30,75,80
14,26,52,76
1,37,62,87
36,43,80,95
29,33,65,99
3,27,62,98
44,50,66,82
13,20,67,71
7,12,56,91
5,49,71,74
9,44,79,94
5,20,48,84
5,47,52,100
24,50,61,66
6,13,69,82
5,47,64,98
14,47,54,80
1,45,90,93
2,44,50,87
24,49,75,90
17,43,73,78
15,30,66,91
31,36,79,82
38,42,76,91
2,35,88,91
6,60,61,77
9,13,55,70
17,21,67,72
22,37,64,100
7,12,53,88
12,18,67,72
28,50,53,87
19,44,93,100
16,21,65,80
7,55,80,91
12,47,91,98
36,41,60,65
23,29,57,83
35,40,71,100
12,17,65,70
17,44,67,91
13,48,53,86
5,21,28,88
1,27,74,89
6,53,74,79
17,42,57,95
6,12,64,69
14,56,60,62
10,24,42,68
10,13,59,65
12,28,62,75
27,51,65,77
17,41,65,80
9,23,68,72
18,23,65,80
28,43,78,91
28,44,89,94
9,42,47,93
23,28,71,77
3,7,53,76
23,38,73,98
23,38,74,80
26,58,73,94
26,40,73,78
28,32,77,81
10,24,67,73
29,43,84,99
17,21,65,70
18,41,58,65
8,21,46,74
34,39,83,88
18,34,61,77
9,34,70,84
23,48,73,88
12,19,67,92
2,30,61,66
3,29,50,75
9,13,52,76
10,42,58,86
39,44,72,97
34,40,81,86
14,20,62,67
2,7,52,95
17,31,76,92
3,8,57,83
13,30,74,80
40,45,51,96
8,15,56,61
14,39,64,100
1,39,45,82
14,39,54,96
12,36,83,88
41,56,79,82
27,42,77,93
24,29,70,74
24,40,62,77
12,19,64,69
20,44,79,92
15,20,31,65
30,45,76,81
10,13,66,91
15,61,68,73
30,34,79,82
23,48,74,80
18,41,65,97
4,31,47,85
3,27,61,76
13,48,73,100
4,49,53,67
9,34,67,81
4,49,52,96
44,48,91,96
19,24,81,88
5,49,74,96
15,60,64,89
27,42,88,91
18,43,79,94
26,41,59,84
1,26,63,80
17,41,74,77
16,39,54,99
30,35,61,87
23,28,52,77
20,25,85,92
3,46,76,80
7,44,69,95
24,48,73,86
23,38,76,92
15,33,58,73
31,60,64,87
1,45,79,94
13,47,52,64
24,30,61,77
12,19,55,88
6,55,70,93
15,21,40,65
3,18,66,80
3,40,46,83
12,38,62,85
25,32,70,92
24,30,77,82
34,47,61,95
15,30,51,66
12,37,52,87
16,41,67,72
25,50,64,89
15,39,64,97
34,39,81,86
14,49,64,100
15,41,79,93
17,21,65,80
2,19,66,72
4,45,50,95
12,40,82,96
32,37,84,100
10,22,25,75
42,47,80,85
20,34,68,82
9,43,68,93
10,31,36,70
2,48,52,87
20,34,84,100
15,30,61,77
8,21,57,84
27,32,77,92
8,22,57,74
21,28,75,80
4,56,62,88
24,40,51,76
14,39,64,99
17,21,53,68
13,39,64,98
7,42,69,75
3,54,70,85
31,48,57,95
8,15,73,79
28,33,77,81
2,7,57,83
35,37,52,83
6,47,52,97
25,40,75,97
18,54,70,89
36,43,85,90
4,49,63,89
33,38,55,69
9,32,57,82
7,56,83,100
22,28,67,92
3,20,37,94
20,34,67,81
35,40,61,86
30,35,83,99
13,48,64,76
5,24,54,79
5,23,55,68
24,29,75,100
22,27,65,70
5,46,90,92
28,32,84,100
6,50,61,85
20,41,46,95
12,17,61,67
32,37,82,87
8,39,74,100
6,53,58,95
17,34,78,83
8,43,58,94
18,42,67,72
26,38,41,66
9,66,73,100
41,46,93,98
16,31,56,91
4,40,52,56
10,13,64,78
30,34,61,87
42,47,86,92
36,42,79,91
4,38,54,88
2,27,53,78
5,41,49,65
26,35,60,73
7,43,48,94
26,58,79,91
3,40,55,86
25,61,75,97
17,21,70,73
6,23,80,82
17,50,52,86
15,53,58,91
4,19,62,85
39,43,89,93
5,56,59,62
13,39,55,71
30,35,73,78
3,8,69,73
10,46,63,99
25,50,55,72
12,37,63,78
8,42,57,83
11,18,66,92
7,43,68,93
20,35,87,92
16,32,68,85
14,55,90,93
23,36,60,75
9,44,79,93
18,48,62,98
9,47,82,97
10,25,32,78
2,18,53,88
19,52,56,80
16,22,65,69
6,37,51,86
4,48,53,89
30,35,89,95
35,40,85,90
7,45,94,100
24,47,71,76
2,25,93,99
29,34,62,87
15,20,41,46
28,45,62,97
3,48,53,96
21,28,73,79
18,44,80,93
12,57,71,74
25,47,51,84
9,33,80,82
9,33,80,84
34,39,54,97
18,54,90,92
22,47,72,87
12,37,82,87
8,51,57,100
19,24,53,68
1,6,52,57
7,42,65,80
3,46,81,96
17,42,67,85
12,47,70,83
5,36,62,77
21,27,60,75
20,29,34,88
27,32,85,90
3,47,52,97
32,37,87,91
27,65,80,81
24,58,82,99
8,42,57,91
9,51,74,79
32,49,66,71
10,55,70,71
10,24,69,74
1,14,57,72
23,26,72,77
31,36,60,86
21,37,69,94
17,42,68,96
14,40,51,86
25,32,49,96
8,23,56,99
1,52,57,96
28,44,70,94
11,20,36,79
25,72,77,90
13,47,84,96
14,48,63,87
24,48,73,98
22,37,84,88
10,12,64,100
16,42,58,95
14,30,62,94
19,44,60,95
6,43,58,94
36,41,68,83
30,34,69,84
2,47,84,100
16,40,69,74
34,39,56,86
8,11,47,82
11,37,63,98
15,30,58,86
18,32,57,82
4,32,58,95
11,46,78,81
28,41,75,100
3,27,61,99
25,49,61,86
5,59,84,98
6,49,63,100
27,31,76,92
13,26,79,82
5,56,62,100
10,14,63,68
1,18,53,77
34,39,77,91
27,32,82,88
14,48,63,70
2,65,79,81
5,22,59,66
37,43,70,76
35,51,60,75
26,41,78,94
13,55,69,91
2,28,44,77
3,8,67,72
12,33,50,76
9,55,81,88
22,30,46,92
25,40,43,74
9,25,69,74
16,30,54,95
23,38,61,87
10,23,80,85
16,44,70,95
37,44,89,94
32,57,89,94
33,48,85,99
16,23,58,82
25,50,71,100
7,22,58,65
2,27,61,87
12,38,72,100
5,19,63,89
17,44,68,95
13,37,83,90
7,42,58,95
43,48,56,95
7,53,58,95
2,49,72,75
16,60,73,78
15,49,74,97
35,50,81,97
15,18,62,77
13,46,79,82
21,26,73,78
8,44,73,79
5,59,72,99
17,31,65,70
5,38,54,99
5,42,77,94
25,40,73,90
4,9,59,65
13,36,60,64
34,39,84,98
24,29,90,95
42,47,70,88
5,43,59,95
27,42,77,92
25,50,78,83
8,42,57,96
4,16,63,68
2,18,89,94
9,43,57,95
2,55,92,98
2,27,75,90
17,21,65,70
22,28,65,90
3,48,83,99
45,51,58,94
28,55,82,89
15,45,49,99
2,37,71,78
24,59,75,96
24,47,81,98
9,23,58,82
16,39,42,83
15,54,59,81
15,41,64,89
23,47,62,97
14,28,84,89
15,50,82,86
12,19,55,78
9,33,46,85
15,52,60,65
26,41,75,80
2,38,73,100
34,57,83,100
6,45,71,96
8,38,63,79
14,30,72,76
18,21,58,74
21,36,70,84
18,21,60,65
3,49,74,99
6,31,56,80
4,48,54,96
31,36,60,94
21,37,88,92
12,66,91,100
1,26,39,87
16,49,53,68
3,48,63,94
6,31,58,85
25,50,55,71
25,33,78,83
6,44,61,97
1,47,64,80
12,20,47,66
32,36,70,84
13,39,64,89
13,19,63,67
6,23,58,91
32,46,74,100
20,22,65,70
15,50,87,92
1,46,89,92
18,23,57,81
15,20,67,73
11,28,65,90
21,25,70,74
11,18,49,97
8,12,59,83
19,45,89,92
17,21,70,74
16,49,61,66
9,23,70,75
22,48,54,98
29,52,70,97
4,50,61,66
20,25,62,67
18,23,62,66
6,43,57,93
17,31,56,87
1,4,28,75
28,34,79,85
29,34,74,98
5,45,50,82
16,21,58,94
11,38,55,89
12,18,52,84
26,31,70,84
13,39,64,100
3,38,44,93
12,19,56,61
3,27,61,87
17,40,54,86
42,47,86,95
23,47,73,98
16,30,62,88
39,44,91,98
8,32,57,85
17,21,79,94
2,37,52,97
16,66,70,93
33,38,85,90
6,52,57,94
7,52,69,84
27,63,80,97
6,22,74,79
23,38,81,98
15,18,32,66
8,43,58,93
24,30,69,74
3,48,53,98
19,22,54,89
4,28,62,87
4,20,55,80
29,35,82,86
16,39,51,66
15,50,61,76
11,25,74,80
8,11,45,83
22,38,81,97
36,51,78,93
22,38,53,88
43,48,73,97
20,34,51,67
8,11,61,79
5,50,52,66
28,34,57,76
5,28,43,93
1,37,73,87
24,46,68,83
20,34,69,84
20,34,70,96
25,49,74,100
19,51,56,97
16,51,60,75
2,8,56,91
11,37,78,82
7,34,81,86
27,44,73,98
17,34,71,76
36,52,80,84
9,35,73,79
32,37,70,85
22,40,46,84
11,20,69,72
25,32,63,78
18,21,55,100
11,20,43,77
1,26,73,78
24,30,51,69
14,28,81,86
33,40,90,93
31,35,38,94
3,47,72,98
2,20,56,72
14,36,61,87
23,37,64,88
20,24,74,79
8,11,93,100
5,20,52,67
27,32,63,90
7,42,59,95
45,49,73,97
17,44,69,94
13,19,64,78
14,19,54,96
4,49,54,96
27,31,65,80
25,59,71,86
11,35,59,84
1,7,54,69
3,50,56,72
1,16,78,82
9,22,57,92
15,50,66,91
2,27,61,77
21,35,38,87
2,7,67,72
32,37,75,99
20,21,55,98
25,61,79,85
36,41,80,84
15,20,66,83
26,42,76,89
12,29,45,83
14,46,91,98
40,45,90,93
29,44,83,87
16,52,65,70
4,57,63,78
36,41,87,91
3,8,57,72
5,19,41,76
16,43,69,95
34,49,54,88
