"V1","V2","V3","V4","V5","V6","V7","V8"
5,21,28,40,57,72,95,98
13,27,35,40,52,67,84,99
1,6,20,43,64,67,92,100
5,10,11,38,44,66,72,90
7,11,34,40,57,61,75,90
9,14,37,42,65,79,83,96
7,23,35,49,72,76,90,97
7,15,31,38,54,76,83,90
5,29,31,34,57,73,76,79
5,10,34,37,66,71,88,93
12,15,19,44,57,73,80,86
10,21,35,59,66,72,94,99
2,17,34,39,51,67,74,99
17,22,45,58,64,82,90,96
11,16,39,44,61,67,84,90
11,14,18,42,55,60,73,87
11,18,25,42,61,67,80,86
1,16,30,43,56,61,75,89
1,8,25,42,47,65,88,92
2,16,40,44,51,76,79,93
1,16,34,48,52,75,80,93
2,34,40,51,67,75,90,92
14,28,31,42,55,69,72,87
7,21,35,40,63,68,74,96
18,24,31,47,55,59,73,87
19,24,31,38,47,66,82,89
1,28,33,34,62,67,70,95
6,12,37,53,56,61,94,99
5,22,27,45,62,67,73,89
9,13,34,53,59,76,82,99
1,18,24,38,43,67,73,89
8,14,49,51,66,82,84,89
3,17,34,49,51,66,83,89
9,14,33,37,60,63,66,96
13,20,46,59,62,67,84,100
8,23,25,30,47,53,79,94
6,18,32,45,59,73,76,99
3,17,40,44,62,66,89,95
28,31,34,56,61,69,86,94
15,23,29,46,53,74,79,94
5,27,32,50,57,71,85,99
10,15,32,48,54,80,82,96
8,20,23,46,61,74,90,96
1,6,19,33,56,71,79,85
9,12,36,40,53,68,85,92
24,27,31,50,57,74,82,89
10,16,21,43,56,59,81,98
3,15,28,42,55,60,74,99
6,11,34,38,47,62,69,86
2,7,30,35,51,58,74,88
9,15,31,60,67,72,95,99
15,21,28,45,69,72,84,99
4,22,27,40,46,63,69,93
17,20,33,34,47,63,70,86
15,21,28,34,57,60,82,87
2,6,32,39,46,64,87,92
9,23,46,52,60,77,94,100
5,21,28,30,47,66,69,73
15,23,41,48,55,67,83,89
5,8,31,50,58,64,77,81
3,25,27,40,63,66,70,96
8,13,31,45,69,72,75,100
10,23,27,55,59,72,87,93
2,10,26,31,44,71,76,99
19,24,32,38,59,66,83,98
3,10,27,44,57,62,95,100
13,28,41,45,60,64,87,92
23,26,29,58,61,64,92,99
8,13,36,42,59,65,92,97
2,15,18,31,56,59,95,98
7,12,33,39,56,71,78,85
3,28,35,40,41,67,74,99
7,13,40,47,51,68,75,100
6,11,34,38,57,61,80,84
1,17,42,45,58,61,94,98
11,17,34,40,57,72,80,86
11,25,28,42,50,56,83,88
14,18,41,50,64,67,88,92
17,23,42,46,49,77,83,100
8,11,34,48,53,76,92,97
14,21,26,47,64,70,71,87
17,24,31,50,58,65,72,100
6,11,36,39,43,70,76,98
17,23,30,58,64,81,90,96
12,16,33,39,67,72,90,94
13,34,50,51,57,73,84,99
10,16,22,38,45,65,72,98
16,33,39,55,71,77,80,94
12,19,25,51,58,74,91,100
19,24,31,47,72,75,79,96
7,22,24,40,63,68,82,96
11,16,33,39,56,75,88,93
8,13,34,36,50,52,69,84
14,18,23,48,61,66,84,89
2,25,30,57,58,64,81,86
4,26,39,47,51,65,79,92
16,22,30,47,54,71,88,95
7,23,35,39,46,51,78,84
4,27,30,32,45,72,80,87
7,20,23,56,61,79,92,95
11,25,30,41,48,62,80,86
3,18,32,35,69,75,91,98
8,16,32,46,49,64,71,97
3,7,35,42,49,77,83,99
11,14,19,57,61,65,90,95
6,30,34,41,57,84,88,91
9,16,31,51,65,68,92,96
5,18,21,55,57,60,74,99
