"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
32,38,45,53,58,61,66,70,72,74,79,85,87,92,94,99
21,28,34,47,55,60,63,68,71,74,77,86,90,92,95,98
19,25,43,48,54,56,60,62,68,75,76,82,88,90,95,98
31,37,40,45,57,64,71,76,79,82,85,88,92,95,98,100
12,17,44,48,50,51,65,67,70,73,79,81,84,87,93,99
10,37,43,45,60,61,67,73,74,78,81,86,90,93,96,98
25,39,42,57,61,63,65,69,78,82,84,86,90,93,96,99
30,31,35,38,54,57,62,70,75,76,78,81,83,93,96,99
5,38,41,45,59,62,65,70,71,77,79,84,86,93,96,99
22,36,39,52,54,57,69,73,76,78,80,81,84,93,96,99
7,32,44,47,53,65,69,72,77,80,84,86,91,94,96,99
13,26,49,52,57,65,70,71,79,84,86,88,91,93,97,100
26,29,43,45,59,61,65,67,72,75,79,86,91,94,97,100
22,30,43,46,58,61,64,67,70,78,82,85,86,93,97,100
8,36,43,49,64,67,72,75,79,84,86,88,91,94,97,100
31,45,49,61,63,64,67,72,75,76,79,88,92,95,98,100
24,38,45,52,59,61,64,73,76,78,80,82,85,94,97,100
3,27,43,46,50,58,63,65,71,77,79,84,91,93,96,98
22,36,50,54,58,62,66,67,74,79,81,83,87,93,96,99
25,31,49,52,57,61,65,73,76,78,80,81,84,89,93,96
11,38,44,52,57,64,69,73,75,78,81,86,90,93,96,99
17,23,47,52,55,59,68,73,74,77,79,81,89,93,97,100
22,28,36,51,55,57,60,63,66,72,79,85,87,92,98,100
12,29,44,46,53,58,61,64,70,77,82,85,89,93,97,100
25,39,42,57,64,69,72,77,78,83,85,89,91,94,97,100
30,32,46,60,62,65,67,73,80,81,84,86,89,93,97,99
15,31,38,45,53,58,61,65,70,79,82,84,87,94,96,99
33,37,49,51,55,67,72,75,79,81,86,88,93,96,98,100
20,26,43,45,61,64,69,76,80,83,85,88,91,94,97,100
34,37,42,49,55,61,67,73,74,78,80,85,88,91,94,100
13,42,47,50,55,61,64,68,70,78,83,85,89,92,95,98
19,32,34,47,49,61,64,69,72,77,85,89,92,94,97,100
