"V1","V2","V3","V4"
45,77,82,100
29,43,77,85
22,60,76,82
55,69,81,86
46,52,80,84
27,61,69,86
44,60,83,87
54,59,92,97
37,63,77,94
23,59,92,97
58,64,92,98
47,71,76,89
39,63,87,92
11,63,79,95
32,58,74,99
48,65,82,96
28,63,68,96
42,49,75,92
38,62,89,95
55,85,88,91
34,67,83,98
38,43,86,92
22,57,83,99
50,81,87,94
3,65,90,91
41,46,83,88
7,69,84,96
57,62,85,100
24,57,83,90
39,55,92,96
27,70,73,78
56,61,85,99
22,66,72,100
55,58,82,96
57,62,85,90
40,56,73,98
30,63,75,89
28,72,76,99
36,41,84,89
55,81,88,95
56,63,80,96
49,62,90,95
51,57,84,99
47,61,85,98
26,72,76,89
34,59,82,86
26,68,73,96
57,64,88,93
63,69,70,86
43,70,76,81
28,53,91,100
42,69,85,93
53,68,95,98
22,64,67,100
58,61,90,95
43,67,84,99
48,62,79,87
24,67,74,79
31,67,73,98
67,71,74,100
38,64,88,92
47,71,78,94
61,74,77,100
40,41,57,84
31,48,84,98
13,72,95,100
57,62,95,99
49,54,87,92
59,62,76,95
39,64,92,97
46,64,69,96
22,69,75,81
21,59,74,97
52,67,94,100
44,69,86,91
32,68,84,99
47,61,80,85
39,66,82,99
46,69,71,96
53,57,90,94
43,49,65,87
36,77,85,91
63,68,86,95
57,61,85,90
21,66,82,96
23,48,73,99
33,75,82,98
44,67,93,100
26,64,78,94
49,51,88,92
35,48,73,99
38,54,86,91
31,66,92,99
48,54,88,94
40,57,73,98
49,52,77,93
41,49,73,97
31,39,74,98
42,49,75,98
23,60,72,76
27,65,71,77
44,59,73,78
31,46,83,88
4,62,65,79
54,69,91,96
37,65,87,92
38,44,81,100
22,59,74,98
59,66,83,100
61,65,70,97
37,73,88,95
25,39,87,92
47,63,94,98
13,68,75,99
45,74,81,90
33,70,86,91
58,73,95,100
61,66,93,99
41,50,76,82
37,69,74,86
35,40,84,88
30,54,79,84
42,47,85,90
30,32,77,93
29,44,77,94
60,63,95,97
21,57,74,98
52,67,94,100
35,58,82,87
35,69,84,100
43,81,86,100
44,60,72,76
31,56,83,89
37,85,89,91
34,70,81,86
27,62,75,78
35,65,73,78
59,64,92,97
22,67,83,100
50,64,93,97
45,83,96,99
42,47,85,90
43,69,76,92
15,52,66,94
30,44,89,94
66,71,80,94
12,59,93,97
55,69,81,98
6,59,64,97
42,58,83,100
49,63,87,95
10,77,83,99
50,61,76,90
64,68,93,95
21,48,69,74
63,68,91,95
23,60,73,87
19,41,74,88
41,57,74,99
48,53,74,97
27,72,86,100
49,61,92,98
36,63,78,91
44,68,83,100
40,64,71,98
33,61,80,86
55,70,81,87
55,70,92,96
55,69,81,96
36,60,72,87
52,66,80,94
50,62,65,69
24,67,93,99
56,66,81,99
57,61,85,99
67,83,95,99
45,77,82,94
37,56,63,97
59,63,80,86
26,62,67,77
34,59,61,86
24,74,79,95
41,68,93,98
45,80,87,91
34,48,84,99
22,59,82,97
45,70,86,91
56,62,75,80
44,50,76,92
34,41,79,84
49,52,74,88
26,61,65,97
42,69,71,76
20,61,66,90
56,64,72,79
35,58,77,91
52,67,90,94
44,60,82,87
23,68,72,86
41,47,73,89
63,67,92,95
43,70,81,86
14,58,73,89
56,80,83,86
52,57,85,90
35,75,80,91
46,61,68,85
64,70,91,96
18,70,75,91
33,77,83,98
33,71,75,99
61,77,85,90
54,66,69,94
44,49,95,98
39,63,87,92
44,58,82,87
21,40,74,99
29,43,76,93
40,45,77,93
44,69,83,96
39,64,88,93
32,59,76,82
53,77,85,91
36,71,80,86
42,77,91,95
56,61,79,95
40,65,77,82
58,62,85,100
44,57,81,86
42,69,92,100
56,62,84,97
56,63,89,95
47,51,86,100
31,40,65,82
40,43,76,83
36,68,71,87
41,70,75,98
64,69,71,94
23,68,74,99
46,78,83,95
51,56,94,98
36,61,76,90
21,67,83,100
11,56,72,96
38,72,86,100
28,64,89,93
32,59,65,97
46,72,84,89
58,63,95,98
26,73,78,97
41,55,68,81
28,63,89,95
44,70,76,83
25,74,79,92
56,72,79,96
50,55,81,87
25,61,77,94
65,69,81,95
37,64,88,93
49,74,76,98
38,53,79,94
9,62,76,80
49,53,87,93
45,70,82,97
46,74,82,88
25,72,93,98
54,59,81,97
42,80,86,92
49,53,76,80
50,65,90,92
44,71,90,96
37,62,86,89
53,70,82,98
26,70,73,76
27,76,91,97
12,67,83,98
40,44,83,88
33,56,95,98
42,63,88,92
44,77,92,96
49,59,62,97
61,85,89,93
59,64,92,97
35,66,79,82
16,62,90,96
49,63,87,93
13,76,90,93
51,67,85,89
64,69,86,91
48,71,76,90
57,63,90,97
21,69,77,83
55,75,81,100
43,76,92,100
34,70,75,91
33,71,76,90
46,71,80,86
24,48,74,98
46,62,75,98
26,67,73,88
42,58,75,99
24,87,90,93
34,70,81,86
19,61,65,78
42,49,84,88
34,84,89,90
29,71,76,80
46,70,73,75
39,45,90,95
15,65,68,71
46,53,77,94
58,63,95,100
17,65,72,78
21,67,94,100
11,47,85,89
38,63,87,95
32,48,74,98
48,52,77,92
64,68,90,97
49,64,93,98
19,52,77,94
35,67,93,98
51,57,94,98
60,62,77,92
31,65,79,94
50,75,92,98
58,73,92,100
55,79,81,95
24,81,86,100
52,57,83,98
24,39,73,89
26,74,79,80
56,59,61,85
44,69,72,75
56,64,71,79
43,48,95,100
20,42,94,100
13,68,72,96
58,62,85,90
38,64,87,91
56,72,80,96
40,64,77,94
56,74,83,99
31,39,45,96
40,45,87,93
50,55,87,92
22,66,81,90
18,65,89,93
44,47,80,83
47,73,75,89
49,71,75,80
56,62,78,94
19,81,89,96
47,51,86,89
21,44,70,85
64,66,79,94
39,62,76,90
59,64,92,97
29,61,76,89
56,61,80,87
55,91,95,100
24,74,79,96
30,51,76,80
43,58,94,99
44,60,83,88
38,52,67,94
24,80,82,86
48,72,77,84
56,80,81,96
55,70,82,87
20,65,71,78
37,68,72,88
19,33,84,89
41,79,81,94
57,61,85,100
39,54,71,87
20,53,77,94
28,53,79,84
45,78,83,97
57,73,85,90
29,63,66,89
46,72,90,95
52,57,95,99
25,58,77,83
31,65,70,96
29,63,88,94
58,64,80,97
21,56,85,90
36,59,62,86
23,58,84,99
44,69,81,87
26,58,74,90
24,29,69,74
38,63,70,86
57,63,95,99
46,73,86,88
3,60,74,77
56,61,85,100
38,64,87,92
24,39,77,81
42,66,74,79
55,62,69,99
47,72,76,100
22,57,81,96
36,77,82,89
28,61,75,89
36,69,73,97
63,68,83,95
55,61,79,85
40,55,78,82
28,75,89,92
36,59,64,94
32,50,71,76
47,52,84,97
52,67,94,100
48,55,81,87
59,64,92,98
65,68,87,92
37,61,85,89
49,63,66,94
