"V1","V2","V3","V4","V5","V6","V7","V8"
23,30,57,61,74,86,90,92
35,53,67,70,74,87,92,100
48,51,65,70,78,83,86,89
23,54,61,67,70,82,85,98
41,46,65,68,74,82,95,99
37,45,59,62,75,89,92,96
42,49,55,72,77,89,94,97
35,51,59,65,86,88,92,100
25,52,65,67,70,82,89,96
49,52,55,71,77,84,89,96
48,52,55,71,77,84,90,96
41,49,66,70,73,88,91,96
15,38,51,67,80,85,92,98
26,55,58,62,75,80,83,98
37,52,55,67,82,85,90,97
37,62,65,69,81,94,98,100
25,50,64,67,80,81,86,98
42,48,65,72,78,90,93,96
37,52,54,73,79,81,86,100
42,48,65,73,88,92,95,100
45,52,59,73,76,89,91,97
43,48,67,71,80,86,93,99
26,42,55,58,81,87,90,95
9,44,56,60,73,89,91,96
45,49,72,75,78,91,96,100
27,40,42,66,68,85,91,99
39,52,55,70,77,82,85,98
41,45,59,73,76,79,91,95
23,37,57,70,73,86,94,98
37,52,55,78,81,84,90,96
28,41,54,62,67,85,89,92
30,32,56,72,75,80,93,97
39,54,61,70,79,82,85,98
12,46,53,59,82,84,87,100
18,33,57,60,63,85,88,92
19,56,62,69,76,91,95,98
43,48,72,76,79,93,97,100
43,48,65,74,77,80,91,96
14,40,55,57,62,86,89,93
18,34,52,58,65,82,88,96
11,48,54,60,67,73,96,98
25,48,63,67,80,81,84,98
24,40,68,70,72,75,89,93
55,60,61,67,74,79,92,97
25,31,54,67,80,85,91,97
32,35,58,63,76,81,95,98
29,42,63,66,71,79,94,97
20,45,52,70,73,76,95,98
41,46,69,73,76,91,94,98
21,48,65,72,78,90,93,96
36,41,60,73,76,88,91,95
19,33,46,64,76,81,84,88
43,47,61,70,74,77,82,96
34,56,59,62,80,85,88,92
33,38,63,67,70,82,88,94
30,35,66,69,71,74,94,99
22,29,63,66,88,92,95,100
25,45,49,63,76,79,93,97
37,42,65,68,80,83,97,99
34,60,62,68,86,92,95,99
23,56,59,72,75,87,89,93
32,45,70,72,74,77,94,98
12,36,60,62,65,88,92,95
28,54,61,70,77,85,93,98
14,40,41,57,64,82,95,98
21,27,55,62,69,83,87,99
7,37,62,65,69,86,93,99
37,44,61,75,77,80,82,96
12,37,62,70,75,78,94,98
35,60,62,74,77,81,85,99
39,44,47,68,86,91,94,99
23,29,57,70,71,88,93,95
27,41,56,59,73,86,89,91
24,42,56,59,71,84,86,89
47,52,64,77,81,90,93,97
26,39,51,64,77,81,90,98
35,53,59,71,74,86,89,94
36,50,62,67,70,85,89,92
39,54,61,67,70,83,85,88
8,52,56,69,81,84,87,99
28,43,57,71,74,80,87,94
8,23,55,68,71,83,86,89
45,59,62,68,74,83,87,90
21,35,39,63,68,83,86,90
39,53,56,59,84,87,89,91
38,43,60,73,76,94,97,100
40,44,58,61,73,86,89,94
48,53,65,75,80,82,88,95
34,48,50,72,75,78,96,100
37,52,65,78,80,81,84,99
30,56,62,69,81,84,87,99
40,47,63,78,85,90,92,97
19,45,61,70,73,87,94,99
29,45,51,66,73,79,83,96
11,19,54,66,79,82,95,100
38,51,54,66,79,92,94,98
46,49,63,76,85,88,91,100
47,51,54,59,86,89,92,94
33,37,61,65,79,83,96,98
29,32,47,71,74,87,90,94
32,36,64,66,70,82,85,88
18,34,70,73,76,91,95,99
23,39,55,61,68,83,86,89
16,52,55,58,80,82,85,88
42,55,58,70,72,78,85,98
43,46,61,69,74,87,90,91
28,45,53,76,79,83,92,99
47,51,70,74,78,83,96,99
32,47,64,70,71,77,84,98
54,57,61,70,82,85,88,94
32,50,64,67,71,94,98,100
46,52,65,69,71,87,94,100
50,53,56,79,84,91,95,97
35,58,62,79,84,92,97,100
27,51,54,66,69,83,86,99
40,51,54,61,66,83,86,89
19,32,46,60,62,78,84,91
35,50,61,73,76,79,83,98
26,33,58,72,74,88,96,100
23,51,55,59,74,83,89,97
26,50,63,75,78,91,97,100
42,58,72,75,79,94,96,100
29,61,64,67,80,83,95,98
45,58,62,76,88,90,94,97
9,44,61,68,70,74,88,93
44,46,59,62,78,85,92,98
23,30,58,61,64,83,86,89
14,39,63,66,69,81,85,99
43,48,60,67,75,82,96,98
31,35,40,68,74,90,94,97
25,57,60,63,87,90,91,95
40,46,52,75,78,82,90,97
39,55,61,74,78,92,97,100
56,59,71,74,77,83,86,98
11,28,63,66,69,92,95,99
45,49,51,74,77,79,92,96
46,50,63,66,69,81,93,97
19,33,57,60,63,85,88,91
25,51,54,59,77,83,86,89
34,47,61,68,75,90,91,96
16,43,50,64,67,82,89,95
21,36,71,75,77,80,92,97
41,49,65,78,82,88,90,95
44,47,70,71,74,77,94,98
28,32,55,60,68,71,85,98
21,50,55,62,76,78,91,100
32,37,65,69,73,87,90,95
24,49,64,68,71,87,94,100
30,43,47,70,73,76,93,98
33,38,73,76,79,91,94,99
37,42,54,67,73,81,90,96
44,57,70,71,74,80,87,94
27,40,62,65,78,91,96,99
28,53,56,76,79,83,97,99
34,49,65,70,71,77,94,98
27,53,55,67,81,84,88,96
46,50,51,74,78,86,91,100
41,50,56,69,73,75,89,91
31,36,73,75,78,91,95,98
20,35,58,63,82,85,88,90
17,50,53,72,77,85,93,99
33,63,66,69,87,92,94,100
42,47,65,73,88,91,94,100
29,44,67,72,80,85,88,91
19,41,46,74,76,89,93,96
29,57,63,79,81,86,93,100
22,39,56,62,75,81,89,96
17,52,55,58,71,79,86,94
25,49,52,55,82,84,87,89
32,50,54,61,68,83,86,98
16,49,53,55,68,76,83,100
36,48,63,80,81,84,87,94
14,56,59,61,64,84,86,99
35,48,61,64,78,93,97,100
24,48,63,76,79,92,95,100
37,50,53,76,80,82,88,95
18,54,56,59,71,84,87,90
25,41,49,66,73,78,93,99
42,49,66,73,80,81,88,96
25,39,54,68,71,84,87,100
46,53,59,62,75,88,91,95
41,48,63,70,76,85,88,91
34,51,67,73,88,92,95,100
31,48,55,72,76,79,94,98
35,40,53,57,83,86,89,98
42,47,63,68,72,75,93,99
38,43,55,68,72,91,94,97
47,51,74,76,90,92,96,98
19,38,43,65,70,81,88,95
43,59,72,74,76,88,93,100
18,56,59,61,85,88,92,100
11,16,57,63,80,85,88,92
44,58,61,65,80,82,88,96
32,40,47,55,72,86,93,99
13,54,60,71,77,85,93,98
33,38,63,66,70,85,92,98
19,55,57,69,71,83,86,99
3,37,53,66,69,83,86,99
30,32,46,64,69,76,94,100
24,53,56,60,84,87,91,99
37,53,56,59,82,86,89,92
37,45,51,68,76,83,90,97
38,43,56,71,75,80,88,95
47,54,61,77,80,82,95,98
27,50,53,66,82,88,95,100
23,30,57,64,80,81,87,94
32,36,60,64,71,77,94,98
44,50,67,71,74,88,90,93
53,59,65,82,87,92,95,100
39,52,55,77,82,85,90,97
22,29,52,55,67,83,86,89
37,53,55,68,81,84,90,97
15,57,61,64,70,88,92,100
38,43,68,73,76,91,96,100
33,56,59,84,87,90,91,96
34,46,48,67,72,79,84,98
46,50,53,75,78,82,90,96
30,43,72,78,84,91,96,100
19,42,67,69,73,87,93,98
37,42,65,68,71,86,90,93
19,23,57,64,71,80,87,94
30,33,56,69,72,75,93,98
37,43,68,73,80,85,87,91
26,39,51,54,67,83,96,99
15,53,57,69,72,84,87,99
41,50,54,57,73,86,89,94
32,45,58,71,74,90,93,96
9,42,56,70,77,81,93,99
33,50,51,73,76,79,84,100
38,53,62,76,79,83,97,99
43,48,56,72,80,81,84,87
25,31,60,72,75,78,93,97
38,53,73,76,79,91,94,98
41,46,50,73,78,91,96,100
29,35,52,70,75,77,82,96
50,63,66,75,78,91,96,100
23,28,60,63,66,84,88,91
15,41,59,65,83,87,89,95
28,46,53,69,76,82,95,98
35,50,61,64,66,83,89,96
25,41,56,59,72,85,88,100
34,50,67,71,74,93,97,100
33,48,63,65,78,90,91,94
34,48,62,75,78,80,92,96
23,37,50,72,75,78,94,97
17,53,59,66,83,86,89,100
23,47,64,68,82,86,89,98
23,29,55,77,80,82,85,97
16,21,54,59,62,89,92,96
22,26,67,73,88,91,95,100
40,54,57,75,81,87,89,94
34,40,57,62,76,83,84,89
35,42,49,73,80,81,94,98
32,47,60,66,72,91,94,98
45,49,53,75,78,92,97,100
28,44,64,67,80,82,84,98
