"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
8,10,11,13,20,24,27,40,43,51,52,54,71,78,90,99
11,12,20,26,48,55,62,66,70,74,76,87,93,94,98,99
2,12,14,19,36,37,47,51,53,62,67,71,76,79,81,100
13,23,28,29,44,45,52,53,63,73,78,79,82,87,93,98
1,4,5,7,13,23,24,29,31,40,52,53,60,72,83,84
11,13,14,15,20,29,35,48,60,62,68,71,76,82,88,93
3,11,27,39,46,48,53,55,56,65,68,75,82,88,96,100
5,9,11,17,18,30,40,45,63,64,74,80,89,92,95,96
1,5,20,21,31,43,51,52,60,61,71,75,76,81,84,85
3,17,18,22,27,37,38,48,54,66,72,79,84,88,96,97
7,13,17,19,24,39,44,45,56,71,72,74,75,78,86,88
1,7,9,12,23,33,49,55,64,72,74,79,81,84,91,99
2,4,6,10,12,15,24,25,31,38,52,64,78,87,91,99
7,22,26,33,35,50,56,61,66,69,73,77,80,89,92,100
26,34,41,43,50,52,55,61,66,74,75,76,78,88,98,100
2,5,10,11,14,20,24,32,40,44,45,71,73,83,89,93
6,21,22,30,36,56,57,60,67,69,73,79,81,82,87,94
18,19,23,32,39,48,52,53,63,66,83,92,93,94,95,97
4,7,12,17,31,64,65,68,80,81,82,84,89,94,99,100
1,31,32,42,45,48,58,62,71,76,82,93,94,96,97,98
1,6,12,15,23,36,37,38,47,53,64,70,90,93,94,99
1,3,4,9,14,15,21,27,37,41,46,68,80,81,83,100
1,5,10,21,25,26,30,41,46,55,57,58,67,69,81,90
4,7,21,22,23,31,37,56,60,61,63,65,69,78,81,84
9,11,19,23,24,36,37,40,45,49,61,64,71,91,96,100
9,12,15,18,21,26,27,30,37,38,64,68,69,80,99,100
7,10,12,19,29,52,62,76,78,79,86,87,89,92,95,98
17,18,25,31,35,37,38,39,42,43,47,57,60,83,97,100
18,22,25,30,41,46,48,57,63,66,69,92,94,95,96,98
24,43,48,54,55,62,66,70,72,74,76,79,85,94,98,99
2,6,11,12,13,14,19,23,24,62,71,74,78,93,97,98
2,7,10,13,35,51,52,60,63,76,78,79,84,87,90,95
2,5,10,19,20,26,33,38,43,49,51,54,67,77,83,90
8,13,16,22,29,35,38,39,41,43,50,52,65,72,78,88
1,9,14,15,23,26,32,35,47,50,53,55,62,72,85,93
2,4,30,32,33,35,40,57,60,63,75,82,88,91,95,96
9,21,23,26,30,32,37,38,39,42,50,56,68,77,83,100
1,5,28,29,35,39,45,46,49,51,55,58,64,77,89,90
6,7,11,13,14,15,35,36,38,60,62,69,74,76,85,94
5,8,11,20,24,27,29,30,32,44,50,53,62,67,71,85
1,7,13,30,32,50,55,56,57,74,79,80,90,94,98,100
15,22,23,30,32,35,45,57,59,63,65,68,70,74,91,93
1,8,11,15,21,24,30,36,37,53,58,60,69,71,75,88
2,4,9,12,37,68,70,76,80,81,84,90,91,95,96,99
10,18,25,38,39,43,48,52,57,60,63,64,66,90,94,95
2,19,20,26,37,42,47,49,51,54,64,67,68,77,81,90
9,17,21,28,45,46,59,62,64,66,68,85,86,87,92,95
2,4,5,10,19,20,21,49,51,54,65,67,77,81,83,99
9,19,20,35,40,57,60,62,65,68,70,74,76,91,93,97
8,12,16,18,23,27,28,40,44,48,52,63,66,75,79,99
17,27,28,33,41,44,46,47,56,62,72,79,82,85,94,98
3,10,11,22,40,51,56,58,61,68,69,70,71,89,92,96
12,16,17,25,26,30,33,42,47,51,64,81,84,90,99,100
16,25,31,40,48,49,54,55,58,64,65,66,67,84,90,94
1,4,5,28,29,34,49,60,61,63,67,76,85,90,91,95
8,18,24,27,37,41,43,50,52,58,66,75,79,88,89,98
9,23,24,30,37,47,50,60,63,66,69,71,76,84,95,98
1,7,11,17,21,34,36,39,50,54,61,62,63,71,85,97
8,23,38,39,41,42,43,47,50,52,57,68,75,82,86,95
3,8,23,28,41,43,49,53,63,71,75,78,82,86,95,98
6,19,26,33,37,38,39,53,54,73,77,83,86,91,93,97
9,17,20,24,28,31,36,40,47,54,64,66,71,74,88,93
3,5,10,13,28,30,41,46,55,69,76,87,88,94,98,100
2,14,18,21,22,24,26,37,40,57,60,69,72,73,80,96
8,16,33,44,45,48,52,57,59,66,72,75,86,88,89,96
1,2,3,5,14,15,21,22,26,34,38,41,43,58,77,85
1,7,17,19,29,34,40,48,54,55,56,58,61,62,66,85
3,7,8,24,32,33,52,59,63,74,75,80,84,91,94,95
4,9,10,28,35,37,45,46,48,56,61,68,69,77,87,100
4,6,8,9,13,16,23,35,36,38,45,46,47,52,84,87
3,18,23,28,41,46,48,62,66,77,79,92,93,95,97,98
4,20,21,29,31,32,35,49,50,55,64,65,67,68,73,82
4,8,11,16,20,29,30,32,33,34,38,60,73,91,95,96
48,53,59,60,68,69,70,75,77,85,86,87,88,92,96,100
4,9,27,40,45,53,63,68,69,70,76,82,88,95,96,99
1,2,5,21,23,29,34,38,39,43,49,56,58,60,62,84
7,12,31,34,36,55,59,61,70,72,73,83,84,85,91,99
2,3,4,17,22,23,31,41,42,46,47,58,68,82,97,98
4,12,20,25,28,30,31,37,42,44,47,67,68,83,93,94
6,7,24,25,26,52,57,59,60,68,69,74,85,91,94,97
18,19,20,24,25,31,36,37,42,49,59,70,83,86,96,97
1,5,6,19,21,26,42,49,54,55,64,67,81,85,90,94
3,4,7,9,14,23,32,33,35,44,60,72,74,83,84,91
15,29,30,31,32,35,50,53,56,57,68,71,82,88,93,100
5,8,18,21,26,29,35,41,50,57,58,67,69,73,74,80
12,13,16,30,31,40,43,62,70,71,76,78,80,94,99,100
10,11,16,17,20,38,43,51,56,60,61,68,75,89,98,100
10,17,19,23,29,45,54,62,65,68,76,79,89,92,98,100
6,9,10,11,12,13,25,35,39,49,64,65,68,82,96,99
3,6,7,9,25,26,32,36,37,40,42,47,49,64,71,84
12,15,25,36,37,38,49,79,83,85,87,91,94,97,99,100
8,9,13,15,18,26,38,43,48,52,60,74,80,86,99,100
1,17,21,30,31,34,39,50,55,58,60,62,78,83,85,96
20,26,33,39,54,64,67,70,74,80,81,89,90,93,94,99
2,10,28,43,51,56,60,69,78,79,87,90,91,92,98,100
2,5,10,12,13,17,19,55,64,67,72,73,79,81,87,95
8,16,25,28,33,42,43,45,47,59,61,63,65,69,70,75
6,19,21,33,45,70,77,79,80,82,83,90,93,94,96,98
4,16,19,20,23,33,44,49,54,64,67,73,77,81,86,91
