"V1","V2","V3","V4"
46,51,55,84
25,49,79,92
19,24,44,97
11,30,37,59
10,32,56,59
19,56,59,74
71,77,85,93
16,39,56,93
19,37,56,95
41,47,79,94
10,45,49,79
4,8,21,46
19,34,44,62
3,5,26,94
6,14,60,92
11,34,49,68
56,71,80,96
16,39,51,64
24,36,49,57
14,18,66,96
8,24,50,63
34,68,76,99
14,15,74,95
46,52,59,80
10,30,41,79
19,87,91,94
6,12,92,97
66,70,71,99
7,31,82,90
3,16,44,56
6,64,92,93
8,19,34,68
40,46,55,83
23,37,84,97
11,30,37,87
18,24,30,57
23,68,70,98
17,31,75,91
46,47,73,100
32,57,83,92
11,56,74,84
26,45,47,94
12,29,81,91
22,44,85,96
25,40,41,95
10,65,67,75
6,17,23,89
15,29,37,69
11,37,83,93
38,46,75,89
30,34,57,68
16,60,86,95
35,70,78,84
30,38,57,66
9,15,36,95
23,39,68,97
3,16,22,81
16,29,58,98
5,20,62,67
59,68,80,83
11,13,55,83
14,16,43,87
3,4,30,42
36,39,88,94
6,48,90,98
9,20,47,81
28,33,62,98
1,41,61,85
44,53,54,73
19,22,34,44
5,9,11,32
16,29,41,79
64,67,72,82
1,15,16,61
30,63,74,75
25,27,31,33
3,17,23,59
43,51,64,100
57,61,62,92
2,18,19,66
13,31,37,93
2,3,13,87
4,9,53,96
7,9,47,63
12,22,38,72
16,22,43,100
39,53,69,88
17,31,33,34
25,28,52,55
23,33,49,72
39,42,69,94
1,63,80,96
40,41,56,85
28,58,89,94
22,40,68,69
7,31,37,90
9,13,43,71
18,19,24,70
35,36,62,77
34,57,69,78
20,37,43,83
12,14,26,89
56,59,74,77
5,7,63,73
16,24,49,79
15,20,92,97
8,25,39,78
4,12,89,97
4,12,56,80
52,63,79,92
31,71,90,96
59,77,80,93
6,12,34,53
37,61,90,99
19,25,44,61
20,60,70,81
43,55,73,84
4,49,90,91
53,61,95,99
40,70,80,87
31,53,76,81
23,27,68,100
11,81,88,89
5,58,60,94
2,24,57,78
30,31,54,92
22,31,47,69
16,58,67,90
35,48,58,69
72,73,91,96
6,34,36,49
35,48,54,79
2,44,50,53
12,30,31,82
44,60,76,82
26,34,83,89
1,3,23,43
34,46,87,89
17,19,55,73
8,74,84,93
8,19,20,82
28,38,47,94
32,40,51,68
20,67,74,90
19,87,91,94
21,40,63,75
8,32,77,85
25,57,81,91
26,41,61,85
21,23,39,56
50,58,64,92
6,45,76,89
67,75,77,78
2,21,54,71
41,42,58,75
31,52,75,92
3,31,82,86
22,38,66,99
2,33,77,81
42,43,90,95
31,56,87,94
12,35,65,83
31,51,71,93
38,49,50,66
8,18,24,69
4,10,12,64
13,31,64,81
40,62,78,99
21,34,43,76
43,48,71,97
13,46,65,94
22,37,58,96
24,30,84,91
52,53,57,82
4,9,32,74
43,72,90,92
8,10,55,95
59,60,64,85
56,81,89,95
28,71,89,97
10,28,56,87
26,73,91,93
14,25,33,50
19,24,44,90
26,30,41,74
20,29,45,55
5,9,27,77
30,44,84,85
3,34,52,71
29,41,72,92
25,35,44,68
63,67,74,76
28,29,58,92
44,57,69,91
31,34,46,56
2,5,9,31
5,11,27,62
10,19,52,68
14,25,38,60
53,64,65,98
10,12,26,61
5,12,15,56
5,15,44,97
9,47,49,79
3,8,38,42
10,26,43,95
3,27,85,95
14,16,44,84
16,43,90,95
31,32,62,78
24,46,72,90
31,90,92,93
5,26,49,85
8,15,68,80
13,27,44,62
50,55,73,96
13,28,71,97
26,30,41,74
15,16,56,100
18,25,32,40
5,7,70,81
38,49,62,77
43,72,73,92
3,64,74,87
33,49,57,88
51,55,57,97
8,19,58,92
12,42,44,61
22,49,57,92
1,13,76,99
23,46,71,97
22,34,48,100
36,61,79,85
8,38,42,46
10,14,44,50
15,34,68,70
12,36,73,77
8,24,60,65
38,50,70,88
25,54,55,94
13,32,62,95
18,23,49,57
4,10,62,93
61,80,87,99
18,40,46,70
27,55,73,99
39,56,68,74
11,30,34,47
11,34,52,78
37,39,46,83
3,59,78,90
20,37,45,86
4,9,54,89
10,36,84,93
24,31,60,86
29,77,89,93
11,27,33,51
20,52,88,98
32,68,81,90
