"V1","V2","V3","V4","V5","V6","V7","V8"
24,26,42,52,60,68,90,98
17,24,39,51,66,75,87,99
8,13,31,36,45,49,81,88
2,18,52,60,63,79,82,90
7,45,47,51,65,76,82,92
27,31,38,46,48,62,64,80
1,21,32,37,51,57,67,75
1,2,3,17,31,82,83,98
40,43,51,55,57,91,97,100
5,21,32,39,51,56,57,87
18,23,29,31,40,69,78,96
15,45,51,52,55,58,66,76
40,46,55,63,64,86,88,89
19,21,22,30,34,40,44,92
3,9,21,24,80,93,95,98
30,34,38,43,48,62,95,99
5,28,53,59,60,63,70,94
2,8,16,18,25,46,63,79
6,12,15,23,27,55,64,91
7,16,17,21,29,78,95,99
5,11,12,25,40,91,97,100
8,17,31,33,35,53,60,88
15,18,32,34,52,53,72,90
5,29,46,63,70,71,85,98
3,7,14,31,33,40,51,53
16,20,25,27,50,64,68,79
20,28,29,36,38,65,69,85
28,29,38,54,66,78,85,95
9,27,32,63,84,87,89,92
17,19,29,40,55,80,89,95
5,10,27,32,62,63,81,84
3,11,13,38,56,61,69,73
23,31,46,49,56,68,81,91
12,49,64,65,74,77,81,94
16,39,47,60,61,72,75,87
23,35,43,48,64,77,87,99
8,13,15,35,45,52,55,88
37,60,61,62,65,68,76,91
6,12,53,68,75,79,92,93
1,4,16,19,20,61,62,78
9,15,30,42,45,76,82,95
29,45,53,65,68,81,93,98
2,48,52,59,60,72,78,80
8,27,44,60,66,73,79,92
5,6,21,23,41,57,76,98
23,27,54,57,58,64,71,89
12,29,37,65,66,67,72,88
14,41,55,57,58,67,91,94
9,26,63,67,68,70,85,99
34,46,67,78,79,83,88,95
36,42,49,50,59,86,90,95
22,38,43,48,52,65,94,99
38,43,53,56,72,79,86,90
28,41,47,61,62,63,71,82
3,9,20,24,33,39,49,66
11,16,27,60,66,68,69,90
7,13,34,45,55,62,63,64
6,7,17,22,37,39,60,80
25,27,34,37,50,56,79,91
5,13,26,41,73,84,86,93
5,19,29,38,49,77,80,95
18,39,60,61,72,74,75,81
13,26,28,49,56,62,82,86
23,26,43,48,71,77,97,98
29,31,53,60,70,85,87,98
10,22,36,43,71,77,86,89
5,32,51,71,95,97,98,99
3,16,17,18,34,46,75,79
6,41,52,55,57,80,83,94
9,28,41,56,65,90,92,98
7,14,33,34,54,62,66,77
21,32,33,51,58,61,76,96
1,7,9,11,48,54,81,84
8,26,36,43,49,58,85,94
6,19,39,53,68,70,90,94
3,6,23,27,32,48,71,83
1,3,9,11,53,70,81,93
9,10,26,33,54,66,67,99
2,4,25,33,42,58,93,99
7,9,14,18,31,53,60,81
30,54,82,84,87,89,90,98
3,8,15,34,65,69,78,80
29,31,34,41,78,80,81,96
10,26,29,36,38,54,77,93
25,35,36,40,46,70,87,95
16,30,40,46,73,76,77,87
32,67,77,87,88,91,92,97
23,26,27,50,64,69,78,92
5,6,14,15,29,46,67,85
13,17,24,26,33,41,75,96
25,29,42,48,55,60,71,98
10,32,37,39,57,65,93,97
1,9,13,20,30,59,60,82
4,5,6,14,16,19,83,94
5,8,15,27,46,51,72,80
4,37,41,57,63,75,89,93
11,12,36,38,51,66,97,98
14,18,31,35,46,66,73,82
9,12,13,16,18,20,39,70
19,20,24,32,36,71,80,97
9,13,18,19,20,52,59,82
9,41,42,48,58,70,84,96
2,5,8,38,85,96,99,100
12,13,15,29,55,69,85,95
10,28,36,49,51,75,79,86
9,19,40,52,66,68,92,95
14,25,33,46,53,59,79,94
23,32,33,40,63,66,84,97
11,24,46,59,63,74,76,94
3,14,24,31,39,62,66,87
29,43,48,51,59,70,77,100
8,38,47,69,80,94,99,100
7,24,26,36,42,52,60,90
3,26,30,33,39,47,76,80
21,25,43,52,57,65,68,94
15,25,32,44,78,89,92,97
19,23,27,48,58,64,71,77
6,9,24,48,49,70,98,99
9,38,43,53,76,84,94,100
1,24,43,59,74,76,77,86
5,27,28,40,54,65,80,83
28,30,51,53,59,63,71,97
13,28,37,49,65,83,86,88
10,19,22,30,36,59,63,73
27,48,54,63,64,71,84,88
7,10,11,29,36,38,41,72
18,44,51,69,74,83,98,99
1,9,28,30,46,53,76,92
15,23,27,33,48,64,72,99
3,10,14,36,58,71,73,96
2,21,70,71,77,80,90,96
1,51,72,74,79,93,97,99
7,28,33,51,59,66,83,100
8,18,26,33,60,85,86,93
54,57,64,68,81,91,93,100
4,5,8,31,45,80,86,93
23,31,41,47,59,64,68,96
19,27,37,58,64,65,73,91
9,15,26,37,60,66,70,98
2,28,43,70,71,82,89,90
7,41,57,58,59,64,73,82
4,20,27,46,55,64,85,89
3,12,16,26,68,75,91,93
12,23,44,48,59,77,86,97
29,38,44,48,54,70,85,96
26,29,33,37,42,60,75,96
2,10,17,22,36,58,71,99
13,18,20,30,39,73,82,99
38,46,48,61,76,79,88,95
5,7,22,30,54,80,84,100
1,7,11,35,45,78,83,85
27,31,36,46,56,69,80,81
4,11,14,45,62,63,67,74
4,5,17,22,41,67,72,86
2,19,26,40,56,63,74,88
4,22,33,41,50,61,85,95
15,32,33,35,53,56,63,73
4,6,23,43,45,56,78,91
5,19,26,40,49,51,64,66
17,37,42,65,89,97,98,99
2,15,17,37,60,62,66,100
41,42,55,65,76,94,98,99
1,3,11,32,35,52,53,73
12,31,53,56,71,86,90,96
7,34,41,42,57,65,75,78
4,12,37,42,51,57,58,67
24,30,33,42,44,45,79,90
16,29,31,50,69,87,89,98
9,33,35,41,58,70,74,84
5,11,17,41,51,83,96,100
5,27,38,42,51,64,72,84
1,12,31,39,47,56,82,94
1,8,10,12,15,26,27,51
5,13,17,29,41,58,81,84
1,25,31,46,55,64,86,91
5,6,15,34,42,45,49,73
20,24,39,60,61,66,87,90
3,4,6,28,34,48,62,93
23,27,32,57,74,76,87,95
10,35,49,54,62,64,84,87
6,25,32,42,84,92,97,98
3,5,11,49,51,71,76,98
21,22,33,46,79,85,86,100
12,34,61,62,66,68,79,100
