"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
5,8,13,16,18,22,35,40,47,51,53,70,77,88,93,97
14,53,66,67,69,78,81,83,85,87,88,89,90,92,94,97
9,16,21,27,44,59,66,69,76,78,80,88,90,92,97,99
6,8,21,22,29,35,36,37,51,52,54,66,67,71,73,80
8,16,22,29,33,42,44,47,51,59,70,73,86,91,92,93
4,9,17,28,35,42,44,47,55,56,62,74,76,78,88,91
7,9,14,30,35,36,37,39,48,53,83,85,87,88,90,91
4,8,22,24,29,30,35,37,45,48,53,68,73,85,91,96
8,10,22,24,36,47,51,59,70,73,74,86,87,91,93,97
9,10,13,23,27,30,34,40,46,48,55,56,62,68,82,88
5,6,9,13,25,27,30,47,53,55,56,68,76,85,90,99
4,14,23,33,34,43,62,66,74,75,80,83,86,88,89,97
2,11,16,17,23,24,36,47,60,62,66,71,75,76,97,98
2,4,6,16,21,29,33,35,42,52,56,73,76,90,92,96
10,12,17,22,23,34,36,37,61,71,73,76,77,91,97,98
2,8,10,18,22,48,70,73,74,79,90,91,92,93,97,98
10,19,25,29,34,36,40,44,52,55,74,83,88,90,91,94
1,8,10,21,22,27,32,34,38,39,47,66,70,73,82,97
8,16,17,21,22,34,36,37,38,61,66,73,80,87,96,97
21,29,36,50,55,61,64,66,67,70,80,81,87,88,90,94
15,20,25,29,49,53,56,71,78,83,85,86,90,91,92,94
8,16,21,22,27,29,37,46,51,52,65,66,73,78,80,98
7,13,14,16,36,48,53,58,71,76,85,86,88,90,94,97
1,5,8,21,22,24,38,39,61,66,69,70,73,85,89,97
13,16,20,36,37,39,42,43,53,64,70,71,76,88,90,94
5,16,21,29,30,42,50,55,56,69,76,80,87,88,90,98
5,7,8,13,22,29,39,42,47,52,54,73,74,85,86,92
1,5,8,22,25,40,42,55,60,61,70,74,89,93,94,97
2,8,10,22,23,29,34,39,47,52,71,73,78,82,91,93
7,21,26,29,33,51,56,61,66,69,73,76,80,81,82,90
8,17,22,24,42,71,73,74,78,85,89,94,96,97,98,100
2,7,11,17,24,36,40,42,53,56,71,75,83,85,88,89
5,8,16,22,23,28,42,52,55,59,73,87,89,93,94,97
7,29,30,36,42,54,56,74,76,81,84,87,88,89,90,94
4,24,31,37,42,43,44,48,52,64,74,88,90,91,94,98
2,9,18,42,46,47,49,53,56,62,78,83,85,91,92,98
1,8,10,13,22,23,28,29,35,48,61,70,71,73,82,93
8,22,29,34,36,37,38,47,53,61,70,73,79,85,91,96
10,11,23,24,36,37,47,49,62,64,70,71,75,86,91,98
6,10,23,25,28,40,49,56,71,75,78,83,90,91,92,94
9,10,13,14,15,18,26,48,60,61,69,76,81,82,88,90
9,12,13,16,44,48,52,53,64,67,68,73,81,86,90,92
17,29,30,35,47,53,64,71,78,85,88,90,91,92,94,95
8,16,22,36,37,42,43,51,53,59,70,73,86,87,89,97
4,27,28,30,36,37,42,53,69,75,76,81,88,89,90,94
1,3,8,10,16,22,40,48,51,55,61,70,73,91,93,97
1,5,7,8,10,13,22,29,39,51,69,73,74,86,89,92
10,13,15,23,25,32,34,38,48,56,61,62,68,82,83,95
1,5,11,17,24,38,42,62,67,74,75,76,86,88,89,97
2,5,14,24,42,43,53,64,71,75,76,84,85,88,89,98
8,22,24,31,42,51,70,71,73,74,78,86,89,93,97,98
8,21,22,28,29,34,36,61,65,66,69,70,73,80,81,82
4,5,7,13,16,18,23,25,34,47,52,62,67,75,83,92
9,10,13,14,27,28,32,34,38,48,62,68,79,82,83,88
4,21,24,32,33,35,49,51,56,58,62,74,75,76,80,96
2,8,21,22,36,37,49,54,66,67,70,73,81,85,87,97
8,10,13,15,16,22,23,37,70,73,78,86,87,89,93,97
3,4,13,14,48,53,64,68,76,85,86,88,90,92,93,94
8,13,22,36,37,42,47,53,67,70,73,81,87,93,94,97
6,8,21,22,29,30,33,39,43,51,66,70,73,80,81,82
2,8,16,22,23,25,29,40,42,45,70,78,89,92,93,95
7,16,17,21,30,35,36,37,42,64,71,76,88,90,94,100
7,8,22,26,29,36,51,55,61,66,69,73,74,80,89,98
