"V1","V2","V3","V4"
25,30,38,91
2,21,87,88
37,44,61,88
9,53,87,93
16,22,26,43
24,48,52,62
13,27,73,92
29,31,88,92
8,16,49,51
25,30,55,91
2,39,74,90
38,42,51,70
26,51,53,70
2,87,89,90
36,76,80,98
25,56,59,68
18,54,80,97
42,48,51,56
10,29,38,67
28,33,51,76
34,62,91,93
16,44,67,90
10,68,83,99
45,65,85,97
29,35,42,68
56,75,82,86
19,24,64,66
13,25,64,71
1,17,53,90
14,29,40,47
16,75,93,100
2,38,42,83
14,21,34,84
13,51,78,97
9,16,44,67
53,65,76,94
1,22,37,70
19,24,33,83
37,45,56,94
9,53,65,93
61,62,68,82
5,51,52,62
25,35,48,83
14,25,81,89
22,53,62,68
29,60,82,87
22,26,29,74
14,47,57,62
16,61,72,90
21,34,69,83
7,23,55,56
10,68,70,86
30,38,48,88
15,29,38,42
55,66,83,86
17,38,51,66
2,74,87,90
4,85,89,97
9,32,59,91
9,14,38,42
2,33,66,76
14,31,73,74
35,36,64,80
18,88,91,93
10,68,83,96
2,4,22,82
13,14,51,55
43,64,85,89
8,37,66,67
5,8,23,67
32,42,65,94
37,70,73,98
5,76,85,86
36,74,76,86
28,68,85,97
51,70,76,82
10,61,64,87
5,8,23,96
24,49,90,91
27,55,66,75
26,37,49,75
10,28,29,68
16,29,62,65
59,75,78,82
34,52,87,89
4,21,30,51
2,85,88,89
52,73,78,96
10,17,35,87
22,24,49,89
5,18,32,83
6,8,23,71
8,24,36,66
18,66,86,90
5,11,17,94
48,64,66,98
4,29,85,89
22,48,52,98
5,17,22,98
25,30,55,91
15,49,62,74
36,61,85,88
30,54,71,82
2,21,90,92
8,48,88,98
48,62,85,98
3,9,16,21
18,23,30,48
14,19,82,90
15,25,56,92
8,23,40,48
40,48,69,75
43,53,65,75
30,74,76,98
25,40,48,56
51,67,76,78
22,27,74,81
62,74,86,95
38,42,52,73
23,52,55,88
39,66,76,82
23,33,35,64
7,18,22,82
29,67,82,91
22,24,25,48
26,53,62,69
9,16,32,78
19,76,80,89
5,8,23,46
17,55,80,83
53,61,62,75
35,64,78,88
4,62,68,85
4,51,70,89
21,35,85,97
2,36,80,83
16,66,90,95
13,52,55,73
25,34,76,89
23,39,47,64
16,20,61,90
29,33,50,80
8,53,65,94
14,37,57,73
16,19,29,38
39,52,68,85
4,16,22,91
49,78,80,94
5,25,27,65
1,7,10,83
8,16,88,96
17,53,62,81
2,71,85,90
43,73,76,89
8,15,36,51
28,29,38,42
23,43,59,97
16,49,90,95
33,42,75,93
11,13,22,34
10,40,75,89
53,64,65,94
12,47,58,86
29,38,42,44
1,24,64,91
2,48,73,76
22,54,81,85
22,36,49,92
13,24,69,76
5,23,70,84
16,22,93,95
29,37,57,83
25,30,55,91
22,40,47,69
7,29,71,82
33,64,80,98
16,25,40,75
13,52,73,81
9,21,59,70
30,38,42,62
32,34,83,91
22,35,48,49
21,73,87,93
29,38,41,42
20,61,82,90
14,40,47,88
28,29,43,82
17,82,94,96
32,91,92,97
53,62,65,86
25,66,81,83
12,51,70,91
18,35,62,64
75,78,85,96
5,8,23,79
4,51,76,91
39,70,74,75
15,29,76,82
25,30,71,91
37,49,73,83
2,48,73,76
8,13,67,88
23,56,81,89
24,61,89,90
9,39,44,53
38,42,61,62
13,22,24,49
18,21,35,90
11,37,80,97
15,17,21,90
14,53,81,88
50,70,74,90
11,23,29,82
47,76,85,98
21,51,56,59
16,32,68,75
18,42,51,76
32,66,75,92
23,33,83,99
22,47,55,93
8,16,19,73
9,29,38,74
5,62,66,86
43,68,75,85
22,23,89,98
21,59,70,73
75,80,89,96
7,24,70,90
14,16,31,91
9,70,82,84
4,9,53,93
13,24,49,90
23,40,47,56
8,37,62,93
17,59,74,94
25,30,48,71
30,67,82,90
47,70,73,81
9,66,67,92
37,80,84,97
16,22,93,100
8,30,73,82
14,42,59,68
33,80,83,98
17,21,24,90
22,38,49,66
15,56,74,90
18,52,85,91
22,72,82,93
13,23,67,68
13,59,70,94
30,38,53,62
4,14,23,89
6,8,48,85
5,29,51,84
70,73,91,92
10,29,87,98
13,24,69,90
17,22,24,47
9,38,42,52
13,31,37,52
76,78,80,96
8,36,80,98
7,38,56,80
25,35,48,56
5,30,65,85
1,64,69,80
7,9,33,70
14,47,87,88
21,38,51,70
5,23,67,76
47,52,79,88
37,55,61,90
11,47,80,94
38,52,66,73
7,16,56,75
5,14,84,88
4,10,49,75
8,12,21,34
16,44,83,94
9,37,69,81
43,68,90,91
16,27,90,97
1,25,54,56
10,22,49,65
8,78,88,98
14,25,35,48
25,48,56,98
11,13,51,62
16,48,49,58
9,27,37,95
29,42,68,81
24,36,83,88
4,13,14,62
4,83,85,96
51,67,82,83
10,19,68,97
8,17,24,42
49,55,73,91
61,62,66,92
16,17,71,75
1,22,27,80
4,10,83,86
21,62,86,95
15,17,75,82
16,52,67,73
25,30,38,42
36,75,85,96
15,29,70,82
25,91,97,99
22,47,81,93
5,23,56,98
5,27,85,90
16,22,68,86
9,46,55,66
16,20,75,93
8,24,47,50
13,52,73,92
9,43,53,65
25,35,64,91
16,22,91,93
24,30,47,88
8,53,65,94
13,52,73,92
13,18,52,94
8,34,84,91
35,36,56,90
16,26,29,70
24,46,75,91
13,25,30,37
51,60,65,76
3,8,66,94
25,30,66,92
2,4,47,88
10,27,68,75
8,78,94,98
35,36,76,80
13,25,70,71
64,78,79,85
34,47,49,83
33,40,75,80
36,45,80,97
6,37,62,93
2,21,54,87
9,27,70,92
49,53,59,62
2,27,57,80
27,64,78,80
6,9,43,74
13,22,28,51
25,30,40,89
40,56,62,82
59,66,76,94
22,27,74,100
35,64,85,91
1,40,42,64
9,55,66,69
8,17,38,42
1,50,53,94
13,51,68,76
5,27,85,97
2,37,39,85
36,53,64,86
35,48,56,88
5,27,83,88
51,56,79,89
29,42,46,71
1,13,60,94
10,18,61,97
13,24,45,90
22,27,44,82
25,36,70,84
5,9,13,28
76,81,88,89
8,10,46,87
16,32,47,75
6,16,22,47
9,49,53,87
30,33,48,80
47,55,56,88
9,10,18,66
9,33,52,80
25,35,48,56
14,25,38,91
37,52,73,89
15,16,90,91
2,11,53,62
5,23,46,56
25,30,55,84
47,57,85,97
26,61,62,74
29,38,42,84
25,27,56,78
2,44,88,89
7,23,37,76
14,48,59,88
17,34,36,62
23,37,46,75
65,70,89,94
10,29,38,79
48,52,88,98
29,62,82,84
59,64,89,94
25,30,38,91
22,36,80,98
18,53,61,90
13,27,38,62
42,64,68,69
10,61,68,90
35,54,78,88
25,48,56,98
48,56,93,94
4,5,25,30
48,52,66,94
32,55,66,94
5,25,28,30
9,26,49,74
35,49,53,88
45,70,73,92
1,16,43,83
51,76,78,96
32,66,71,94
10,32,37,75
5,34,69,83
23,52,83,87
40,75,82,94
33,80,83,98
4,14,22,53
13,52,55,88
13,22,69,92
8,25,42,98
2,38,53,73
6,53,88,93
10,15,29,87
17,21,40,51
36,42,64,98
1,7,16,22
14,25,81,89
30,68,80,86
1,34,64,66
25,48,56,98
14,47,81,88
6,14,21,34
5,66,81,90
5,25,56,98
35,42,68,75
8,23,33,67
13,88,92,97
8,35,36,80
10,76,86,87
51,66,70,92
5,8,82,96
42,52,71,94
16,27,68,83
33,61,62,66
18,22,42,61
22,47,92,93
2,37,52,88
5,8,16,94
8,10,33,49
10,18,22,98
2,25,37,64
27,33,88,91
19,24,29,42
29,82,85,93
