"V1","V2","V3","V4","V5","V6","V7","V8"
35,38,68,74,90,91,93,97
18,21,42,62,67,92,94,97
2,5,8,15,32,88,90,91
4,7,24,42,73,75,78,97
7,16,56,59,78,90,91,94
16,25,29,33,72,81,83,93
8,24,36,50,61,80,90,91
2,5,54,61,66,71,85,90
22,23,37,39,48,66,68,97
1,9,13,32,56,81,82,88
13,16,25,29,34,55,95,96
25,29,38,49,66,78,83,99
9,15,33,34,66,70,76,88
23,36,37,45,59,61,66,75
12,18,21,30,35,64,73,82
30,53,55,76,78,79,85,90
2,16,17,21,22,40,65,88
2,16,40,48,52,62,66,76
8,42,47,62,67,82,87,94
13,28,34,52,55,62,64,74
8,14,15,27,33,51,53,90
5,13,19,29,52,73,81,95
4,35,36,43,66,73,74,97
8,13,16,36,54,61,62,81
22,23,36,56,60,66,81,95
13,16,27,36,38,69,73,83
12,13,24,27,51,64,74,87
9,21,33,34,39,49,76,88
7,23,24,26,36,52,53,75
29,36,40,53,69,73,76,95
7,18,51,74,79,83,91,97
23,35,37,42,46,65,70,75
9,21,36,37,40,49,76,80
7,8,14,16,62,66,78,95
2,10,18,26,52,64,73,74
2,32,42,48,51,87,90,92
24,25,29,43,47,66,76,78
11,17,51,53,64,71,81,86
4,24,25,33,49,64,91,94
15,16,17,30,33,51,83,91
36,46,59,80,82,90,94,97
61,65,66,75,81,85,89,99
14,19,25,34,71,74,83,91
7,8,10,14,21,29,36,92
13,19,22,25,30,35,38,74
25,27,33,34,39,53,54,75
14,16,60,65,66,76,89,94
8,21,51,52,55,57,75,80
17,38,48,62,66,85,86,97
1,14,29,62,81,85,91,93
1,34,79,80,89,90,96,97
22,23,42,48,52,61,92,95
4,12,56,62,66,78,85,94
5,13,22,23,40,52,68,90
5,24,25,42,67,70,75,95
16,33,39,43,48,56,62,91
12,13,16,61,62,76,78,79
34,51,53,67,78,87,90,97
14,22,33,35,53,88,91,96
2,10,14,45,59,78,83,88
1,9,16,46,70,76,88,89
17,19,21,26,35,62,64,85
10,26,34,61,75,78,89,97
14,16,25,36,39,66,83,94
20,42,51,55,61,75,85,89
16,23,35,53,55,72,83,97
25,30,34,53,55,70,75,84
9,10,15,17,24,33,76,89
16,44,52,76,78,88,91,98
1,13,30,34,64,73,82,84
34,53,61,68,73,90,97,98
5,6,10,24,73,75,91,93
4,25,28,36,52,82,83,94
12,37,40,61,64,73,80,89
8,14,25,66,71,74,94,96
13,25,34,38,64,67,70,74
17,27,33,39,51,53,76,90
29,34,36,69,80,83,91,100
13,49,50,59,62,64,74,94
36,37,39,66,75,83,86,88
9,33,39,49,74,76,85,91
6,23,30,45,53,56,75,81
5,10,34,47,61,64,73,83
8,29,36,52,53,81,88,90
4,5,21,27,34,70,75,80
2,7,17,25,42,74,83,87
6,7,36,37,51,66,90,97
29,70,73,82,83,87,91,96
8,9,16,23,35,36,46,66
10,17,29,48,73,81,83,87
7,37,38,56,85,86,90,91
25,53,64,71,78,85,86,99
16,21,52,64,84,86,88,90
27,47,51,66,70,75,92,95
7,9,55,64,80,86,89,90
2,17,24,39,42,48,64,73
38,48,61,66,69,72,75,85
2,6,13,25,70,74,83,98
8,14,18,42,48,62,67,94
2,5,16,49,59,62,76,91
4,10,21,23,35,36,62,93
1,23,31,32,38,64,82,91
13,64,68,70,73,81,82,86
5,13,15,16,56,88,90,94
23,29,37,70,83,87,91,98
2,13,15,52,68,73,82,83
17,29,37,47,80,81,83,95
34,54,56,61,62,79,82,91
8,9,24,33,47,54,61,80
16,31,34,40,48,52,75,80
16,17,19,38,48,66,75,86
4,10,12,13,22,36,73,86
3,25,29,53,59,68,83,91
14,16,22,23,33,39,47,86
7,13,59,68,85,90,94,97
25,29,42,48,71,83,85,93
5,13,34,49,64,87,88,96
2,21,68,70,76,84,85,90
10,13,59,62,64,69,78,94
36,42,62,64,81,85,93,95
4,7,9,62,78,85,91,97
5,12,21,22,26,42,61,73
8,29,48,49,51,66,71,84
7,26,42,51,68,89,92,97
2,4,49,62,66,68,76,82
12,31,61,70,75,80,82,89
10,11,13,55,64,69,73,86
5,10,27,64,73,87,89,99
10,15,21,30,33,34,73,83
31,38,46,47,56,61,85,90
6,52,66,73,78,85,97,98
21,42,51,68,85,90,97,98
9,17,27,37,39,48,80,83
21,43,56,59,66,75,86,88
5,52,59,75,76,85,91,95
18,25,29,34,66,67,74,83
2,14,22,23,36,66,67,71
23,24,27,29,42,57,65,74
12,18,62,64,70,74,86,91
24,38,42,47,64,69,73,98
23,71,75,82,83,91,93,98
1,13,29,81,82,88,90,93
4,51,67,68,74,90,91,97
26,27,29,42,48,51,55,56
2,52,55,65,75,80,84,89
1,29,37,57,66,88,90,93
21,37,40,49,51,68,75,80
9,24,61,64,66,71,88,96
25,27,29,42,52,65,74,85
7,25,31,34,53,56,68,75
12,27,42,48,76,88,92,94
16,46,56,59,62,78,91,94
2,6,15,47,56,85,90,92
4,9,36,37,49,66,75,85
4,5,29,42,52,60,73,76
25,43,59,64,66,68,74,94
7,9,16,55,56,65,88,89
5,18,22,60,66,86,88,97
5,25,42,54,59,61,70,83
18,23,27,46,47,70,75,82
24,38,42,48,50,73,74,97
1,14,22,35,74,80,88,91
17,25,29,35,78,91,99,100
9,16,17,59,80,86,89,97
9,16,36,53,81,83,93,95
16,25,32,64,78,81,91,94
50,51,61,64,66,69,71,74
5,14,28,66,71,85,86,90
10,15,24,30,55,75,76,91
9,48,61,80,81,83,87,89
8,9,25,26,35,42,48,92
15,21,29,49,55,76,85,90
5,7,9,21,26,30,34,80
1,37,52,75,76,85,91,98
7,29,70,71,76,80,82,91
22,47,51,79,81,82,93,97
4,8,9,14,16,33,80,86
9,21,49,56,68,79,88,92
25,34,67,70,74,75,87,91
7,37,42,51,59,61,75,89
16,25,29,36,66,67,90,100
1,7,20,51,53,55,56,90
13,16,25,52,64,87,94,96
55,56,60,66,85,86,90,95
5,21,22,24,45,70,71,80
6,16,36,51,64,66,93,98
16,18,25,48,70,75,91,98
2,8,10,15,17,21,62,92
25,52,66,78,85,87,97,98
9,16,21,33,70,76,80,98
21,22,23,27,30,38,62,92
30,51,53,55,60,76,90,98
24,29,42,48,73,79,83,93
6,17,25,40,47,51,55,64
16,30,40,42,48,56,62,100
17,29,34,36,37,66,67,88
27,45,49,53,55,64,72,88
7,13,17,19,55,83,88,94
8,9,14,34,78,79,82,89
13,56,61,62,78,81,85,95
9,17,47,57,66,76,88,92
13,25,28,29,52,71,82,83
14,23,29,53,55,61,79,83
7,30,34,38,42,73,76,78
10,32,38,64,68,70,86,89
10,30,40,48,51,72,78,83
10,30,33,34,39,62,83,89
14,22,27,37,42,51,79,89
36,42,49,59,64,73,75,82
4,5,42,47,70,73,76,86
17,21,27,36,58,62,81,85
13,18,35,42,64,69,73,74
13,34,49,53,55,64,73,79
18,22,23,26,28,35,47,69
5,8,17,24,26,29,66,73
5,9,35,38,47,49,76,80
4,29,47,52,66,73,82,83
7,21,35,53,68,77,90,97
5,9,24,26,47,83,86,88
22,23,24,30,53,55,56,96
1,7,25,48,64,66,92,94
22,27,42,51,56,65,68,74
18,21,25,27,39,56,85,90
30,34,64,68,73,82,91,96
1,14,27,40,62,74,76,91
8,10,23,32,38,48,86,90
4,10,27,47,51,76,90,92
9,10,21,32,55,56,62,77
24,42,62,65,69,74,97,98
22,27,28,52,53,55,82,88
13,32,34,37,52,75,80,87
16,25,36,46,64,81,86,91
2,7,42,68,70,73,83,92
8,14,22,38,42,48,51,67
2,13,17,40,73,78,82,83
40,62,69,74,76,91,94,100
5,52,59,60,80,83,91,94
7,9,13,49,56,78,79,85
1,21,37,51,55,59,64,93
1,21,22,30,37,42,59,88
5,29,42,47,51,67,69,90
7,13,51,56,85,87,90,92
23,37,42,46,48,64,65,86
19,38,48,51,70,82,83,91
2,23,36,38,53,60,70,75
5,34,42,61,73,79,90,97
8,27,29,37,47,53,65,73
18,23,29,35,41,53,70,90
25,34,37,49,71,91,96,97
1,2,4,17,64,66,73,74
16,38,43,48,56,75,80,94
13,14,18,22,23,37,67,76
8,24,42,48,57,62,71,93
9,11,27,38,56,66,78,85
34,36,53,67,70,75,80,92
14,21,22,37,65,67,80,94
5,23,26,41,61,75,82,91
2,16,21,22,31,33,52,88
6,21,28,35,62,64,70,82
14,16,22,25,31,46,66,94
5,9,24,26,49,56,80,91
2,10,40,65,70,78,83,89
2,16,40,47,62,66,70,76
5,19,27,42,58,64,73,81
14,27,28,62,66,71,78,85
2,8,13,14,25,26,40,82
5,23,30,42,64,73,79,91
8,24,30,31,48,62,82,91
4,27,37,42,47,51,70,75
22,30,44,47,51,59,64,82
11,27,36,53,56,75,81,88
7,17,26,66,78,90,92,97
14,24,42,47,51,65,67,75
8,9,24,74,80,87,91,96
12,21,30,39,55,62,76,85
1,29,49,59,74,88,90,91
21,29,32,39,42,55,85,90
17,29,40,66,76,78,85,90
5,7,25,38,42,56,83,85
11,42,48,64,73,86,92,93
5,14,22,25,39,66,71,94
15,18,22,23,24,30,42,48
5,10,22,30,39,51,65,91
5,25,34,39,69,87,91,97
24,30,36,39,51,53,76,90
8,10,13,15,30,55,62,100
2,10,36,38,70,83,84,88
10,18,28,29,30,47,62,76
4,5,21,22,49,52,81,88
29,36,70,76,80,82,90,96
28,38,52,53,68,76,90,94
21,36,37,59,69,86,88,97
10,24,47,64,69,73,86,87
24,29,36,53,69,79,83,88
15,24,30,33,47,62,76,95
23,29,36,38,49,76,82,84
9,17,37,44,47,80,83,98
9,17,34,36,40,53,76,88
5,8,21,29,38,53,73,93
9,12,22,33,35,56,85,91
8,10,15,24,30,62,68,89
23,24,29,53,57,68,69,75
5,23,32,40,62,66,76,86
8,9,13,35,74,87,88,93
16,23,27,38,48,70,75,91
9,16,33,67,76,88,91,95
14,25,37,67,83,87,91,94
7,8,23,24,47,53,62,71
10,15,22,23,24,30,78,89
2,14,37,66,75,79,88,96
15,30,33,34,53,62,76,80
