Method,Density,Voronoi,Moran,Local Balance
"K-Means (1, 1)",-0.08400458711436501,0.14225000000000027,-0.10092745238769628,0.2692424243972519
"K-Means (1, 1)",0.2024273207666623,0.07725000000000014,-0.17959955798405414,0.277522036976446
"K-Means (1, 1)",-0.10636693950172504,0.1711500000000003,-0.16743995027185934,0.30649864427365225
"K-Means (1, 1)",0.12574743120086346,0.07395000000000013,-0.11115696220999709,0.3545818468805608
"K-Means (1, 1)",0.09272484003614265,0.07410000000000012,-0.4629966317723504,0.25061792667111654
"K-Means (1, 1)",0.2437675852011288,0.07470000000000013,-0.16676071862007677,0.2519113692256401
"K-Means (1, 1)",0.18957653967578933,0.06565000000000011,-0.19946966861915125,0.23679457867928894
"K-Means (1, 1)",0.054577939459631866,0.07435000000000014,-0.20921530482026962,0.2756759433904192
"K-Means (1, 1)",-0.11192036253156784,0.2608500000000004,-0.16489855947391938,0.37648301917826904
"K-Means (1, 1)",-0.10280571180156553,0.1738500000000003,-0.08461872393711253,0.3231673281250672
"K-Means (1, 1)",0.09379917936439075,0.07715000000000014,-0.2640584753481326,0.293128286877017
"K-Means (1, 1)",0.12574743120086346,0.07395000000000013,-0.11115696220999709,0.3545818468805608
"K-Means (1, 1)",-0.12239144533333098,0.15490000000000026,-0.16970209118526886,0.37005707392413933
"K-Means (1, 1)",0.2023312109638476,0.07515000000000013,-0.19961860851932484,0.3234817819883524
"K-Means (1, 1)",0.13267220732635007,0.07815000000000014,-0.45182687869317034,0.2412224790762791
"K-Means (1, 1)",-0.10511106679595342,0.1826500000000003,-0.16543408234322451,0.36025720221589774
"K-Means (1, 1)",-0.12600729560716092,0.15490000000000026,-0.16970209118526886,0.37005707392413933
"K-Means (1, 1)",0.132155958506602,0.07390000000000013,-0.21271339979527484,0.2795326187981054
"K-Means (1, 1)",-0.5047561178719966,0.5169500000000009,-0.049145446118484544,0.7338972009857593
"K-Means (1, 1)",-0.13705977208664663,0.2171500000000004,-0.17004322284989448,0.33495042337886843
"K-Means (1, 1)",-0.03498274809521963,0.07925000000000014,-0.6305476678616583,0.2971496920484853
"K-Means (1, 1)",-0.059114046497580036,0.07815000000000014,-0.3405686422131876,0.26811636160583174
"K-Means (1, 1)",-0.018667944186518414,0.08415000000000014,-0.29600328573562035,0.2147172199125842
"K-Means (1, 1)",0.04784457543005391,0.07725000000000014,-0.4575158598207525,0.2673221159297336
"K-Means (1, 1)",0.03493676801905929,0.07570000000000013,-0.12159641892434389,0.3095447210084358
"K-Means (1, 1)",0.023289508678647104,0.07745000000000014,-0.3022263357277468,0.3591492225781122
"K-Means (1, 1)",0.012540520844275857,0.07470000000000013,-0.38959680069468255,0.28136765311040607
