Method,Density,Voronoi,Moran,Local Balance
"K-Means (1, 1)",-0.051226248401745986,0.0578727400918085,-0.20487759471808345,0.17558936894534663
"K-Means (1, 1)",-0.09052342038928013,0.09327356863956277,-0.11526244644698319,0.23574657026934345
"K-Means (1, 1)",-0.23369855351966992,0.07512831908129058,-0.22091263686301332,0.21413313846158097
"K-Means (1, 1)",-0.3157638267568832,0.08579636234079485,-0.09337033387046675,0.4755129829763565
"K-Means (1, 1)",-0.20520758665690678,0.08453891453987936,-0.1631370018310099,0.2939379574474331
"K-Means (1, 1)",0.15080361082954893,0.0673417380477916,-0.13435255444351574,0.21860944704807853
"K-Means (1, 1)",-0.3036079240369033,0.10281434064317037,-0.08249055504806556,0.42209688848324833
"K-Means (1, 1)",-0.41943062190701386,0.05095693744616416,-0.04453521375665005,0.49518153541684773
"K-Means (1, 1)",-0.3859958429114414,0.07629223689017642,-0.08775671464309907,0.5092457383400878
"K-Means (1, 1)",-0.03688860138995965,0.10177701210747198,-0.1738596972298188,0.20622314160059643
"K-Means (1, 1)",-0.27767040535074555,0.09248469241771494,-0.13575997791553224,0.3797066636756265
"K-Means (1, 1)",0.05001601671669626,0.027222136575390205,-0.17301845335557497,0.18059484448584365
"K-Means (1, 1)",-0.5128100360759521,0.01730478220431651,-0.0714404908814075,0.49581218676230293
"K-Means (1, 1)",-0.10400816117228179,0.3038350715569799,-0.14992641465223258,0.45015360069908117
"K-Means (1, 1)",-0.3859958429114414,0.07629223689017642,-0.08775671464309907,0.5092457383400878
"K-Means (1, 1)",-0.1924548279318785,0.09920603663862804,-0.06549355467847093,0.4173314143065979
"K-Means (1, 1)",-0.37287271703234875,0.04936230111624156,-0.05714841359642813,0.40242458767225164
"K-Means (1, 1)",-0.5009501113450806,0.11660490226509454,0.027169235454669968,0.5399252650382175
"K-Means (1, 1)",-0.08244030038678618,0.021556053284914674,-0.16574227193314828,0.25548233659696257
"K-Means (1, 1)",-0.3157638267568832,0.08579636234079485,-0.09337033387046675,0.4755129829763565
"K-Means (1, 1)",-0.1629761590640598,0.025249273538825678,-0.22931957537355668,0.34802786304181715
"K-Means (1, 1)",0.018194835150785113,0.05698467057501674,-0.2148786699178892,0.17897980181563497
"K-Means (1, 1)",-0.06511902001527382,0.04258386017408163,-0.1718150806654376,0.18463448379750225
"K-Means (1, 1)",-0.3099775286597539,0.03947568468708015,-0.1823855974466063,0.3708922060146297
"K-Means (1, 1)",0.06871250267867408,0.23445878630902744,-0.0707774808658746,0.40105686354770503
"K-Means (1, 1)",-0.2986994231709993,0.2139277934725553,-0.08177227300880346,0.44911064163126785
"K-Means (1, 1)",0.06871250267867408,0.23445878630902744,-0.0707774808658746,0.40105686354770503
"K-Means (1, 1)",-0.36536556240026874,0.10759205869902674,-0.08683803562268717,0.5117162360702363
"K-Means (1, 1)",-0.34652627485518395,0.12371953151631318,-0.05816420599696198,0.5057663402166017
"K-Means (1, 1)",-0.02994723626402452,0.046977693380071156,-0.21046760539693438,0.221078177255084
"K-Means (1, 1)",0.01829502850239518,0.048052653909634944,-0.1744623626764771,0.403993792211301
"K-Means (1, 1)",-0.0671070980956531,0.04258386017408163,-0.1718150806654376,0.18463448379750225
"K-Means (1, 1)",-0.0739489564376134,0.04839686440563276,-0.21875622463013566,0.21720257206406804
"K-Means (1, 1)",-0.28077548405536407,0.14561017386345004,-0.0643414015943445,0.40705411195971053
"K-Means (1, 1)",-0.48916887806095577,0.022874367611953796,-0.011209139655727536,0.5016503577813134
"K-Means (1, 1)",-0.020668894582140624,0.13148582978608866,-0.17496666561160498,0.37329622386611144
"K-Means (1, 1)",-0.14842582566867238,0.029014965515204334,-0.23185534475521508,0.34930567531622153
"K-Means (1, 1)",-0.271959499569005,0.09600889644800771,-0.06648670063291871,0.48612701358969623
"K-Means (1, 1)",-0.07299349069958275,0.3272496238870344,-0.15861054229797317,0.4504079422938235
"K-Means (1, 1)",-0.2476688917001078,0.03312027228307329,-0.046231703889918124,0.4059627385051812
"K-Means (1, 1)",0.06408632645966333,0.05036553063600342,-0.15431546728709292,0.1702951702099128
"K-Means (1, 1)",-0.2856512337558793,0.39778009146887516,-0.03143892160053429,0.5386090168956604
"K-Means (1, 1)",-0.2749114458650419,0.015031283077357585,-0.11046902220971985,0.3204300238062948
"K-Means (1, 1)",-0.26986100299201243,0.08946126944636881,-0.1586097699778447,0.5000626699565568
"K-Means (1, 1)",-0.20681694594556374,0.060095031136273944,-0.21062835608454647,0.4430622192568571
"K-Means (1, 1)",-0.10810260827312766,0.1719852370806089,-0.2066595698985941,0.4332547565137053
"K-Means (1, 1)",-0.009978948702008314,0.23602804722773368,-0.1489015109619926,0.6581015072442873
"K-Means (1, 1)",-0.13488333031332705,0.16449605086525915,-0.24505577930078398,0.4390287097502146
"K-Means (1, 1)",-0.483693737304274,0.07001698686024901,-0.06064589382354609,0.4442319997577528
"K-Means (1, 1)",-0.16644005019311708,0.010891204589473857,-0.11410708861707428,0.2778323752529791
"K-Means (1, 1)",-0.027973101027019717,0.1308388646914837,-0.20112929189671022,0.25994199861870754
"K-Means (1, 1)",-0.16993840970249496,0.2971039702724516,-0.07631418205739504,0.7168015434969813
"K-Means (1, 1)",-0.11471360807153426,0.03802511468395886,-0.17213613633328576,0.20277520165148902
"K-Means (1, 1)",-0.44528118084077406,0.22789465462310066,-0.08867870451467262,0.49417047099394085
"K-Means (1, 1)",-0.0921590525361582,0.09327356863956277,-0.11526244644698319,0.23574657026934345
"K-Means (1, 1)",-0.18219448465816035,0.2351872506652027,-0.02782728107986072,0.4126181485022949
"K-Means (1, 1)",-0.10735539526555918,0.05302313737969855,-0.11672233236175164,0.24006002616705446
"K-Means (1, 1)",-0.21836372026930695,0.09140408745128449,-0.16479833143594483,0.23765668978752835
"K-Means (1, 1)",0.06456135473438493,0.21503603704088867,-0.09450645936140402,0.44429180919240346
"K-Means (1, 1)",0.05756440550738141,0.22657926334130596,-0.11057386087242069,0.6987129003288662
"K-Means (1, 1)",0.06396395984370319,0.05036553063600342,-0.15431546728709292,0.1702951702099128
"K-Means (1, 1)",-0.2169174983949421,0.028809270673835683,-0.19636858503736776,0.3981175162245823
