"V1","V2","V3","V4"
46,27,121,319
87,301,177,364
100,255,98,266
127,356,44,306
363,68,141,239
114,63,121,305
90,293,339,210
196,11,282,332
317,371,180,1
127,112,170,47
31,29,47,134
356,229,8,183
285,68,29,206
260,15,294,189
387,349,32,392
288,332,108,130
180,318,330,371
124,153,262,181
13,250,85,11
77,367,313,149
125,333,239,2
276,262,200,120
68,150,242,205
96,115,27,239
364,121,90,214
196,327,128,28
196,102,58,115
200,6,318,242
91,375,213,218
84,50,49,372
74,320,18,379
174,54,114,296
95,400,190,148
222,171,217,283
257,33,173,187
152,188,37,337
143,193,261,74
90,36,293,283
255,295,46,343
271,321,125,93
345,336,58,338
186,212,198,386
244,92,179,214
136,329,312,376
307,59,289,63
29,150,317,5
321,334,88,155
207,318,195,291
156,219,381,41
147,213,46,165
172,277,390,65
207,379,173,167
114,308,321,357
315,354,43,25
292,400,349,337
130,385,104,143
137,66,28,311
285,69,399,113
336,63,254,142
178,162,89,51
201,268,72,174
77,76,396,125
169,210,308,349
94,377,238,296
162,63,96,44
355,282,143,38
17,208,75,101
266,286,101,186
261,384,257,70
367,167,360,146
59,240,362,214
52,318,185,320
64,346,264,76
128,302,289,163
317,189,253,333
97,260,92,350
146,266,181,281
273,342,349,245
349,135,287,373
120,254,16,2
205,183,298,148
338,82,362,89
250,386,120,137
65,167,87,3
114,54,217,208
145,378,254,140
167,170,168,364
170,104,269,342
122,295,126,350
165,2,372,268
196,320,57,164
109,381,58,205
345,375,8,176
142,202,262,2
14,341,364,336
376,290,210,87
292,8,27,57
91,397,294,253
390,263,49,151
126,53,184,160
379,164,19,369
179,303,286,363
350,122,320,114
332,268,43,42
238,310,318,16
336,116,396,216
17,119,362,1
340,267,217,297
32,166,322,332
272,123,371,249
104,190,9,398
199,43,340,281
322,39,353,299
368,25,114,264
307,78,316,119
136,86,146,294
273,168,384,228
97,89,94,156
156,247,108,107
149,212,168,41
175,244,152,209
9,7,84,339
125,207,228,220
350,359,95,208
24,258,80,99
247,15,186,92
367,17,114,32
209,202,387,304
332,123,29,382
197,343,165,285
148,42,58,300
150,384,38,192
79,37,24,322
157,295,181,145
211,43,52,320
65,324,126,345
32,398,317,175
61,14,109,39
342,327,399,253
205,28,194,3
155,40,83,376
330,190,395,290
373,117,61,110
222,383,263,350
247,9,221,290
45,264,8,378
285,383,398,345
12,89,145,88
286,45,105,252
399,16,293,165
1,306,343,96
155,236,356,198
361,373,91,220
315,144,223,33
376,59,265,247
33,204,300,381
292,216,357,76
194,147,270,92
368,35,168,41
32,24,281,88
126,187,220,397
147,343,218,356
121,219,297,33
172,352,152,316
254,302,57,2
48,286,236,283
147,265,45,77
16,363,265,36
249,363,49,272
335,160,178,181
27,373,325,352
30,300,44,267
284,279,70,3
18,229,167,116
299,186,98,28
209,392,272,26
349,263,75,195
330,202,159,18
287,263,225,200
28,10,57,355
395,20,374,39
67,73,159,115
175,111,107,203
138,170,328,211
10,253,70,175
198,253,67,66
60,17,20,375
324,74,223,396
24,329,36,253
74,336,185,125
196,11,200,116
11,120,344,46
24,287,285,206
102,100,136,351
351,352,270,198
290,121,184,304
393,297,125,164
324,157,400,331
352,165,183,8
325,221,205,45
96,29,12,314
319,379,220,72
226,40,368,59
83,275,97,336
309,81,113,152
354,380,208,20
345,232,289,386
212,378,95,41
368,400,367,228
161,145,217,174
72,168,181,92
214,369,76,93
160,238,140,35
165,175,302,121
18,7,390,277
246,245,45,64
324,344,247,241
238,48,390,178
380,176,282,284
264,228,365,81
292,65,332,361
181,304,199,271
260,390,360,395
343,202,287,264
70,147,304,236
89,317,353,237
212,127,341,182
132,158,162,45
113,313,61,249
111,342,180,330
295,121,230,48
260,339,338,153
335,187,78,46
109,395,250,85
77,338,50,104
90,176,356,339
239,58,370,2
20,18,77,172
12,350,296,41
307,156,267,236
13,62,34,274
15,226,253,342
196,231,84,25
239,19,351,136
201,123,204,49
2,58,346,241
65,115,73,152
172,189,76,149
83,167,141,251
53,255,233,250
142,54,166,48
61,213,206,373
390,384,73,134
166,177,299,340
89,377,304,165
21,70,224,165
387,233,114,360
278,393,61,317
317,258,238,381
67,74,109,65
109,235,137,374
332,288,231,350
224,24,110,185
208,304,73,113
33,239,8,68
72,322,374,47
