"V1","V2","V3","V4"
36,128,184,358
26,202,282,388
91,230,304,373
33,188,256,379
58,137,200,333
3,122,202,327
34,104,187,296
139,154,238,390
12,135,265,398
108,156,267,362
28,106,184,326
57,235,295,336
107,200,267,368
97,151,266,398
63,138,281,365
34,141,209,299
56,187,279,388
82,218,268,382
95,277,314,399
31,64,217,256
64,150,222,386
52,119,237,334
82,186,297,395
26,218,244,330
49,159,244,371
19,204,293,331
117,207,289,399
86,147,278,398
111,177,271,390
14,149,179,257
107,144,193,380
42,100,195,320
10,73,264,358
27,102,294,349
28,57,251,387
100,247,281,393
74,216,290,388
22,122,152,311
94,134,187,379
8,78,202,320
66,144,236,315
26,76,188,322
46,149,169,354
13,211,237,346
80,206,312,322
41,102,196,385
31,113,162,317
59,187,267,337
2,109,232,379
70,74,295,385
25,128,269,389
30,193,227,325
52,224,244,371
96,187,262,356
31,125,166,322
21,200,305,376
40,129,146,326
2,72,204,277
8,183,257,375
76,137,189,324
141,176,253,359
24,155,200,346
12,99,227,370
72,88,209,337
55,170,236,392
33,88,214,307
115,144,270,397
31,90,300,373
73,101,307,316
63,235,236,336
27,101,280,357
33,126,269,395
132,208,258,374
6,205,287,362
97,168,297,389
87,176,277,370
7,114,259,372
45,224,240,335
80,207,263,319
36,219,272,373
117,138,265,349
20,118,251,393
17,89,167,332
81,217,283,375
10,99,234,338
63,217,241,342
113,213,280,348
64,74,246,327
16,145,217,284
115,175,326,373
9,125,187,350
87,230,280,341
42,177,273,387
103,165,295,357
115,163,302,361
61,227,295,314
111,199,267,339
121,184,242,329
89,226,249,375
87,152,255,321
51,64,137,307
26,208,303,379
95,237,303,324
56,74,153,296
21,176,252,354
69,84,227,334
53,204,246,355
19,100,191,327
40,155,260,363
48,131,146,246
155,200,246,356
22,153,193,344
43,234,262,362
33,108,138,286
56,229,242,382
12,118,164,269
9,109,225,378
9,110,194,335
100,228,240,364
102,228,250,385
65,211,288,396
25,99,219,313
69,232,287,374
35,79,245,397
86,183,303,352
20,88,247,395
93,163,248,379
1,66,223,382
15,38,226,294
83,167,264,391
44,171,243,353
57,219,243,372
3,110,185,270
27,120,183,285
51,222,283,341
102,181,262,302
37,112,167,391
35,71,296,375
98,186,258,355
93,195,306,314
45,107,307,312
46,113,226,322
92,223,325,370
54,70,238,377
133,200,349,350
116,215,263,382
19,86,265,353
81,184,300,348
63,137,186,327
6,188,193,323
76,210,276,376
6,85,248,379
52,159,273,395
127,183,264,342
21,227,275,393
54,64,237,350
57,223,291,363
71,251,287,383
45,206,246,387
91,156,253,300
65,154,276,386
85,209,252,371
98,152,268,341
40,126,217,301
116,217,281,397
15,218,236,323
31,123,144,317
61,206,244,379
17,117,196,294
46,140,146,387
66,196,253,338
11,100,230,273
105,241,319,379
22,151,248,378
22,123,230,337
38,167,342,386
93,163,288,395
78,103,220,329
43,132,246,352
107,175,252,334
79,178,255,363
15,148,194,268
40,136,138,319
8,126,197,344
100,215,243,356
43,121,180,318
30,150,235,332
28,198,303,362
39,165,292,354
148,188,282,372
16,117,162,312
83,198,287,344
63,112,189,284
39,190,306,349
19,100,135,393
50,63,199,302
59,209,241,366
80,101,154,281
4,177,264,381
23,117,195,336
41,141,270,368
49,192,274,396
22,137,162,269
19,67,185,315
25,126,171,325
81,100,176,299
21,156,158,374
115,206,271,343
66,156,253,380
115,159,294,352
2,127,251,365
81,160,295,399
130,203,264,363
11,102,229,321
81,205,296,340
52,124,182,333
81,156,277,363
22,143,204,317
38,88,186,315
70,175,252,361
30,96,280,377
21,131,182,346
58,211,334,335
16,128,263,377
92,231,273,334
43,135,293,365
105,224,287,356
49,118,198,308
17,226,268,381
63,79,174,341
81,218,300,395
26,52,195,379
17,160,272,362
1,110,160,333
52,187,300,340
73,208,280,381
77,175,276,336
26,124,225,330
76,90,247,343
44,79,178,365
15,134,156,383
12,123,238,367
85,131,299,386
16,178,257,396
96,161,280,371
15,118,221,307
6,37,223,334
55,174,295,377
47,175,246,363
2,155,205,336
60,175,309,395
30,199,272,362
20,68,265,368
83,219,244,334
92,152,272,314
98,225,323,362
49,131,157,311
29,124,187,364
60,83,225,337
36,54,333,348
33,72,154,300
57,159,245,361
65,238,297,353
14,93,312,400
74,229,290,306
43,125,187,322
96,163,263,343
12,222,263,394
82,150,212,299
21,78,151,344
49,231,260,376
38,146,236,323
21,218,306,371
55,128,177,256
26,223,302,400
101,228,271,363
55,134,235,304
17,155,184,302
86,168,258,357
4,114,189,262
48,115,211,328
67,210,262,349
11,117,259,388
48,136,283,387
112,228,293,331
41,129,176,325
6,131,146,301
72,238,340,394
36,193,203,344
30,225,302,351
50,160,262,367
3,138,253,393
38,200,283,319
2,142,231,343
38,159,335,360
19,130,258,352
62,107,156,311
26,91,182,328
13,57,135,304
7,136,184,305
18,133,217,322
22,178,267,385
52,193,259,338
51,113,241,385
60,225,260,343
121,205,288,386
56,164,266,388
92,226,263,374
72,224,267,349
69,172,257,397
30,114,223,305
15,98,204,312
53,229,246,300
2,145,171,324
29,214,316,396
87,215,264,346
97,180,278,386
142,194,271,367
97,198,279,345
47,170,283,345
67,222,291,359
55,116,235,323
44,136,200,362
60,176,256,309
10,76,152,350
15,181,271,389
58,113,212,322
6,126,190,364
17,143,219,309
56,212,277,395
75,91,245,319
27,131,164,302
40,89,260,396
137,224,290,398
6,132,146,383
103,172,312,333
51,148,163,382
8,134,184,323
32,104,166,382
99,159,256,387
95,219,254,363
13,68,153,323
41,176,276,381
78,80,192,315
57,168,281,339
40,90,129,316
46,127,238,382
111,204,261,383
74,130,218,293
91,207,301,399
1,137,160,298
14,177,248,356
15,156,193,351
10,148,218,278
1,142,174,325
61,135,254,381
39,179,257,374
39,121,281,391
75,101,315,396
23,139,172,284
111,170,262,350
133,154,272,353
11,116,185,396
37,160,278,395
9,130,167,380
88,177,264,389
104,164,267,384
46,114,179,326
24,220,268,392
56,108,199,284
56,157,255,396
41,138,149,350
86,185,301,348
77,172,265,385
39,79,164,339
61,191,304,352
21,149,224,335
56,152,317,372
62,168,236,355
15,123,194,310
42,193,204,323
74,106,336,395
43,118,256,343
67,202,279,383
54,113,184,350
30,141,151,290
37,174,254,355
