"V1","V2","V3","V4"
5,353,78,260
227,330,305,132
50,192,226,316
46,63,373,44
352,369,363,258
116,373,137,343
395,199,265,128
129,149,305,293
77,181,84,290
302,279,8,43
345,398,240,172
372,299,176,142
337,95,199,294
63,350,224,382
91,62,350,249
108,305,9,398
225,378,394,396
27,256,346,101
340,136,20,220
140,109,56,22
113,381,146,252
265,372,188,195
214,311,230,217
229,240,278,88
194,179,364,305
312,191,63,169
356,101,37,145
307,377,99,132
111,254,180,133
392,353,187,207
342,230,52,47
143,54,266,342
116,264,170,201
392,1,17,231
64,169,111,275
184,70,149,81
121,165,9,89
13,61,326,388
30,211,136,1
94,147,157,265
149,373,355,222
380,266,243,90
3,168,155,76
149,135,238,75
116,133,389,38
56,54,261,101
324,374,27,204
268,82,226,101
264,400,146,219
120,215,144,327
246,368,118,344
183,227,16,161
107,73,143,57
290,38,307,292
30,164,399,99
144,396,135,203
318,85,313,330
358,201,60,117
281,215,143,350
139,4,112,279
392,241,110,202
217,91,48,94
216,307,391,5
256,251,261,285
251,119,337,109
18,395,203,59
276,399,245,308
182,399,330,298
280,189,11,308
113,310,125,394
65,202,237,5
6,347,333,30
138,163,157,296
63,388,14,292
164,219,279,295
318,162,355,305
229,61,181,144
138,230,69,174
307,96,224,217
42,49,97,291
18,100,309,284
398,300,210,150
277,56,81,3
372,336,338,98
333,122,338,178
230,3,369,163
400,4,351,362
247,155,393,313
98,305,121,238
367,197,175,306
88,146,175,43
222,260,286,265
1,291,387,228
179,156,149,227
175,87,221,377
153,170,17,132
209,251,195,397
201,28,95,333
240,177,12,372
122,56,183,62
178,133,214,15
350,382,292,269
302,54,297,306
24,179,310,132
24,116,389,343
370,252,347,26
1,323,126,141
350,74,20,243
105,45,18,28
16,363,317,380
337,60,155,72
191,98,335,235
3,26,381,335
299,152,268,315
337,167,240,84
253,147,207,152
180,390,231,295
104,249,284,208
399,190,90,237
266,3,216,292
322,382,337,173
113,152,336,329
57,211,118,272
7,19,364,105
337,39,111,295
13,202,47,72
400,226,71,192
122,267,48,257
375,327,153,96
342,3,321,327
369,324,314,345
350,123,183,303
393,349,18,247
350,109,57,223
240,364,338,60
172,153,333,145
55,373,78,306
174,120,287,25
248,294,303,316
325,270,334,391
352,394,215,279
320,114,139,93
227,211,210,101
306,189,135,97
103,394,349,286
323,288,337,296
392,356,16,358
305,136,394,111
19,35,71,371
51,132,9,233
166,96,128,387
203,234,55,216
109,170,52,40
381,326,232,11
44,2,155,339
198,392,268,117
112,227,239,185
189,226,168,190
361,104,67,198
34,257,103,335
384,134,275,350
124,325,374,315
303,1,361,182
159,115,215,326
196,133,400,297
350,231,312,288
194,248,62,83
9,125,246,64
18,110,20,91
281,19,11,220
98,388,119,146
37,341,53,396
263,345,51,214
123,327,320,86
251,285,272,325
146,318,177,163
336,9,298,113
314,388,5,389
169,188,376,178
98,193,359,103
389,312,15,4
155,34,274,345
298,218,77,302
262,70,93,85
323,129,341,369
364,391,265,317
189,184,1,126
360,239,47,121
170,95,24,341
49,318,309,55
95,129,313,278
306,84,22,207
388,32,311,154
131,130,12,48
129,134,249,204
159,15,275,63
122,54,215,195
339,314,112,275
129,123,100,138
266,279,128,134
55,245,368,134
268,53,37,215
147,279,193,268
316,265,389,68
7,270,312,190
66,160,104,286
89,243,231,11
15,48,192,249
353,48,6,220
169,216,41,247
50,248,177,16
86,368,68,104
19,139,359,264
36,172,144,49
288,131,348,171
29,333,342,95
13,216,188,202
40,162,187,233
54,111,132,232
280,118,357,51
242,7,283,141
155,91,363,292
66,264,326,376
242,249,55,211
159,276,370,198
26,32,121,35
364,388,155,135
323,157,112,396
225,45,223,393
25,161,182,241
60,374,320,63
340,255,348,67
159,100,37,293
10,290,17,169
400,149,171,17
116,270,88,114
397,330,377,297
235,53,318,260
86,67,318,36
316,160,251,336
86,192,150,333
26,295,395,256
5,128,19,369
63,178,273,163
221,355,282,113
230,80,162,378
336,32,363,65
2,237,364,250
106,365,1,311
164,353,308,192
369,105,28,379
115,277,204,98
27,362,15,300
33,319,316,36
230,225,66,195
393,168,125,179
356,100,195,2
236,225,352,157
386,266,99,80
56,124,211,36
72,373,179,122
384,290,72,118
43,9,91,183
217,79,386,240
89,348,292,148
350,399,139,76
129,225,271,5
65,98,234,279
99,229,143,77
195,397,233,34
39,288,168,133
308,264,223,206
4,346,92,369
17,208,316,261
379,152,22,331
84,82,236,322
87,20,19,2
124,17,285,276
283,161,57,303
364,11,174,310
352,388,286,54
383,119,140,223
72,85,8,161
29,7,345,74
290,357,275,34
211,304,222,376
393,10,366,184
10,194,161,143
389,76,318,129
336,337,32,122
35,190,106,16
216,391,378,315
54,271,290,241
105,373,87,54
89,95,188,299
54,370,300,245
191,398,253,279
323,26,397,257
344,300,206,96
53,1,244,172
291,265,163,136
317,215,171,132
333,384,43,65
330,31,315,180
366,65,114,66
50,223,333,77
193,90,279,274
371,347,329,28
143,195,376,188
103,132,350,39
244,175,194,58
385,328,67,32
4,90,106,163
144,370,80,191
26,105,91,170
386,377,395,228
378,109,206,170
181,273,76,57
54,192,106,287
174,347,22,60
286,22,279,65
231,111,199,217
93,120,354,271
275,245,272,183
246,169,360,306
341,287,53,41
66,18,392,70
194,72,315,268
138,299,224,132
252,294,41,131
217,54,127,295
397,15,49,203
196,343,397,351
332,9,73,36
317,83,175,254
12,35,122,258
127,296,331,70
282,168,239,140
271,341,355,392
350,365,259,279
71,206,207,142
84,315,363,301
256,220,10,154
176,316,273,10
45,33,111,341
44,206,292,325
142,230,96,67
379,272,279,142
193,43,54,397
274,7,340,154
21,31,24,151
347,199,180,331
393,193,129,47
283,352,158,378
246,280,349,230
255,19,35,371
343,349,25,313
313,278,1,171
102,305,78,44
81,275,337,33
358,18,37,338
5,109,101,204
356,279,380,30
30,181,103,153
364,20,354,200
266,132,71,385
9,116,18,323
297,237,173,155
180,139,116,79
338,126,394,287
379,91,251,31
277,155,183,362
56,60,229,377
276,64,231,266
135,391,366,24
43,164,183,353
226,356,71,251
379,360,370,131
