"V1","V2","V3","V4"
255,315,339,379
187,277,343,392
157,271,339,379
148,188,313,380
47,235,264,378
230,274,340,367
237,312,354,394
142,189,304,375
248,319,323,384
156,264,331,365
115,160,306,341
17,219,276,381
152,273,328,391
199,265,339,365
203,316,321,393
219,261,334,399
150,259,313,370
237,320,368,396
150,222,309,356
65,176,303,319
127,247,313,380
175,266,320,392
126,187,312,373
75,269,277,393
155,178,283,325
263,314,322,398
55,246,326,389
142,224,304,381
143,267,314,346
241,289,345,365
218,271,324,367
197,295,324,338
139,171,312,374
209,242,311,380
222,251,320,384
127,138,313,391
119,231,312,353
238,308,335,376
167,267,320,385
143,270,337,395
135,275,342,383
222,277,354,394
11,233,295,374
78,208,281,367
193,309,332,385
92,169,305,386
94,173,276,359
74,335,352,400
126,144,274,338
248,276,339,393
128,212,368,379
56,201,315,345
3,205,295,374
240,310,349,383
106,269,352,369
192,303,357,379
118,284,325,357
98,196,303,364
184,256,357,389
45,216,294,363
226,277,324,400
142,201,310,359
155,299,332,398
125,198,300,377
223,263,332,396
156,239,322,384
187,246,323,387
117,269,292,373
167,261,366,382
165,265,300,345
238,318,327,385
192,303,341,394
186,283,352,369
96,192,311,383
134,234,305,339
117,156,289,363
236,261,307,354
43,198,327,334
157,282,317,387
198,246,346,393
174,265,353,365
148,186,319,320
58,248,314,373
122,228,285,379
121,189,286,342
183,270,352,369
193,203,302,381
189,256,363,395
244,323,376,392
99,199,301,371
214,292,343,394
235,258,326,394
143,270,293,367
149,218,304,383
241,317,319,384
186,271,330,388
235,263,329,400
159,253,315,366
185,255,343,383
97,200,285,379
114,228,284,377
245,317,361,388
98,169,304,319
237,293,317,336
186,286,338,400
255,326,345,397
173,218,267,342
241,279,395,397
165,291,350,357
97,227,339,379
231,249,388,398
145,228,275,337
102,210,294,371
238,312,340,382
128,226,283,382
89,220,261,346
131,152,304,355
183,262,353,383
138,254,326,388
71,171,288,339
84,229,290,382
224,281,332,394
95,306,333,376
213,254,379,395
101,235,280,345
220,249,320,387
204,258,350,352
71,228,294,371
143,170,280,339
100,200,297,374
248,302,364,379
133,163,302,367
127,173,310,396
94,151,277,397
119,212,305,375
36,272,321,391
119,211,299,358
136,224,294,385
149,181,292,339
42,213,249,377
264,323,357,396
186,268,352,383
130,198,287,377
145,168,327,368
250,315,328,397
115,232,289,355
136,235,303,363
111,218,287,319
119,171,292,369
67,211,286,382
80,146,327,347
47,169,300,374
130,296,314,333
247,316,328,393
31,225,309,388
217,252,345,400
157,322,354,397
66,287,314,365
215,280,320,321
164,261,325,354
232,238,262,367
187,312,342,350
181,251,257,354
148,235,315,362
181,253,342,399
39,191,250,347
125,171,249,356
69,298,314,382
199,271,334,397
221,267,346,376
237,314,315,392
209,262,336,398
159,280,352,356
93,146,268,336
113,156,294,363
201,275,358,375
108,214,280,347
216,243,341,398
126,224,320,392
199,307,336,378
121,151,276,332
173,260,353,398
242,259,324,396
123,209,306,343
102,221,309,400
197,261,341,373
140,147,285,371
41,298,314,389
70,184,325,341
200,244,364,392
136,304,345,394
119,215,301,390
221,275,324,362
129,172,328,391
103,226,286,371
127,259,321,391
215,258,316,378
102,184,317,387
180,277,351,364
87,170,277,338
62,147,261,378
169,263,333,393
143,156,315,375
207,271,351,353
71,272,352,369
235,240,311,353
53,255,325,380
78,179,298,343
18,222,296,374
230,275,323,384
55,270,357,379
64,233,266,370
199,245,335,376
230,243,326,388
49,291,319,351
195,287,341,395
199,256,320,376
142,232,305,375
196,257,317,392
210,242,311,381
134,194,298,325
80,286,351,380
141,216,292,363
128,206,283,359
128,234,301,375
84,151,338,372
139,284,336,397
227,243,322,384
10,215,256,341
158,302,315,383
2,251,327,381
61,259,336,386
251,325,332,392
237,255,326,392
116,217,300,381
81,228,307,378
135,253,361,399
187,249,314,333
48,264,352,360
222,282,339,396
29,261,319,379
62,289,319,383
210,275,324,393
232,327,332,389
177,253,339,394
82,202,352,369
140,230,305,396
