"V1","V2","V3","V4"
283,345,147,33
361,262,285,76
177,5,117,375
79,309,127,305
344,293,191,304
30,241,75,181
268,362,162,45
191,394,179,348
32,233,332,334
374,178,351,152
385,57,84,219
80,90,12,376
324,27,179,125
380,259,316,296
285,315,53,347
275,36,288,195
63,158,180,182
237,182,318,86
229,344,265,336
288,347,289,219
121,281,73,149
372,216,344,318
400,160,55,192
246,58,220,162
267,99,84,216
124,131,229,75
166,127,191,269
116,138,108,63
13,205,255,106
48,306,168,46
89,356,133,3
92,290,88,355
53,280,365,353
157,101,112,362
315,82,164,393
176,112,155,206
383,109,346,344
222,333,182,290
321,101,280,211
45,214,117,44
373,227,132,85
397,396,69,249
132,383,158,272
195,289,357,267
359,50,174,218
216,375,312,57
65,378,132,86
16,294,335,241
67,258,367,11
211,393,267,386
339,368,355,266
119,184,63,313
260,60,281,80
347,196,195,134
341,94,192,140
284,138,303,49
279,37,75,141
365,350,150,88
196,368,260,248
255,194,385,47
354,266,247,264
150,216,166,340
373,2,175,365
200,274,124,205
340,305,74,85
22,199,51,193
157,55,11,98
52,164,148,199
181,267,86,104
145,155,276,138
128,311,393,375
371,301,312,95
159,47,367,101
400,73,301,85
259,306,58,193
80,32,154,50
318,215,293,170
393,400,37,264
212,181,113,376
61,217,122,47
196,145,247,190
229,126,331,120
3,123,323,324
382,108,192,86
219,40,167,211
220,267,217,258
352,245,363,340
22,58,202,380
381,247,322,262
21,148,386,287
257,290,85,202
35,95,36,19
379,128,97,122
258,23,273,170
29,196,197,314
337,243,393,139
336,168,102,47
126,280,109,21
184,271,226,62
99,249,259,371
367,284,198,351
120,331,322,341
221,198,339,255
379,314,216,245
273,86,24,334
215,67,329,286
140,96,393,122
204,122,305,23
138,52,296,148
125,207,251,135
155,260,297,169
210,100,346,270
27,78,106,101
175,31,257,328
318,1,229,152
281,1,254,67
357,255,149,14
97,320,322,305
63,54,108,235
325,11,368,270
143,25,256,319
83,243,226,337
265,357,108,158
278,178,95,107
289,311,125,164
75,95,1,158
156,283,383,251
393,361,318,21
305,107,29,141
253,156,178,228
237,283,17,311
138,314,394,386
94,34,149,97
48,77,255,109
21,226,26,33
205,287,101,295
169,65,133,92
57,152,118,40
32,385,50,51
76,165,68,205
288,169,195,337
310,98,138,316
89,280,129,271
150,92,342,386
76,111,230,142
32,307,75,169
241,377,14,19
54,149,395,98
244,325,175,160
275,238,110,305
203,26,181,302
79,334,11,227
64,346,61,326
137,180,301,20
8,126,397,24
256,399,136,35
171,255,135,306
321,268,324,36
247,76,30,281
171,319,34,250
245,67,281,192
123,89,176,291
355,376,280,101
131,278,72,292
113,331,141,56
75,285,60,319
23,8,361,306
241,219,46,313
146,278,195,72
306,135,145,128
390,29,46,161
195,175,155,263
100,281,157,163
247,230,154,328
325,379,1,363
151,2,215,179
120,359,53,279
371,275,304,66
347,276,379,150
199,239,214,301
398,277,261,251
397,140,69,99
354,126,152,17
398,30,325,135
337,99,38,178
143,313,26,304
317,32,199,126
190,122,233,394
10,293,266,286
31,177,64,36
292,391,234,393
89,48,101,62
58,188,293,239
284,216,20,44
394,98,145,13
151,83,388,312
355,268,31,257
203,297,81,96
376,171,89,48
223,146,293,198
285,78,148,397
102,393,223,199
90,70,112,103
36,212,101,286
19,288,381,110
119,84,15,190
20,356,82,30
52,251,48,390
226,345,283,19
8,328,145,108
375,342,67,367
239,151,105,208
165,102,153,128
79,115,252,328
334,168,352,28
395,360,322,399
280,68,218,123
79,62,135,327
359,169,116,98
119,332,35,346
80,191,293,312
36,387,300,67
393,181,349,1
330,376,339,231
137,375,179,308
169,340,217,291
70,112,308,102
186,106,121,291
226,160,388,8
78,218,22,166
243,363,95,154
280,328,58,129
169,103,243,263
371,360,106,205
337,30,93,174
183,133,76,331
240,54,311,193
384,33,40,226
21,103,18,245
360,192,229,152
367,119,116,314
347,335,167,313
378,253,79,65
383,325,138,374
126,141,318,191
165,385,158,126
357,397,179,22
208,187,238,137
399,44,77,4
192,8,130,83
11,67,136,104
295,301,317,105
229,50,269,379
208,120,23,99
280,348,169,84
153,92,128,148
376,190,227,16
29,267,150,381
209,329,348,15
345,196,5,215
285,135,328,311
301,332,244,117
197,321,287,311
160,28,121,399
196,218,51,230
49,142,176,19
254,75,93,208
215,91,20,14
184,212,94,374
122,184,219,320
376,81,34,356
288,13,304,301
332,5,349,79
108,189,148,293
32,313,24,196
214,168,158,35
66,366,92,68
240,259,165,191
330,267,28,23
312,346,129,267
28,191,264,159
76,336,285,136
6,237,77,47
256,138,97,124
201,140,333,261
104,382,24,327
290,201,41,43
119,255,273,226
322,336,135,29
308,273,343,318
141,208,94,356
250,134,34,308
184,307,296,134
137,241,206,333
153,205,364,270
155,41,351,200
284,181,171,20
230,97,25,140
111,227,104,22
370,164,220,345
220,126,344,331
111,348,332,168
342,26,83,176
81,231,27,227
196,84,378,32
217,15,48,299
218,120,106,200
108,272,99,213
85,371,367,358
309,171,126,11
125,337,198,352
128,259,280,263
179,251,377,102
113,122,233,231
150,79,215,25
94,137,314,397
74,19,341,63
267,54,11,38
242,14,332,74
71,156,44,268
315,174,51,140
113,1,99,281
156,263,232,378
365,160,72,377
129,106,210,53
64,79,9,108
36,135,399,312
119,172,73,208
50,3,121,88
194,331,274,54
239,156,287,166
270,138,273,391
245,338,203,269
357,207,55,377
227,35,156,295
207,295,193,202
290,53,348,44
214,373,187,344
196,220,371,325
73,16,265,296
19,117,388,288
141,300,175,213
382,291,284,12
53,118,225,137
221,200,234,13
260,250,222,311
171,27,267,349
400,119,244,395
388,315,282,290
209,374,109,115
338,42,388,4
135,234,249,239
82,40,180,144
138,233,202,67
89,358,104,16
151,325,233,228
113,288,161,111
95,138,210,93
200,227,241,255
246,306,104,120
268,224,333,246
121,88,231,181
129,261,333,249
109,280,269,310
253,57,400,221
159,249,63,50
142,214,162,372
154,307,291,254
287,355,356,367
233,20,236,334
26,189,101,92
385,215,147,283
394,364,101,57
5,295,239,287
146,313,361,395
339,256,225,180
371,206,168,268
89,234,209,163
276,216,39,167
86,60,27,378
81,251,14,246
241,135,147,314
373,47,131,301
202,323,83,122
230,35,229,78
226,18,305,151
137,193,1,121
349,4,216,289
223,326,267,247
24,177,297,178
196,380,15,204
55,155,381,5
60,389,97,235
97,265,398,257
316,288,3,122
207,301,80,57
387,104,219,2
105,279,323,197
335,215,138,157
212,59,128,163
371,62,87,348
133,109,114,249
188,109,264,1
146,153,375,379
38,11,44,87
184,294,343,353
303,154,251,95
390,119,204,239
7,122,19,305
123,177,161,271
40,382,141,56
11,225,335,55
320,226,368,351
21,266,361,349
64,181,250,293
265,26,341,306
259,294,5,21
81,110,299,140
241,152,134,289
69,98,209,372
190,333,51,384
2,356,47,134
5,124,310,104
31,103,183,40
284,167,372,176
270,210,50,23
316,168,263,8
105,308,262,241
206,28,336,180
196,8,1,115
94,74,131,200
86,66,378,387
111,12,197,327
175,124,29,265
115,348,332,162
159,370,39,178
58,205,288,44
233,368,350,225
81,225,43,119
145,180,344,146
56,105,131,226
287,150,44,10
321,244,187,149
235,262,216,158
287,204,137,117
15,81,50,325
271,171,311,305
302,244,232,285
284,101,335,1
99,96,373,29
31,280,172,192
108,172,65,261
193,220,143,330
43,394,111,328
195,197,33,166
191,185,308,254
287,129,281,41
223,389,57,106
81,290,122,16
178,168,104,4
388,200,42,190
244,11,41,360
288,92,40,145
28,137,283,294
132,152,293,235
176,290,226,112
301,313,52,391
246,40,224,184
129,382,202,275
57,264,61,291
254,172,349,35
357,297,17,157
345,193,51,144
369,71,318,118
293,364,92,384
91,242,185,350
359,193,219,278
194,93,26,356
46,129,286,89
215,326,145,276
129,87,295,15
293,314,71,67
125,18,142,324
238,281,232,52
36,373,54,87
302,155,248,260
293,181,199,209
197,173,121,64
27,20,98,253
133,72,391,57
55,165,110,114
359,357,341,307
78,149,323,210
63,161,363,73
237,239,27,232
133,245,129,113
39,158,87,187
33,304,259,168
292,91,304,57
60,240,118,148
157,33,394,212
246,166,56,249
367,89,88,152
333,387,34,245
91,144,170,171
245,317,102,182
14,279,83,108
140,80,264,362
192,233,29,114
349,108,164,261
179,334,257,214
337,170,44,155
40,30,53,153
279,32,220,366
51,267,297,76
150,227,388,277
42,157,62,187
132,304,92,282
303,386,317,345
254,118,90,61
30,304,335,58
293,309,173,229
166,346,267,324
338,309,377,279
363,5,104,325
389,218,290,246
231,106,175,372
287,346,256,399
44,12,48,391
348,93,358,296
115,89,299,195
113,118,395,61
252,157,160,262
247,109,210,344
97,144,105,15
311,99,74,187
328,64,306,130
277,20,99,187
187,64,315,324
247,3,283,211
142,400,220,369
245,352,353,141
274,144,368,373
309,290,255,242
300,380,49,51
26,264,146,327
264,167,161,296
218,211,122,366
180,30,148,26
177,278,50,255
131,187,238,396
372,157,57,270
112,65,122,204
321,244,388,250
5,348,71,80
6,199,338,300
260,85,275,97
365,128,351,308
303,79,259,222
324,135,184,237
18,311,43,34
157,116,322,263
114,111,226,159
179,21,312,188
59,361,263,355
