"V1","V2","V3","V4"
61,119,230,356
20,127,258,366
8,215,224,371
14,146,276,374
8,195,222,312
151,162,335,367
73,255,293,383
18,148,277,366
63,115,249,379
24,112,226,315
136,169,340,367
74,165,293,400
66,159,188,373
45,135,340,365
11,142,173,353
27,157,183,332
82,154,344,373
68,175,245,373
58,230,299,301
67,181,197,369
27,138,241,312
85,218,289,308
72,212,283,360
53,104,240,309
3,139,263,333
33,141,160,230
19,111,205,253
83,173,263,395
96,166,379,383
7,60,188,338
35,168,318,366
89,227,257,386
109,160,246,276
62,152,307,339
148,180,363,374
52,206,236,347
66,136,268,359
90,206,273,383
112,145,240,290
29,122,210,220
66,239,291,304
130,259,303,326
34,191,261,357
85,117,316,345
95,181,268,298
13,249,340,342
21,111,140,271
75,185,314,388
142,150,300,308
27,175,245,355
67,157,207,388
66,234,315,322
15,67,236,267
97,104,292,343
87,176,263,395
58,170,373,388
134,205,358,367
5,156,181,372
108,159,285,330
3,79,191,281
152,243,298,391
88,178,255,304
25,139,251,341
68,196,266,291
189,218,241,367
11,196,242,313
30,218,272,284
113,205,260,315
82,150,346,378
99,128,337,387
16,147,275,346
83,134,294,343
94,144,312,367
27,178,186,331
53,143,195,256
28,173,246,338
7,194,365,379
71,148,297,324
58,148,258,347
31,207,218,373
7,99,209,399
32,47,279,289
46,173,242,353
18,167,234,345
102,173,324,398
20,193,243,394
65,79,235,325
81,169,238,308
53,168,343,393
84,120,252,282
49,208,215,368
20,93,237,264
91,137,222,314
36,107,261,272
55,103,256,290
12,184,198,351
1,113,245,319
5,118,222,300
90,179,262,393
118,208,313,389
62,75,249,300
14,179,191,224
117,122,171,399
23,56,226,314
134,163,267,341
87,234,241,306
46,96,248,396
92,101,278,289
41,92,267,280
73,87,286,298
7,139,251,341
70,200,281,292
4,118,227,358
149,160,182,373
78,168,297,362
61,75,269,295
21,73,225,295
63,135,220,246
1,57,229,318
54,166,276,366
37,42,287,338
2,98,152,291
42,106,174,288
81,134,208,309
89,160,261,292
2,170,196,349
94,183,199,289
29,134,184,352
6,99,362,397
21,112,246,315
79,161,170,356
3,56,171,335
27,217,285,396
24,77,230,377
61,138,290,324
104,114,300,308
48,178,241,250
37,86,307,354
52,204,296,388
83,114,344,379
90,206,239,290
131,185,260,309
52,230,258,321
43,97,245,256
115,148,367,379
116,185,304,335
6,174,307,379
61,134,348,400
26,138,226,335
34,144,254,341
71,156,201,353
8,117,225,393
61,133,266,337
47,158,252,394
55,192,203,278
18,72,128,294
14,109,296,325
104,172,346,392
20,68,277,327
93,164,299,366
7,17,233,262
54,183,254,364
68,214,285,392
24,69,200,268
44,173,241,333
49,178,322,330
67,120,207,292
11,160,187,372
94,122,269,317
92,154,204,375
72,82,277,288
93,202,300,309
22,172,324,378
74,88,216,241
169,178,382,394
113,202,231,351
77,147,295,381
14,86,195,306
48,156,162,305
78,103,272,381
59,103,193,383
78,85,307,318
83,271,303,317
57,83,135,335
58,96,187,391
4,96,242,293
85,150,201,319
126,163,257,349
67,110,275,304
106,113,332,386
8,209,364,395
25,38,211,363
10,171,339,387
93,245,278,314
100,149,256,301
100,131,281,314
89,199,202,309
9,79,323,395
43,76,256,266
74,186,198,371
110,231,258,321
17,61,254,325
3,52,188,385
20,44,282,294
109,178,296,323
13,84,215,305
90,218,247,384
10,177,248,400
41,135,323,397
101,160,250,276
67,138,181,332
8,179,193,246
20,125,131,348
76,141,211,349
79,167,295,384
71,194,223,366
1,136,248,340
7,17,263,272
113,122,279,289
132,144,286,319
64,155,285,338
103,154,283,374
37,108,243,297
1,153,324,380
5,210,281,397
16,102,192,355
77,146,294,386
80,147,327,340
36,103,156,310
46,159,230,338
57,107,335,382
77,85,252,322
158,167,342,376
91,167,195,373
31,118,242,313
35,187,258,389
69,186,238,291
8,177,226,392
44,197,207,358
9,20,192,221
139,145,229,370
9,214,225,280
2,118,144,313
32,183,292,326
109,146,256,325
74,142,212,368
13,166,236,369
116,212,344,360
38,189,279,364
24,56,187,271
76,147,273,381
39,48,233,266
60,102,214,339
78,168,318,363
75,142,338,349
118,150,201,370
45,95,162,364
76,83,300,364
62,137,288,317
40,122,131,280
127,155,308,320
5,173,265,375
130,176,201,354
36,139,148,334
64,80,211,378
62,76,213,368
37,124,339,383
61,133,350,357
110,223,287,357
38,108,272,361
20,150,277,366
1,58,247,337
43,134,361,377
45,120,286,360
40,108,338,381
75,165,192,327
122,169,322,337
52,161,280,306
65,155,287,400
41,54,206,332
35,165,215,388
91,142,332,347
85,174,323,394
35,43,298,306
88,134,317,330
67,99,262,274
51,139,224,353
5,18,226,275
158,166,302,373
42,75,229,338
93,122,289,319
26,175,246,393
10,182,196,271
52,184,196,390
1,96,186,352
4,96,261,313
132,167,260,310
8,207,217,362
72,101,211,370
9,100,161,312
53,142,214,330
48,158,245,313
2,94,266,318
45,174,243,395
88,158,168,291
39,91,203,240
20,167,219,386
41,154,206,374
16,146,251,360
40,63,214,285
61,74,259,288
10,162,194,311
74,123,296,383
7,59,203,237
15,164,233,343
20,127,299,327
23,86,230,236
39,150,181,278
109,197,304,396
153,224,348,359
91,183,297,325
95,218,251,341
105,117,263,273
29,164,191,198
46,171,341,377
5,137,244,376
12,158,186,295
13,141,213,370
70,98,244,314
61,119,272,291
47,172,264,376
46,157,211,400
77,167,356,384
71,165,248,257
122,132,219,329
39,42,172,357
44,78,246,377
116,125,245,310
42,73,267,297
118,167,198,386
150,180,224,358
94,169,314,347
47,177,263,354
60,128,295,303
54,101,212,352
37,146,276,366
33,123,213,347
24,97,243,292
57,148,278,287
70,170,245,335
6,158,223,387
110,181,218,351
82,111,179,291
15,188,298,370
88,191,277,305
10,144,255,370
35,47,233,387
25,132,283,314
133,223,320,372
118,149,304,356
13,195,207,394
14,167,216,329
4,169,200,323
23,111,297,305
76,146,269,371
50,216,225,374
58,187,343,356
11,193,224,329
143,173,330,398
11,185,214,371
68,178,281,290
84,96,280,288
103,148,239,307
37,105,273,383
36,105,276,326
8,196,261,371
95,166,278,382
83,93,209,398
