"V1","V2","V3","V4"
178,332,321,38
158,184,219,43
162,237,397,59
399,198,374,3
322,109,165,59
123,346,187,297
293,304,383,349
172,243,69,44
248,233,206,398
174,16,362,154
128,328,142,326
319,107,269,320
182,161,155,374
364,161,309,159
200,86,166,129
322,318,377,221
222,287,293,106
105,111,246,94
27,52,17,18
155,65,333,323
198,202,266,216
3,386,32,38
137,349,19,28
320,123,316,104
246,141,303,9
155,113,280,105
328,36,73,80
40,396,4,106
224,350,90,271
326,228,247,175
280,10,212,239
270,398,374,42
300,80,319,262
398,137,49,95
232,99,224,12
244,207,196,19
69,9,96,365
238,277,266,399
25,329,369,166
32,174,400,389
94,59,342,212
216,211,187,347
218,80,190,288
100,178,22,390
324,21,262,92
370,324,192,56
251,254,29,91
101,307,228,249
157,19,131,247
43,279,174,41
105,154,164,377
263,299,373,313
233,34,338,383
243,161,25,142
199,203,313,318
45,149,302,10
315,105,237,162
50,118,115,302
121,381,295,351
225,199,56,310
134,81,353,380
400,32,185,284
212,24,205,134
331,175,389,221
77,41,88,26
283,228,263,260
290,160,349,214
306,159,190,179
32,197,243,91
331,228,79,226
173,396,182,22
312,180,376,301
347,390,190,50
321,344,257,349
264,359,27,29
167,91,238,112
55,166,137,42
285,342,85,150
70,142,378,218
132,225,30,109
96,31,231,68
261,332,137,247
198,375,104,17
33,291,377,248
30,16,172,37
154,229,101,281
4,174,166,238
173,373,299,50
39,291,54,265
26,7,270,153
251,262,3,379
287,122,294,302
318,279,251,22
372,127,191,394
86,1,202,70
309,356,330,162
36,356,339,4
68,189,42,355
279,45,357,56
53,242,210,216
248,237,166,85
325,191,285,202
179,355,339,209
116,285,220,296
86,348,326,218
389,286,151,383
129,369,318,399
122,183,124,256
350,189,386,379
123,349,88,122
97,213,271,148
234,40,367,96
156,91,354,212
149,363,298,51
345,105,188,190
17,91,121,315
227,1,400,35
231,236,397,85
336,139,86,149
345,118,213,98
234,208,158,132
151,222,247,236
85,214,142,256
1,288,219,370
217,153,120,26
128,109,361,140
6,308,386,101
330,149,174,147
22,52,201,153
260,279,10,94
181,115,121,192
341,221,238,172
131,182,71,384
81,139,223,191
123,226,312,246
241,390,81,136
104,263,196,369
238,159,93,321
64,230,145,353
324,32,296,343
88,178,115,208
236,365,349,213
392,387,345,15
51,210,279,105
176,85,62,135
113,354,211,335
107,176,399,267
219,119,225,204
65,205,259,337
279,341,148,45
268,196,280,131
110,288,111,179
242,289,185,162
131,44,355,344
55,40,317,340
147,64,128,47
139,369,1,174
252,138,159,292
251,57,131,146
72,95,150,251
62,71,105,330
246,43,284,77
124,271,212,269
117,191,25,62
290,332,39,144
346,110,118,358
131,299,89,285
155,116,114,90
204,356,388,64
330,20,306,267
220,396,323,203
231,271,92,390
39,96,13,157
119,47,386,257
219,52,282,252
130,375,190,352
81,30,171,355
171,333,313,379
141,262,179,2
53,6,5,281
145,146,86,343
323,247,61,18
224,377,16,4
41,190,392,4
226,228,80,31
138,151,205,155
326,115,45,269
254,208,6,278
244,254,289,242
147,120,236,170
251,180,358,39
59,372,249,83
377,384,114,163
398,329,145,247
214,259,181,157
70,360,118,93
238,32,5,350
126,38,88,354
145,95,344,250
171,266,242,298
174,130,83,16
156,170,132,263
31,289,173,90
400,241,5,330
368,120,366,93
92,135,14,96
130,119,345,234
229,395,143,384
8,150,196,48
390,280,86,152
397,331,307,253
187,365,83,251
5,370,64,134
384,42,396,212
196,184,210,215
168,389,394,190
335,385,171,201
178,368,106,247
65,199,26,217
206,384,48,224
140,2,303,306
163,273,314,222
32,199,96,43
198,103,45,108
246,222,74,23
34,367,274,197
282,30,342,371
