"V1","V2","V3","V4"
163,192,338,368
117,273,346,357
143,233,305,393
178,248,337,381
56,291,298,323
133,261,298,329
125,263,276,348
98,270,281,355
146,258,311,361
174,181,317,367
171,280,315,346
224,233,380,389
187,200,313,344
179,225,335,364
152,177,306,335
131,244,335,348
179,186,286,312
201,252,300,351
50,282,311,320
190,298,343,370
254,261,358,386
93,243,314,389
188,319,370,381
81,198,287,353
225,312,361,380
114,242,310,320
193,261,376,386
192,242,338,349
186,274,309,399
62,178,290,361
208,280,353,362
165,172,308,337
179,321,337,350
176,203,291,342
158,185,348,355
98,162,312,362
126,198,290,381
115,265,292,400
211,337,381,394
212,241,379,390
80,161,293,365
182,238,272,361
98,163,338,382
145,240,291,383
131,291,322,377
208,258,343,369
150,299,321,331
245,255,287,392
136,273,305,392
151,281,317,328
31,147,277,369
140,150,288,313
75,273,286,395
178,221,271,398
105,215,390,399
160,266,352,375
224,292,339,388
216,244,372,380
161,172,313,347
147,196,307,376
107,218,327,336
105,213,343,391
214,221,325,375
190,261,298,370
122,199,364,371
126,339,362,392
44,275,289,323
109,223,275,329
66,240,283,392
222,253,392,399
117,224,256,389
108,271,323,337
60,148,317,346
255,305,320,393
80,229,359,391
139,143,269,340
196,247,361,400
171,206,275,346
101,231,374,383
203,255,309,357
111,266,293,360
140,229,356,365
205,255,368,380
214,264,337,372
169,220,325,356
151,242,298,350
145,217,304,393
155,244,296,328
157,188,332,364
99,272,301,399
175,230,367,378
226,338,349,391
129,296,324,328
190,219,305,354
234,319,321,369
215,266,340,364
134,188,332,361
58,222,288,336
135,245,358,389
223,231,278,388
225,232,303,340
209,238,341,372
54,233,244,376
190,297,305,392
107,278,291,325
117,209,343,353
171,264,321,396
127,215,307,377
48,302,311,398
225,253,368,379
72,223,297,350
104,251,308,318
47,233,323,398
177,225,240,390
147,257,371,381
175,255,266,352
228,277,364,391
91,291,317,345
88,250,278,386
180,231,263,395
198,201,367,395
168,243,311,383
233,326,332,395
231,300,333,344
191,286,297,372
78,210,332,341
183,213,379,388
119,147,293,400
233,285,360,373
202,291,317,360
70,319,354,365
39,273,302,397
188,311,339,362
225,275,299,342
68,303,391,400
225,254,364,398
79,167,294,346
198,270,341,398
261,274,329,338
190,225,318,329
171,285,317,376
151,280,282,352
166,175,309,337
176,249,344,375
119,169,314,387
86,216,307,396
118,309,338,382
191,264,358,391
140,181,347,359
132,280,282,331
81,237,324,388
43,292,324,380
170,264,354,388
124,212,327,399
203,233,324,400
196,204,391,400
244,253,378,389
217,230,363,374
224,236,383,397
188,280,342,352
197,285,289,377
230,300,302,391
188,278,322,351
79,126,293,321
166,240,329,395
138,304,315,395
117,183,368,377
161,294,320,328
35,355,381,387
210,299,322,391
172,234,242,400
251,284,320,332
190,262,298,330
78,206,314,386
140,220,303,334
69,267,274,389
213,243,369,397
212,241,370,397
147,252,326,333
114,226,314,367
212,284,340,371
53,244,277,390
111,205,293,400
219,310,321,399
158,292,360,364
130,245,291,296
180,221,388,399
159,291,321,339
66,253,325,377
192,267,275,283
80,165,294,365
127,269,297,376
182,193,362,378
208,219,353,361
175,248,358,364
177,283,349,398
210,319,322,349
69,265,300,332
90,224,276,388
86,274,322,373
161,279,307,351
89,246,293,344
98,248,336,362
244,253,260,368
113,239,302,378
158,241,270,375
157,223,338,348
142,257,308,397
89,269,302,358
74,289,301,375
125,216,286,374
83,197,306,376
214,225,360,371
214,321,350,359
174,187,313,343
134,298,323,353
113,244,334,386
230,321,340,391
58,185,294,366
112,265,275,349
230,257,343,392
54,304,332,360
103,195,327,375
150,245,279,383
174,202,280,372
130,242,275,371
157,311,321,377
168,222,237,349
172,228,336,362
154,224,338,389
174,265,338,381
227,255,352,381
226,293,328,399
169,275,289,343
95,288,335,365
175,268,344,355
161,259,309,382
239,284,332,390
150,253,305,355
72,81,288,296
49,233,288,378
168,194,318,328
194,327,346,379
105,276,325,393
