"V1","V2","V3","V4"
159,64,316,47
252,265,116,58
167,157,160,23
344,202,385,163
255,181,65,132
286,221,400,379
98,4,258,375
307,183,226,211
34,379,205,94
346,391,363,309
328,357,382,279
5,202,75,139
354,125,357,166
320,134,259,323
295,7,212,345
374,332,41,285
172,214,13,66
308,145,213,270
173,246,75,78
130,399,329,132
330,334,78,297
86,363,1,305
57,76,305,374
362,179,65,12
307,212,241,259
324,70,186,100
392,84,237,228
46,32,56,200
369,24,117,95
230,319,47,85
147,328,398,47
80,256,159,207
56,227,386,185
271,182,381,390
70,341,352,222
316,29,113,204
11,392,331,144
269,319,248,204
243,239,360,29
76,53,249,22
364,287,351,338
127,193,4,67
273,346,117,80
346,129,398,149
156,187,78,215
5,257,269,255
90,213,124,77
130,371,274,183
341,354,197,196
320,180,178,61
45,291,16,66
73,51,109,278
208,91,52,162
375,257,37,301
152,381,64,118
219,86,14,213
87,177,107,160
58,176,341,298
6,228,11,385
102,353,214,65
176,397,273,186
357,199,278,292
8,62,192,355
242,308,400,138
348,370,201,108
240,170,247,11
334,167,336,109
97,117,124,118
111,235,30,383
310,327,267,359
15,10,328,218
313,81,22,234
208,143,94,116
238,8,334,151
349,134,354,177
349,243,210,167
82,399,131,346
271,80,5,283
66,74,122,196
239,255,376,273
84,217,119,27
330,387,174,233
146,7,251,286
231,135,77,376
125,245,278,218
319,332,119,245
200,268,65,298
312,368,85,203
88,222,262,63
29,249,44,176
8,102,80,359
193,265,139,325
159,152,267,329
210,349,4,29
206,150,60,379
89,197,64,60
219,44,257,264
68,171,306,78
54,87,191,387
366,140,21,182
236,201,46,39
192,224,237,209
374,68,67,250
192,22,392,128
232,71,134,142
123,300,339,89
180,165,393,123
202,182,261,75
175,386,11,127
317,225,22,171
397,47,286,95
96,123,318,56
156,23,115,304
6,391,251,42
148,256,71,24
161,70,55,61
6,114,317,216
100,104,23,291
354,131,6,331
326,265,272,102
106,381,380,355
60,349,343,145
316,50,187,298
54,186,80,267
209,46,393,111
30,118,126,79
125,333,377,345
334,54,266,210
227,111,381,174
275,137,44,240
109,232,220,65
35,278,56,124
172,294,147,198
128,68,287,89
147,191,397,391
361,356,270,374
19,305,232,10
172,371,383,111
152,215,66,214
355,80,306,130
194,165,163,16
153,363,330,305
2,332,381,77
243,255,342,387
233,7,36,232
155,139,381,196
60,52,262,127
351,373,235,189
8,265,64,41
328,331,138,315
87,374,300,301
325,192,180,215
337,227,121,129
137,190,87,181
188,294,373,5
173,85,97,302
386,39,240,244
84,302,153,62
313,376,192,44
332,2,216,268
351,122,216,52
221,377,141,205
354,201,149,84
6,211,191,392
232,173,297,306
107,365,79,1
83,335,274,104
222,216,319,43
126,356,192,91
67,199,228,245
178,396,96,14
28,108,77,20
21,333,13,385
106,271,152,40
294,20,297,2
9,399,20,98
268,186,347,44
128,122,279,107
140,325,331,2
70,45,226,40
290,163,397,337
91,352,275,131
11,144,213,315
19,37,12,295
63,181,49,22
94,4,14,172
60,132,327,271
2,68,357,333
268,246,331,79
190,99,55,19
72,291,163,324
254,199,160,333
213,266,83,205
135,37,182,395
361,324,188,15
113,338,129,3
10,202,235,113
125,205,179,296
203,227,178,18
54,241,266,2
359,127,309,83
354,219,123,46
278,128,331,49
329,216,244,51
162,376,141,8
290,313,293,41
230,24,144,157
62,385,305,221
257,304,150,54
51,16,388,210
116,138,395,7
26,375,1,29
315,228,114,142
179,129,53,389
321,299,125,8
381,169,354,333
242,337,396,335
353,60,116,61
39,211,382,304
234,18,349,144
122,55,296,160
381,242,181,193
244,253,205,1
56,20,383,172
113,143,242,53
65,54,140,188
233,134,355,235
79,397,386,195
169,217,49,339
60,206,328,214
215,189,97,134
356,383,312,119
15,363,194,244
379,358,82,132
34,310,306,214
33,190,356,157
185,21,371,236
98,110,170,242
35,295,334,137
284,308,83,10
93,224,365,72
117,322,243,358
259,219,202,190
296,377,20,237
134,148,190,301
377,191,206,161
382,341,300,248
173,235,9,256
315,90,130,102
96,153,76,203
236,128,205,275
259,391,344,177
234,56,94,291
322,352,50,265
317,212,281,74
201,220,258,391
60,124,96,179
119,186,304,43
269,312,278,3
185,22,254,359
52,110,93,173
85,163,141,71
244,96,89,109
236,369,329,97
386,211,61,201
86,130,128,103
315,249,299,57
388,262,65,200
103,168,356,311
137,54,181,229
386,263,83,281
339,56,104,314
146,79,277,122
138,130,314,327
151,285,55,389
232,245,91,3
224,151,98,177
303,48,32,366
239,133,6,345
43,234,239,249
279,238,387,314
392,196,213,265
377,65,305,137
187,385,117,85
53,70,361,78
202,380,244,146
245,320,112,262
40,375,178,97
36,1,310,252
307,132,85,153
57,23,81,117
400,267,231,312
76,74,35,317
339,310,218,170
145,84,241,173
139,346,35,271
30,11,60,39
309,226,216,2
279,376,180,169
1,87,295,375
155,144,63,388
86,258,381,248
178,245,225,94
353,391,394,190
246,263,171,123
208,336,373,368
372,129,304,313
110,357,240,232
163,66,57,307
90,37,74,315
352,196,398,164
387,13,317,81
298,282,397,92
147,306,177,46
212,167,337,267
68,339,321,368
371,155,94,68
166,219,216,67
1,151,161,332
264,217,52,118
155,56,252,77
121,54,248,40
386,361,191,326
45,216,319,49
240,157,161,184
1,353,8,19
121,309,85,181
370,247,285,18
51,300,214,63
242,362,188,361
50,227,177,385
321,112,385,48
53,7,262,365
69,324,235,333
130,103,112,400
16,55,97,64
241,365,267,29
32,51,253,320
294,283,250,2
106,374,27,116
145,109,217,105
303,10,148,198
369,210,370,50
77,272,309,285
64,161,235,2
331,11,116,282
16,171,156,314
294,213,34,86
190,309,306,260
207,393,31,199
371,308,354,344
52,32,280,171
191,375,67,1
178,308,22,57
86,389,3,134
45,151,7,303
388,30,204,344
18,251,54,163
342,319,257,15
383,281,297,338
397,154,132,78
175,270,195,316
238,133,281,375
211,391,273,217
360,244,58,300
338,315,263,146
65,385,131,24
10,364,84,256
169,186,19,30
302,55,267,160
34,195,74,365
59,117,304,379
255,189,190,101
261,245,243,21
324,27,363,45
316,58,20,45
17,398,142,80
29,153,393,164
270,130,164,190
151,163,380,155
323,236,71,269
47,113,81,68
39,78,348,232
324,191,77,258
291,11,260,85
338,172,21,394
335,212,348,267
236,36,194,25
39,101,15,140
400,115,349,288
294,215,195,160
357,64,258,172
43,50,54,350
183,262,249,39
18,164,162,203
15,340,242,283
347,174,311,100
343,348,30,305
86,266,292,271
242,372,25,342
184,33,8,375
232,97,246,103
350,289,19,322
141,332,282,277
59,82,179,7
90,343,89,83
338,212,216,93
56,239,201,134
276,289,325,239
291,353,363,373
288,111,117,377
346,342,171,221
373,157,146,23
141,229,121,385
60,123,242,57
391,19,14,152
313,145,94,72
319,310,236,63
178,162,63,46
330,115,206,83
94,2,272,113
343,298,259,365
34,52,92,122
301,390,333,382
21,67,114,84
336,120,107,340
151,111,381,134
346,227,362,201
15,46,389,382
377,288,238,146
288,335,341,353
252,307,80,14
372,21,175,347
79,120,343,29
198,146,207,83
291,318,232,362
250,88,269,243
35,290,81,350
272,393,50,369
395,47,117,30
272,68,228,117
185,27,90,210
387,1,170,314
248,8,333,360
58,184,313,354
381,320,97,299
301,216,202,242
36,340,26,369
156,265,150,143
320,12,287,60
96,342,236,92
379,72,365,261
5,9,3,42
288,348,226,135
189,91,306,181
26,109,214,322
209,58,309,359
381,397,312,335
217,378,173,83
285,358,116,269
200,223,304,334
359,196,248,67
227,362,260,155
323,384,209,276
360,47,319,114
169,329,82,92
400,3,7,295
185,365,72,267
394,104,328,282
399,118,63,163
312,112,255,8
387,346,119,298
339,315,101,231
223,289,195,20
213,119,58,234
57,21,1,197
318,50,181,47
51,101,371,206
349,373,338,144
332,205,130,283
394,69,346,348
306,50,250,17
8,88,150,209
51,29,317,363
210,160,273,58
215,187,250,377
258,130,70,211
396,301,4,133
207,110,202,49
118,364,383,36
316,331,304,199
105,173,388,159
191,88,239,1
266,281,147,220
149,160,70,298
85,73,269,16
203,119,16,190
260,25,275,297
330,30,267,34
176,373,142,272
400,139,359,245
370,249,146,36
283,97,148,264
295,226,173,255
89,376,261,289
229,63,140,49
138,348,231,77
212,387,124,188
4,19,251,140
314,254,95,33
289,343,360,376
289,259,113,195
46,200,227,131
42,246,317,71
39,352,200,230
221,270,136,250
369,154,57,299
394,206,130,228
139,395,205,22
326,225,301,181
188,49,53,97
176,106,236,225
94,390,34,73
176,164,332,135
70,173,208,58
194,234,154,280
89,232,7,225
219,339,310,245
180,281,155,99
52,181,111,75
155,228,284,266
89,259,333,5
330,1,131,290
299,157,80,329
354,205,366,112
79,344,226,214
201,112,204,350
296,73,92,192
105,77,310,352
83,374,273,227
28,41,129,30
86,144,268,202
1,400,313,44
70,23,288,75
251,386,289,392
365,385,210,318
224,227,397,391
169,351,255,26
296,32,289,198
365,224,243,379
109,132,330,370
127,227,189,385
167,321,204,359
355,127,335,347
212,207,170,160
197,248,30,154
366,261,16,318
251,152,372,81
11,317,357,8
50,62,269,176
320,159,216,48
129,255,353,382
248,5,221,375
216,86,32,101
35,270,15,161
146,177,397,116
270,117,311,216
334,352,165,293
140,342,353,99
290,247,160,182
228,279,280,387
345,398,40,143
7,80,59,369
103,309,276,112
153,168,277,340
198,66,177,99
199,114,136,217
144,4,265,41
253,7,20,45
165,217,182,339
305,274,311,207
68,106,310,70
135,276,349,96
91,234,5,260
209,130,368,224
163,319,309,342
378,142,334,9
247,190,132,109
325,384,59,122
328,31,2,243
277,362,91,388
86,2,160,53
123,89,139,260
259,91,267,103
232,270,277,65
296,177,72,205
325,238,382,74
156,351,321,146
337,287,348,46
239,211,305,310
231,62,325,291
187,197,325,84
48,115,385,278
275,72,30,204
248,200,152,284
92,231,52,15
155,164,113,183
322,282,48,167
163,359,122,265
21,136,50,77
109,238,349,78
55,114,1,223
330,355,186,199
146,128,5,185
317,307,218,74
72,243,372,124
17,27,136,290
87,27,220,108
222,296,80,197
398,376,199,257
309,46,298,307
329,74,381,46
60,295,313,116
218,182,35,149
250,76,244,277
272,166,398,212
22,108,300,220
347,290,287,6
64,87,394,97
267,21,32,192
306,241,242,256
2,190,295,120
194,120,265,134
106,100,86,252
362,162,345,306
63,97,166,46
351,216,127,96
168,306,331,171
247,291,362,206
374,17,164,327
371,355,53,399
274,45,91,160
272,27,371,136
97,156,394,370
293,45,225,359
28,141,106,293
308,262,296,33
165,99,119,211
123,252,295,93
91,296,373,141
396,184,246,357
146,54,172,95
150,257,320,359
273,392,162,73
169,228,136,379
355,301,294,320
247,248,237,59
376,389,354,126
106,37,357,225
45,347,288,90
65,186,222,261
397,114,134,19
9,61,42,67
21,328,7,160
139,352,334,302
220,326,370,349
347,3,242,137
362,297,275,311
159,209,198,20
188,86,248,286
286,57,151,19
72,328,346,302
220,192,95,279
247,317,352,298
144,332,348,55
264,162,269,198
386,206,165,149
9,273,368,252
189,238,341,235
359,275,112,358
270,60,71,219
299,84,369,306
123,279,294,73
248,196,132,210
265,196,150,232
63,103,161,350
133,101,181,117
158,58,133,394
152,308,126,216
398,323,160,400
228,243,130,289
1,186,352,87
376,95,82,39
37,259,166,383
252,59,169,223
211,129,335,130
154,393,232,254
175,185,247,4
351,149,35,238
279,46,235,287
310,373,260,35
162,182,5,92
94,210,68,395
233,109,35,157
323,155,303,262
290,345,114,318
4,190,319,123
267,329,25,192
391,343,44,373
358,157,28,249
358,257,384,29
80,131,193,209
278,271,39,177
233,303,47,190
273,327,326,226
336,343,85,374
123,82,272,247
116,261,208,308
101,167,117,354
247,182,356,125
19,180,299,209
254,352,359,356
40,231,19,308
282,335,200,128
190,380,396,236
73,172,81,308
369,357,35,246
216,287,113,194
323,338,212,244
181,286,372,170
11,305,256,393
82,59,179,227
27,272,327,215
223,41,27,302
237,18,81,232
106,94,23,395
369,135,231,275
264,339,376,276
393,318,70,236
43,57,137,77
106,398,258,98
258,313,298,210
315,75,382,141
332,224,158,367
208,2,393,53
255,227,97,356
384,179,328,35
364,385,306,373
206,303,399,129
270,36,266,256
375,169,109,174
284,136,57,154
93,29,27,40
131,261,76,329
135,357,384,359
209,84,10,305
170,327,391,363
300,175,135,277
330,25,131,28
308,1,377,330
153,305,220,48
346,387,324,357
172,251,379,276
43,205,290,365
345,229,124,87
110,43,229,95
215,8,320,26
308,12,395,62
82,66,200,122
264,335,368,209
171,318,88,147
288,247,302,145
150,230,377,219
212,274,260,392
121,91,352,325
312,229,269,138
306,312,218,125
251,278,261,71
326,319,67,193
266,356,55,4
103,126,54,24
268,47,182,76
75,106,381,244
3,364,185,129
170,175,378,300
315,49,369,113
279,313,319,368
331,98,391,277
149,41,185,173
118,89,96,7
117,110,16,74
398,229,289,170
61,392,85,99
383,380,384,354
351,123,23,378
83,79,386,27
258,323,268,331
47,98,190,284
211,398,89,20
253,158,113,11
44,374,23,93
119,331,389,59
211,199,369,323
307,97,265,387
122,212,151,194
5,236,312,106
139,3,294,353
239,96,226,253
157,383,272,127
252,136,195,273
58,202,223,366
123,210,258,132
257,205,58,11
136,200,274,345
329,243,234,318
196,123,159,388
281,101,169,126
211,15,315,70
22,148,17,79
236,244,351,379
359,161,296,211
219,13,124,127
372,161,2,81
183,27,34,225
65,351,344,176
238,99,117,307
299,225,147,86
33,47,237,43
52,49,227,142
196,210,116,257
363,50,172,231
114,385,368,235
169,249,78,40
364,89,123,18
244,297,212,12
280,207,202,282
279,356,86,23
92,379,346,20
383,227,342,228
200,225,390,133
119,8,329,275
210,196,200,318
260,27,80,125
206,312,229,306
207,320,215,346
220,212,129,152
18,393,188,83
322,253,246,178
158,69,350,265
384,150,208,81
9,194,263,235
336,30,366,399
210,135,347,68
191,380,205,119
310,265,140,38
256,73,112,87
118,90,263,348
242,122,15,398
215,302,127,48
363,337,346,218
235,381,385,38
234,136,78,346
41,16,329,232
329,390,220,356
250,153,34,287
199,74,399,237
115,74,353,116
121,394,168,176
137,40,60,392
116,321,255,194
50,264,70,237
214,400,127,258
44,151,303,237
271,228,21,29
26,51,37,282
194,240,52,104
46,41,206,186
215,394,351,258
311,243,213,142
115,34,20,76
111,283,142,384
342,246,331,29
315,323,222,196
31,242,169,293
185,347,162,62
338,28,249,319
69,142,359,391
113,277,349,342
155,394,387,319
346,208,316,125
29,342,231,201
239,168,244,287
204,12,397,208
337,325,221,373
397,18,226,385
15,229,157,235
38,395,249,174
174,97,312,115
392,308,154,325
385,258,346,109
129,40,161,292
236,180,86,84
191,18,175,375
65,195,189,78
370,30,245,37
111,282,328,336
55,273,148,4
378,230,110,284
93,118,233,326
321,234,123,343
4,349,256,104
238,308,295,119
36,346,169,17
145,384,240,269
321,282,389,281
33,393,298,367
151,113,8,229
187,96,61,400
129,115,101,382
134,399,251,257
185,235,85,90
101,305,41,325
37,369,20,347
222,55,144,47
156,382,65,211
20,304,180,70
72,143,58,212
268,155,117,162
85,279,282,323
109,315,183,37
44,254,147,395
267,181,114,282
138,275,328,388
190,208,172,159
104,276,392,285
23,182,94,179
209,264,350,96
144,52,124,8
15,146,154,350
288,374,52,182
249,215,289,213
234,168,342,377
98,388,104,244
53,131,154,340
224,315,117,241
28,219,93,90
140,295,29,101
321,248,89,192
189,299,140,341
254,352,272,112
143,351,298,125
346,61,361,358
358,176,256,311
55,169,138,248
340,285,182,152
187,130,304,158
135,104,267,245
7,198,58,4
239,49,93,6
44,378,122,45
179,174,397,71
174,136,204,329
317,230,4,286
103,136,319,115
160,212,298,172
365,34,25,63
171,169,89,148
289,127,302,155
123,178,191,228
178,145,41,124
320,328,276,102
130,32,384,137
398,366,202,43
290,378,56,121
62,358,223,85
82,383,323,240
376,199,334,19
178,72,82,18
338,370,159,376
336,382,338,305
239,303,104,244
121,63,148,289
68,77,323,384
103,271,45,253
230,41,110,311
291,297,319,334
241,289,335,333
260,67,281,317
22,4,15,307
232,128,158,70
65,232,51,216
31,120,19,231
395,385,326,339
83,119,27,243
181,197,175,78
157,143,370,213
71,297,119,169
133,5,33,209
359,365,159,143
178,184,285,341
