"V1","V2","V3","V4"
31,218,242,362
29,166,312,349
48,113,241,347
3,91,250,267
135,181,201,377
60,153,244,372
5,93,286,337
88,111,256,297
95,174,243,320
60,158,254,330
47,77,271,332
66,159,212,310
65,213,295,381
45,135,214,391
67,88,277,306
44,135,240,283
15,94,264,306
90,201,231,328
9,168,252,391
60,185,289,357
77,206,279,394
63,218,255,400
74,97,222,304
70,194,269,288
104,204,329,385
168,242,254,343
36,222,289,332
83,143,215,366
4,142,219,346
9,100,214,344
16,191,296,333
39,240,263,303
7,168,234,345
62,122,226,371
50,189,298,351
32,131,232,370
100,190,225,377
64,217,224,244
6,161,172,318
40,236,254,317
80,224,249,339
107,195,322,323
17,179,219,354
60,153,309,333
95,214,297,370
28,67,243,244
56,92,183,278
6,95,184,217
29,138,224,341
34,154,285,363
88,164,260,362
71,229,359,382
85,122,219,383
106,124,285,335
115,126,276,319
157,206,306,377
43,81,220,239
125,212,255,285
137,178,301,363
49,164,222,259
124,134,316,392
57,182,271,395
80,205,235,321
28,135,219,250
63,116,142,294
77,192,339,370
65,83,300,315
67,101,270,288
53,95,274,353
101,128,257,371
89,196,259,343
105,128,217,268
41,190,295,359
110,158,331,358
23,153,295,365
21,112,263,288
8,169,171,387
65,260,265,289
45,111,235,362
126,182,222,360
13,135,209,276
23,80,353,358
113,117,362,376
20,178,253,332
29,181,245,393
100,101,230,297
87,161,214,360
15,172,264,393
77,193,205,392
122,226,323,378
123,158,282,293
80,152,171,361
116,191,303,389
90,161,170,343
88,92,282,303
129,198,329,357
24,162,188,364
3,147,289,359
27,126,231,256
8,77,238,319
40,197,225,261
16,203,210,360
69,203,261,368
7,137,163,322
78,142,242,296
85,186,192,366
74,107,267,309
5,177,185,377
105,122,266,380
133,154,216,351
100,114,345,357
10,134,255,362
45,179,228,335
17,145,233,339
87,120,251,327
106,163,264,390
46,135,163,364
29,171,231,244
45,54,339,349
89,92,263,297
64,257,262,331
53,139,235,360
65,186,224,368
4,226,372,382
30,144,269,278
27,216,231,381
106,219,325,388
58,146,288,399
8,34,175,304
48,56,213,278
