"V1","V2","V3","V4"
201,141,340,159
284,308,128,111
397,205,85,49
120,199,171,97
33,259,183,204
8,46,67,236
272,37,293,339
223,379,285,114
376,351,236,109
180,296,188,176
254,380,348,382
192,185,309,244
292,33,347,214
144,273,276,41
81,151,318,12
175,398,318,353
164,161,29,80
247,148,220,64
114,115,35,5
116,134,100,174
108,152,4,210
130,49,365,284
40,387,393,208
132,76,34,145
144,31,86,197
295,98,61,318
131,315,147,126
204,122,76,114
1,175,18,339
172,321,305,140
21,129,23,171
340,373,224,292
103,293,129,67
271,91,95,54
283,350,234,271
39,103,295,264
131,299,279,26
338,200,107,173
335,249,112,318
124,332,234,183
2,126,170,271
195,88,196,112
15,38,294,374
311,101,293,98
73,236,336,184
236,204,201,147
50,172,350,340
112,47,294,319
222,181,258,339
205,227,200,342
48,389,43,119
354,345,161,323
220,44,61,310
162,321,311,382
238,14,387,208
286,75,1,65
203,349,335,108
375,180,334,205
56,227,164,134
271,323,319,267
37,369,175,183
242,90,230,175
52,289,306,173
357,109,394,76
129,252,212,271
332,85,302,156
266,387,99,219
280,82,108,275
41,288,62,14
357,32,400,176
74,265,315,65
64,144,331,25
221,78,73,16
349,223,116,332
355,325,131,255
176,190,268,395
6,137,79,342
340,20,17,70
269,83,325,166
76,206,259,105
342,289,79,266
202,54,65,58
248,342,67,139
246,52,363,368
272,34,262,222
225,81,303,36
49,336,314,135
308,17,196,360
300,357,267,373
152,195,387,207
177,128,106,224
75,16,336,37
325,208,54,191
57,345,376,143
77,276,161,20
69,341,327,382
151,236,204,179
161,181,385,309
363,30,261,97
202,59,252,205
142,129,25,111
177,321,274,95
359,369,392,398
228,126,125,180
94,240,346,45
311,370,298,338
28,94,258,308
254,30,5,138
344,219,202,277
159,20,49,57
148,102,206,94
325,385,52,53
337,1,241,373
388,61,336,201
13,361,341,130
292,160,31,258
35,252,28,263
344,183,84,304
384,35,291,185
56,197,216,301
57,275,282,219
179,139,170,351
146,321,292,311
290,320,121,257
326,281,280,70
99,351,180,337
150,60,140,79
313,228,274,49
61,251,165,25
370,143,58,236
251,99,400,5
199,289,10,137
337,158,223,80
352,389,58,35
162,398,311,3
216,16,43,86
45,290,231,77
100,51,301,85
54,305,393,116
268,190,224,196
360,188,213,353
242,141,163,6
168,60,29,25
215,360,362,373
24,12,371,89
257,49,26,196
1,142,267,13
320,350,263,383
380,55,172,159
56,353,313,203
31,127,193,11
218,133,185,203
357,81,183,157
163,38,237,341
146,352,298,294
345,163,248,23
24,364,51,244
243,159,317,223
387,154,124,111
297,334,197,316
350,229,91,12
229,362,63,116
205,264,37,154
12,118,210,47
78,375,349,22
369,66,268,232
166,147,97,136
48,363,381,96
260,174,131,60
131,366,93,154
18,63,343,208
188,59,141,332
288,239,316,243
230,84,91,303
237,190,177,309
68,70,131,392
36,132,108,362
211,254,220,295
43,186,359,283
293,312,180,24
170,328,137,111
104,141,263,314
46,188,200,371
323,303,197,385
400,61,237,345
20,127,143,90
221,134,225,172
141,191,138,358
312,61,372,359
376,393,333,21
137,110,39,382
218,323,50,62
157,105,28,197
362,98,329,89
271,195,260,355
344,329,400,244
263,370,126,381
365,53,35,84
281,177,49,212
150,77,350,156
297,381,61,73
7,233,395,63
127,321,245,327
104,47,285,289
269,28,145,314
391,24,334,206
156,357,125,102
346,49,170,88
302,23,307,28
160,249,52,152
144,126,5,290
83,315,390,199
387,374,18,392
138,36,4,122
242,73,166,191
146,300,327,128
382,378,141,253
164,384,33,22
299,129,131,342
306,332,108,173
221,279,381,394
218,125,172,317
26,7,123,183
380,281,111,209
397,10,74,49
230,42,132,274
165,348,143,302
341,196,371,67
83,263,385,316
229,73,47,92
136,27,312,234
47,18,244,202
302,260,364,201
71,320,387,13
178,152,391,154
229,101,18,145
370,197,345,105
95,38,277,90
350,184,360,26
285,229,377,380
96,387,32,112
68,359,354,376
162,213,166,366
283,13,223,371
387,145,388,357
224,308,371,339
214,90,301,13
32,176,42,100
109,336,319,189
237,45,223,54
76,358,381,357
389,240,86,178
73,367,322,394
312,377,370,43
110,192,117,277
341,166,277,222
76,249,55,245
12,149,66,150
40,230,210,108
26,395,140,59
39,212,121,299
14,309,88,337
307,197,390,4
251,215,64,375
134,262,260,220
334,110,184,32
190,281,42,108
97,165,18,389
107,364,176,130
333,18,400,63
134,400,190,160
58,265,346,126
238,388,266,140
254,143,235,309
40,356,294,378
20,135,366,317
346,251,76,201
80,307,232,146
203,300,344,167
248,16,59,169
235,353,197,183
1,208,153,15
337,210,59,311
342,232,292,389
68,127,227,260
34,44,79,369
331,165,159,231
400,52,146,245
276,381,58,116
228,384,20,23
219,252,256,9
127,19,304,359
178,347,18,7
154,373,106,265
103,102,177,46
291,66,118,266
368,305,338,109
399,383,133,298
58,65,176,258
44,189,353,115
99,131,113,297
43,220,240,183
379,308,207,390
20,387,283,345
247,257,276,360
372,392,68,309
113,31,223,161
170,63,82,312
277,23,114,371
92,172,272,204
365,218,311,179
186,231,303,14
129,289,216,381
376,106,326,211
353,316,67,132
270,393,181,368
46,12,40,66
264,132,176,140
19,219,358,18
334,261,167,325
58,80,42,12
141,142,29,167
178,188,255,30
294,322,16,2
105,42,23,381
239,29,246,272
152,115,392,105
149,379,168,54
220,216,206,31
243,375,359,364
46,35,140,292
153,352,301,351
277,153,247,8
115,120,181,277
400,301,46,49
161,292,379,270
46,119,248,314
136,55,337,205
351,148,222,374
22,229,48,334
86,103,198,219
162,288,205,289
153,146,189,285
204,228,344,180
235,212,134,281
215,359,306,259
49,265,7,192
16,373,118,172
389,235,58,338
348,12,88,294
182,131,10,168
184,4,343,242
148,292,113,396
202,193,39,77
40,197,181,267
267,328,386,345
90,272,226,80
169,301,369,28
258,53,60,136
16,289,82,77
395,120,351,200
43,394,144,309
18,223,61,351
114,351,66,58
203,23,22,168
180,315,104,323
80,346,263,355
120,346,225,125
70,39,151,74
209,60,310,318
363,221,284,249
104,346,153,128
277,49,217,212
156,41,131,396
230,375,191,105
217,67,305,292
190,104,303,76
50,273,169,295
104,248,367,184
356,138,301,339
50,387,90,43
281,291,374,199
139,2,224,387
226,262,108,292
65,317,301,94
55,329,277,125
154,27,142,63
107,66,390,28
180,294,357,215
52,212,95,57
317,45,227,399
219,138,293,24
219,163,234,284
382,1,82,266
94,70,338,11
9,162,30,310
85,166,227,277
105,36,397,113
63,341,305,109
170,377,212,221
252,346,37,225
114,311,362,254
343,72,116,184
83,145,3,181
288,15,167,254
314,157,362,62
91,196,18,375
135,46,201,87
203,99,307,28
297,387,213,239
209,70,252,366
261,289,254,129
324,262,80,176
362,18,353,173
124,110,125,333
16,370,49,342
381,302,358,77
232,346,223,295
116,370,201,141
397,186,209,244
222,271,358,244
378,312,386,136
103,133,282,104
128,92,71,386
239,7,362,115
236,130,277,58
231,211,101,299
107,115,350,44
128,45,297,157
131,350,248,158
180,70,143,77
248,346,381,308
229,134,259,321
196,274,109,296
400,358,383,346
182,67,167,37
60,263,134,158
131,291,156,211
379,352,23,324
127,70,63,42
318,294,23,295
360,165,295,183
256,322,11,288
87,44,390,320
126,357,76,234
390,118,84,279
365,17,318,213
268,274,112,223
174,24,172,22
368,10,153,229
326,92,31,143
310,201,396,147
240,294,95,193
301,85,128,324
397,194,86,51
334,297,124,300
280,241,44,9
186,80,320,219
62,79,309,20
160,207,344,11
359,270,369,246
354,296,114,108
382,65,11,17
154,255,391,33
34,340,318,161
118,23,377,201
112,297,303,100
305,391,196,282
127,208,125,46
385,239,104,149
304,399,62,51
312,200,147,362
129,115,42,227
142,66,102,243
345,213,183,274
335,245,141,287
50,120,280,243
312,90,158,17
311,2,252,332
112,263,351,248
355,273,205,6
188,353,169,311
68,286,382,373
116,70,69,394
142,171,8,74
77,312,145,202
52,353,63,293
265,356,359,232
290,17,90,362
80,78,244,331
117,14,320,60
55,137,150,301
81,45,368,233
378,14,47,80
363,156,332,282
32,135,180,89
273,85,22,361
116,81,165,298
195,279,202,266
241,290,142,6
79,3,203,236
54,82,256,384
295,338,384,277
208,11,255,86
250,182,390,150
299,13,124,163
49,302,72,310
253,256,373,216
152,149,320,376
381,308,291,387
296,248,204,294
39,272,335,152
255,300,189,179
377,269,25,350
239,32,89,227
261,345,325,329
315,106,127,137
260,134,125,238
302,2,38,40
146,208,300,253
78,154,99,232
38,319,227,320
93,199,82,113
93,177,201,286
360,389,341,103
182,254,220,126
378,310,109,282
364,293,320,60
272,140,290,356
198,13,193,200
96,11,197,58
58,262,392,65
377,205,203,92
307,368,164,212
144,190,215,227
206,198,150,338
396,369,386,11
121,111,232,303
285,272,323,81
354,300,82,363
34,300,110,307
72,225,162,341
99,141,45,93
373,324,219,328
