"V1","V2","V3","V4"
82,285,299,343
124,273,370,382
129,286,305,368
158,293,322,350
219,253,369,392
131,152,308,336
113,203,315,364
122,203,318,380
107,198,317,334
124,231,352,368
63,204,311,312
149,334,341,351
176,247,364,383
177,191,281,335
163,258,330,376
116,192,338,366
22,166,250,379
24,231,338,374
119,270,320,353
99,273,376,387
190,221,312,361
120,249,285,399
33,232,274,384
23,275,323,376
159,164,300,344
144,263,299,315
169,277,332,368
75,202,239,392
169,178,353,360
235,296,332,340
174,189,339,375
90,230,285,364
95,240,315,380
130,189,305,339
236,247,331,392
153,232,308,327
212,274,381,398
35,149,278,375
208,214,330,347
35,124,334,358
116,184,337,386
141,225,344,393
85,239,254,379
193,280,353,372
86,247,298,384
181,292,332,380
159,227,302,354
151,259,317,347
90,287,334,371
246,261,351,389
74,104,287,327
37,266,282,351
180,182,289,367
241,253,396,398
119,242,313,344
90,267,303,314
117,198,294,381
176,259,285,358
209,238,361,397
96,202,299,344
109,211,339,370
101,253,310,363
162,276,398,400
127,240,344,380
157,224,332,346
167,220,278,335
185,338,347,379
139,273,282,354
136,238,329,399
215,243,339,388
68,307,329,378
172,173,317,374
168,203,354,375
166,278,337,373
54,204,288,400
221,284,374,389
172,268,340,393
228,257,375,382
210,230,295,361
218,241,396,397
57,279,312,323
148,256,272,310
158,261,294,359
113,281,322,350
191,216,293,367
204,264,351,378
61,126,313,332
210,323,336,349
207,270,360,378
164,177,344,352
173,176,322,340
182,196,363,372
183,220,360,378
159,263,281,356
83,150,217,344
168,242,298,383
123,284,305,361
34,220,302,383
196,233,334,399
89,285,300,370
230,244,372,397
119,257,353,395
108,265,315,333
131,277,319,363
154,293,308,346
118,227,296,353
106,203,309,357
152,157,355,358
75,260,278,399
175,291,368,370
145,262,307,324
155,235,366,382
109,234,327,390
196,219,293,330
149,281,350,351
148,283,316,319
25,231,349,398
210,230,329,388
205,230,317,324
57,283,301,368
190,322,352,382
88,232,308,340
181,313,333,340
42,186,290,389
154,267,284,366
136,194,338,384
143,293,301,356
148,264,352,390
215,265,345,350
189,275,299,373
223,265,371,384
220,249,367,391
110,260,312,376
157,215,302,346
185,303,333,364
116,160,311,374
148,179,284,305
140,342,348,353
112,193,309,335
255,266,348,384
160,206,282,354
197,267,324,390
237,253,327,390
41,238,329,341
98,257,308,397
135,231,319,321
141,251,310,339
220,249,390,398
206,263,268,388
45,218,309,337
66,186,283,393
91,216,349,353
159,319,328,384
147,207,336,352
124,216,303,341
120,249,315,368
127,203,335,347
115,194,330,332
185,254,304,355
187,224,326,374
136,262,291,318
237,279,309,360
154,292,301,365
175,269,324,343
179,213,325,400
172,212,306,391
174,184,339,395
166,250,332,373
36,253,319,387
171,212,365,374
210,260,340,399
152,217,387,400
250,274,381,382
121,283,288,310
72,222,315,370
133,156,292,311
124,188,313,376
238,259,385,398
247,252,318,382
190,343,381,387
148,179,358,362
192,251,373,396
89,277,290,308
177,207,360,372
172,198,318,391
135,204,345,393
210,214,352,384
163,215,320,378
191,291,301,351
108,127,332,384
169,260,293,351
207,270,381,383
135,210,337,383
206,243,359,384
123,182,314,329
100,260,280,328
241,247,386,390
136,267,314,324
124,215,306,374
209,220,351,382
30,235,257,365
130,294,359,394
220,279,379,387
163,230,272,354
114,257,293,337
89,221,292,335
190,239,373,388
183,245,355,376
192,239,341,391
157,207,345,357
216,243,368,395
241,294,389,397
177,253,332,394
173,233,386,399
194,221,294,398
226,249,324,396
153,215,338,355
176,215,330,371
174,221,244,388
156,225,287,334
213,264,275,376
62,218,267,366
185,201,340,395
66,165,244,322
146,245,376,379
203,257,315,358
226,342,366,391
104,243,312,367
63,239,283,392
180,279,334,392
112,207,282,344
183,264,378,379
156,260,324,348
192,359,365,382
177,250,358,398
166,207,313,350
187,227,326,394
180,314,327,359
150,219,321,381
40,276,305,398
61,179,323,326
153,307,324,350
120,230,343,391
113,195,287,369
194,235,257,384
189,243,268,341
77,252,286,348
84,291,301,318
186,232,337,391
219,284,331,400
16,294,312,350
33,328,342,346
78,232,346,380
146,161,314,369
197,203,224,383
215,279,360,381
210,263,281,317
194,275,349,387
222,303,325,337
123,269,291,318
57,241,290,389
158,238,352,360
210,236,324,343
227,259,348,398
191,194,332,354
142,166,305,345
130,317,381,382
178,253,335,386
93,198,279,383
199,263,323,385
174,328,356,376
171,229,371,373
171,181,312,367
137,259,317,347
114,283,307,358
217,244,368,371
165,173,321,388
103,225,281,319
47,228,268,336
181,277,355,359
42,118,299,321
102,253,299,398
181,216,225,340
60,214,289,393
258,270,368,376
188,209,312,317
62,188,255,344
147,264,322,333
181,241,244,348
81,135,304,345
153,307,331,359
15,53,278,282
134,267,303,313
74,270,271,397
197,293,300,387
20,230,254,307
210,282,329,384
