"pop","method","rep","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10"
"meuse_eq","wave",1,3,15,21,56,67,96,108,132,139,145
"meuse_eq","wave",2,14,30,33,48,53,71,94,111,116,153
"meuse_eq","wave",3,4,12,45,49,70,78,113,121,152,154
"meuse_eq","wave",4,24,41,50,55,75,97,102,116,133,145
"meuse_eq","wave",5,7,27,40,49,57,70,77,96,113,147
"meuse_eq","wave",6,8,10,19,27,44,58,67,75,108,142
"meuse_eq","wave",7,13,22,30,44,54,68,81,92,99,107
"meuse_eq","wave",8,2,29,40,87,102,105,116,125,140,146
"meuse_eq","wave",9,11,33,53,76,90,116,118,127,130,135
"meuse_eq","wave",10,3,26,41,55,91,94,113,118,120,130
"meuse_eq","wave",11,8,27,39,55,66,77,97,108,128,144
"meuse_eq","wave",12,12,21,83,86,94,109,125,127,139,151
"meuse_eq","wave",13,5,35,44,55,89,101,107,113,129,141
"meuse_eq","wave",14,25,38,59,62,76,92,134,135,154,155
"meuse_eq","wave",15,15,23,46,61,89,99,108,112,134,142
"meuse_eq","wave",16,6,39,72,82,114,123,128,133,139,151
"meuse_eq","wave",17,3,11,44,66,73,105,111,121,130,141
"meuse_eq","wave",18,7,22,48,83,96,108,111,122,139,146
"meuse_eq","wave",19,6,35,43,58,77,81,101,106,114,129
"meuse_eq","wave",20,20,25,47,83,96,112,123,139,147,155
"meuse_eq","wave",21,1,24,37,67,69,80,105,123,129,152
"meuse_eq","wave",22,15,33,43,59,67,71,82,91,105,143
"meuse_eq","wave",23,4,16,36,42,51,56,71,77,102,147
"meuse_eq","wave",24,15,22,52,62,69,81,93,100,132,147
"meuse_eq","wave",25,16,31,41,48,60,87,91,111,118,140
"meuse_eq","wave",26,1,23,26,51,52,69,70,77,122,142
"meuse_eq","wave",27,6,16,38,49,53,90,99,112,145,155
"meuse_eq","wave",28,22,46,60,67,82,84,87,89,105,143
"meuse_eq","wave",29,14,24,37,55,65,71,94,113,126,153
"meuse_eq","wave",30,3,19,28,52,61,68,70,100,128,147
"meuse_eq","wave",31,5,40,49,83,101,109,123,133,136,139
"meuse_eq","wave",32,2,25,65,71,86,90,103,125,127,130
"meuse_eq","wave",33,1,12,36,50,76,102,115,123,127,147
"meuse_eq","wave",34,15,20,34,47,71,91,94,117,118,137
"meuse_eq","wave",35,7,29,63,80,97,110,119,124,140,145
"meuse_eq","wave",36,3,11,19,34,48,62,76,104,124,150
"meuse_eq","wave",37,5,12,37,59,63,73,110,130,134,150
"meuse_eq","wave",38,4,17,26,37,75,102,108,115,132,146
"meuse_eq","wave",39,1,24,42,54,63,98,110,120,139,149
"meuse_eq","wave",40,1,19,24,35,47,60,77,83,110,144
"meuse_eq","wave",41,6,35,44,50,69,115,129,138,144,148
"meuse_eq","wave",42,15,42,50,65,73,82,97,123,144,150
"meuse_eq","wave",43,7,29,41,50,54,74,86,102,145,150
"meuse_eq","wave",44,5,28,43,50,57,65,69,79,91,144
"meuse_eq","wave",45,6,16,21,31,59,79,98,103,128,144
"meuse_eq","wave",46,8,18,31,46,60,81,94,106,113,140
"meuse_eq","wave",47,14,27,40,57,69,76,92,115,134,147
"meuse_eq","wave",48,26,38,42,62,70,77,84,101,108,132
"meuse_eq","wave",49,5,26,39,60,88,96,112,118,119,148
"meuse_eq","wave",50,10,33,50,52,61,80,91,130,137,147
"meuse_eq","wave",51,7,27,39,48,57,72,91,94,115,136
"meuse_eq","wave",52,12,37,45,57,66,74,90,110,128,141
"meuse_eq","wave",53,1,19,30,46,60,68,87,91,131,145
"meuse_eq","wave",54,10,18,34,79,86,102,108,120,134,150
"meuse_eq","wave",55,7,33,59,64,70,91,97,104,134,146
"meuse_eq","wave",56,7,20,27,46,93,99,106,112,118,122
"meuse_eq","wave",57,11,46,56,83,106,109,116,130,139,145
"meuse_eq","wave",58,25,37,49,72,84,93,100,116,125,137
"meuse_eq","wave",59,7,29,45,50,56,76,81,86,102,148
"meuse_eq","wave",60,8,41,50,55,70,77,111,116,133,149
"meuse_eq","wave",61,4,13,27,36,47,63,97,105,121,139
"meuse_eq","wave",62,9,33,42,51,65,69,75,121,150,151
"meuse_eq","wave",63,11,23,43,63,74,93,101,109,120,151
"meuse_eq","wave",64,9,37,57,67,83,92,94,118,128,138
"meuse_eq","wave",65,2,17,26,38,62,81,93,100,110,132
"meuse_eq","wave",66,3,26,53,61,80,89,96,126,130,135
"meuse_eq","wave",67,10,33,50,54,92,115,118,129,138,142
"meuse_eq","wave",68,7,29,45,51,56,67,75,109,143,147
"meuse_eq","wave",69,6,26,52,61,79,83,118,126,135,142
"meuse_eq","wave",70,10,18,27,43,50,72,78,102,117,140
"meuse_eq","wave",71,16,25,39,48,66,77,97,108,114,146
"meuse_eq","wave",72,13,21,25,50,56,67,99,108,124,141
"meuse_eq","wave",73,7,29,41,50,55,66,80,102,135,140
"meuse_eq","wave",74,7,18,33,57,90,99,103,115,119,143
"meuse_eq","wave",75,4,12,36,48,55,73,86,102,108,141
"meuse_eq","wave",76,9,23,59,77,81,97,110,117,120,145
"meuse_eq","wave",77,13,25,35,38,44,71,91,111,117,143
"meuse_eq","wave",78,8,21,30,54,79,86,98,126,137,150
"meuse_eq","wave",79,4,42,63,88,95,108,120,125,133,136
"meuse_eq","wave",80,6,37,54,81,86,91,109,126,129,145
"meuse_eq","wave",81,1,27,38,60,72,108,113,132,153,154
"meuse_eq","wave",82,7,36,40,59,69,76,114,134,148,154
"meuse_eq","wave",83,8,23,31,43,65,74,107,123,136,147
"meuse_eq","wave",84,4,16,20,28,99,103,116,119,144,148
"meuse_eq","wave",85,2,21,25,54,68,107,115,126,139,141
"meuse_eq","wave",86,4,22,24,44,68,79,91,107,121,143
"meuse_eq","wave",87,14,25,37,45,50,56,69,77,115,141
"meuse_eq","wave",88,2,6,19,41,58,86,87,101,107,140
"meuse_eq","wave",89,15,23,26,57,86,87,101,108,127,152
"meuse_eq","wave",90,16,19,59,64,77,80,97,108,134,146
"meuse_eq","wave",91,14,23,46,56,65,75,80,101,135,136
"meuse_eq","wave",92,3,26,38,68,81,96,116,131,132,153
"meuse_eq","wave",93,14,35,39,48,65,69,71,121,144,153
"meuse_eq","wave",94,4,17,31,43,55,66,77,102,105,147
"meuse_eq","wave",95,1,51,88,96,112,121,124,133,147,155
"meuse_eq","wave",96,5,40,57,88,96,114,133,134,149,155
"meuse_eq","wave",97,15,20,35,44,70,78,91,105,123,154
"meuse_eq","wave",98,33,46,50,59,68,78,84,95,116,140
"meuse_eq","wave",99,5,20,35,46,63,73,131,133,145,148
"meuse_eq","wave",100,10,42,52,56,65,76,104,130,148,154
"meuse_eq","wave",101,4,12,36,54,86,96,128,137,139,146
"meuse_eq","wave",102,5,12,40,49,54,74,82,86,92,142
"meuse_eq","wave",103,12,20,49,61,87,89,124,135,154,155
"meuse_eq","wave",104,9,34,39,72,78,94,117,119,137,148
"meuse_eq","wave",105,11,22,36,44,66,88,93,123,136,150
"meuse_eq","wave",106,2,22,44,92,99,108,115,122,150,154
"meuse_eq","wave",107,10,19,35,52,61,87,95,128,136,148
"meuse_eq","wave",108,9,34,39,60,71,91,113,118,119,143
"meuse_eq","wave",109,3,21,44,80,83,108,116,125,129,140
"meuse_eq","wave",110,1,25,37,65,73,107,113,129,132,152
"meuse_eq","wave",111,8,31,38,54,83,86,101,135,139,147
"meuse_eq","wave",112,9,40,67,88,95,103,121,128,133,138
"meuse_eq","wave",113,5,12,28,43,57,70,89,96,113,132
"meuse_eq","wave",114,11,16,36,59,72,86,97,108,127,151
"meuse_eq","wave",115,8,21,25,79,98,107,122,124,136,150
"meuse_eq","wave",116,4,17,40,72,117,134,136,153,154,155
"meuse_eq","wave",117,9,45,49,57,88,115,130,146,154,155
"meuse_eq","wave",118,11,18,35,47,60,74,90,107,110,141
"meuse_eq","wave",119,6,13,29,43,49,79,83,111,122,151
