pop,method,rep,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx10
meuse_uneq,wave,1,1,20,26,42,55,69,80,83,91,120
meuse_uneq,wave,2,2,18,24,36,60,79,99,113,132,146
meuse_uneq,wave,3,6,14,21,43,58,67,80,108,114,140
meuse_uneq,wave,4,3,17,31,37,47,55,79,96,116,118
meuse_uneq,wave,5,3,17,38,53,66,69,77,81,122,128
meuse_uneq,wave,6,7,16,37,47,60,64,71,78,135,152
meuse_uneq,wave,7,1,11,18,39,48,58,65,73,96,107
meuse_uneq,wave,8,11,16,37,54,62,65,70,77,132,136
meuse_uneq,wave,9,4,8,41,54,60,66,80,130,131,139
meuse_uneq,wave,10,3,20,47,55,64,71,82,90,129,144
meuse_uneq,wave,11,2,4,29,39,59,62,75,83,137,144
meuse_uneq,wave,12,2,18,27,45,56,70,82,120,136,145
meuse_uneq,wave,13,1,22,45,58,64,72,106,110,144,153
meuse_uneq,wave,14,1,29,40,54,63,71,88,105,119,149
meuse_uneq,wave,15,8,18,41,54,61,66,87,97,108,152
meuse_uneq,wave,16,13,20,25,45,61,67,80,91,107,144
meuse_uneq,wave,17,2,17,30,35,40,54,72,78,95,115
meuse_uneq,wave,18,10,16,27,39,49,62,68,73,125,145
meuse_uneq,wave,19,17,20,45,67,80,82,84,119,122,140
meuse_uneq,wave,20,4,16,28,39,50,53,55,66,72,138
meuse_uneq,wave,21,8,19,33,46,48,55,89,98,114,149
meuse_uneq,wave,22,3,17,40,58,76,81,105,115,142,153
meuse_uneq,wave,23,1,16,20,48,54,62,71,93,113,155
meuse_uneq,wave,24,10,14,44,53,58,77,81,103,114,130
meuse_uneq,wave,25,6,14,37,47,57,70,79,112,147,155
meuse_uneq,wave,26,1,13,33,40,54,62,79,95,111,132
meuse_uneq,wave,27,4,38,47,60,80,82,98,129,136,152
meuse_uneq,wave,28,1,39,47,55,61,71,93,112,133,155
meuse_uneq,wave,29,22,52,66,71,84,89,102,121,129,134
meuse_uneq,wave,30,1,18,25,41,53,63,67,108,120,152
meuse_uneq,wave,31,16,30,34,51,52,62,76,83,111,148
meuse_uneq,wave,32,9,37,40,55,64,67,87,94,132,153
meuse_uneq,wave,33,6,13,42,55,62,72,90,97,107,146
