pop,method,rep,idx1,idx2,idx3,idx4,idx5
meuse_eq,wave,1,15,44,115,153,154
meuse_eq,wave,2,14,23,58,64,88
meuse_eq,wave,3,46,61,76,84,103
meuse_eq,wave,4,62,104,124,129,140
meuse_eq,wave,5,39,56,84,89,105
meuse_eq,wave,6,67,90,125,133,141
meuse_eq,wave,7,17,31,46,77,103
meuse_eq,wave,8,15,36,68,80,132
meuse_eq,wave,9,60,73,127,129,139
meuse_eq,wave,10,23,49,79,115,154
meuse_eq,wave,11,26,45,92,96,113
meuse_eq,wave,12,29,46,50,66,144
meuse_eq,wave,13,11,33,77,86,128
meuse_eq,wave,14,14,79,82,117,124
meuse_eq,wave,15,1,23,50,81,142
meuse_eq,wave,16,47,70,95,129,155
meuse_eq,wave,17,28,59,66,118,150
meuse_eq,wave,18,47,99,104,129,143
meuse_eq,wave,19,6,21,49,98,149
meuse_eq,wave,20,8,37,56,110,138
meuse_eq,wave,21,4,35,97,122,148
meuse_eq,wave,22,28,48,97,139,153
meuse_eq,wave,23,10,42,66,82,150
meuse_eq,wave,24,16,54,66,96,155
meuse_eq,wave,25,7,56,72,119,146
meuse_eq,wave,26,18,49,57,72,150
meuse_eq,wave,27,5,40,60,96,128
meuse_eq,wave,28,3,32,47,61,151
meuse_eq,wave,29,22,98,120,148,155
meuse_eq,wave,30,4,17,45,107,139
meuse_eq,wave,31,27,47,112,139,155
meuse_eq,wave,32,5,27,47,112,140
meuse_eq,wave,33,18,70,118,119,145
meuse_eq,wave,34,9,43,63,77,107
meuse_eq,wave,35,12,58,72,97,104
meuse_eq,wave,36,12,57,74,82,126
meuse_eq,wave,37,10,35,59,66,137
meuse_eq,wave,38,43,62,109,130,139
meuse_eq,wave,39,3,46,66,103,144
meuse_eq,wave,40,3,22,67,119,150
meuse_eq,wave,41,12,53,81,103,141
meuse_eq,wave,42,3,33,100,117,134
meuse_eq,wave,43,52,83,89,128,130
meuse_eq,wave,44,6,21,51,83,94
meuse_eq,wave,45,11,40,70,131,147
meuse_eq,wave,46,26,42,60,110,138
meuse_eq,wave,47,28,70,95,118,125
meuse_eq,wave,48,2,23,51,73,144
meuse_eq,wave,49,17,32,54,96,104
meuse_eq,wave,50,1,32,52,74,105
meuse_eq,wave,51,22,49,53,69,74
meuse_eq,wave,52,17,59,68,78,145
meuse_eq,wave,53,12,14,77,113,127
meuse_eq,wave,54,8,45,73,121,143
meuse_eq,wave,55,9,42,76,117,118
meuse_eq,wave,56,14,48,69,76,129
meuse_eq,wave,57,31,49,65,92,144
meuse_eq,wave,58,7,22,49,100,115
meuse_eq,wave,59,5,41,80,136,141
meuse_eq,wave,60,12,43,69,76,136
meuse_eq,wave,61,29,51,54,83,92
meuse_eq,wave,62,1,29,89,112,132
meuse_eq,wave,63,18,51,85,95,148
meuse_eq,wave,64,4,22,50,100,115
meuse_eq,wave,65,25,43,80,135,149
meuse_eq,wave,66,7,38,51,67,90
meuse_eq,wave,67,16,41,114,118,140
meuse_eq,wave,68,55,85,130,134,150
meuse_eq,wave,69,93,94,106,123,130
meuse_eq,wave,70,62,64,77,128,130
meuse_eq,wave,71,30,39,63,99,107
meuse_eq,wave,72,6,38,58,68,147
meuse_eq,wave,73,24,45,87,137,144
meuse_eq,wave,74,35,59,84,100,112
meuse_eq,wave,75,32,63,78,94,119
meuse_eq,wave,76,9,52,61,113,138
meuse_eq,wave,77,1,33,60,123,144
meuse_eq,wave,78,17,48,72,94,120
meuse_eq,wave,79,75,82,85,132,133
meuse_eq,wave,80,33,54,83,90,108
meuse_eq,wave,81,28,61,89,134,145
meuse_eq,wave,82,40,73,84,121,131
meuse_eq,wave,83,20,30,48,60,101
meuse_eq,wave,84,20,31,50,98,147
meuse_eq,wave,85,23,58,70,103,146
meuse_eq,wave,86,53,73,97,129,134
meuse_eq,wave,87,2,34,49,77,113
meuse_eq,wave,88,44,86,91,118,133
meuse_eq,wave,89,7,31,39,100,114
meuse_eq,wave,90,25,74,86,109,126
meuse_eq,wave,91,1,26,39,77,135
meuse_eq,wave,92,2,67,108,126,141
meuse_eq,wave,93,18,55,72,109,151
meuse_eq,wave,94,9,45,63,97,148
meuse_eq,wave,95,5,15,51,153,154
meuse_eq,wave,96,1,59,64,69,140
meuse_eq,wave,97,16,41,83,104,141
meuse_eq,wave,98,15,71,104,119,146
meuse_eq,wave,99,77,92,109,125,130
meuse_eq,wave,100,11,23,48,93,96
meuse_eq,wave,101,21,49,72,92,143
