pop,method,rep,idx1,idx2,idx3,idx4,idx5
meuse_uneq,wave,1,2,39,82,99,121
meuse_uneq,wave,2,21,40,61,79,131
meuse_uneq,wave,3,4,47,65,118,139
meuse_uneq,wave,4,31,46,69,80,116
meuse_uneq,wave,5,25,41,72,103,122
meuse_uneq,wave,6,13,41,50,99,116
meuse_uneq,wave,7,7,20,55,72,105
meuse_uneq,wave,8,9,36,72,96,136
meuse_uneq,wave,9,16,61,73,110,126
meuse_uneq,wave,10,3,21,59,86,139
meuse_uneq,wave,11,18,28,66,125,151
meuse_uneq,wave,12,13,39,63,89,106
meuse_uneq,wave,13,26,40,50,62,139
meuse_uneq,wave,14,11,46,49,66,148
meuse_uneq,wave,15,25,53,63,70,118
meuse_uneq,wave,16,4,20,59,83,146
meuse_uneq,wave,17,10,43,69,80,122
meuse_uneq,wave,18,9,41,49,60,88
meuse_uneq,wave,19,2,38,60,79,103
meuse_uneq,wave,20,16,59,61,98,150
meuse_uneq,wave,21,27,53,73,91,113
meuse_uneq,wave,22,13,37,55,69,79
meuse_uneq,wave,23,11,19,51,55,75
meuse_uneq,wave,24,15,39,53,67,153
meuse_uneq,wave,25,16,63,87,118,124
meuse_uneq,wave,26,25,40,79,101,105
meuse_uneq,wave,27,1,40,50,61,81
meuse_uneq,wave,28,1,16,46,79,101
meuse_uneq,wave,29,7,32,86,124,139
meuse_uneq,wave,30,64,76,102,120,129
meuse_uneq,wave,31,13,52,62,72,95
meuse_uneq,wave,32,46,76,116,127,129
meuse_uneq,wave,33,16,40,54,67,153
meuse_uneq,wave,34,1,21,51,81,145
meuse_uneq,wave,35,13,46,63,77,118
meuse_uneq,wave,36,18,55,59,67,90
meuse_uneq,wave,37,14,56,81,136,146
meuse_uneq,wave,38,3,20,59,83,154
meuse_uneq,wave,39,12,33,46,69,81
meuse_uneq,wave,40,11,52,61,69,79
meuse_uneq,wave,41,16,83,118,124,151
meuse_uneq,wave,42,18,48,69,83,91
meuse_uneq,wave,43,15,43,62,75,118
meuse_uneq,wave,44,3,39,56,79,102
meuse_uneq,wave,45,6,20,58,70,143
meuse_uneq,wave,46,56,66,130,134,146
meuse_uneq,wave,47,16,30,91,115,119
meuse_uneq,wave,48,29,53,66,108,152
meuse_uneq,wave,49,27,47,64,84,91
meuse_uneq,wave,50,6,22,114,119,152
meuse_uneq,wave,51,40,62,82,84,96
meuse_uneq,wave,52,40,52,117,133,139
meuse_uneq,wave,53,2,20,54,80,103
meuse_uneq,wave,54,13,35,54,98,108
meuse_uneq,wave,55,21,52,72,84,135
meuse_uneq,wave,56,4,19,66,132,151
meuse_uneq,wave,57,18,41,47,60,99
meuse_uneq,wave,58,2,53,62,69,79
meuse_uneq,wave,59,16,45,62,76,82
meuse_uneq,wave,60,15,56,65,76,126
meuse_uneq,wave,61,14,37,67,81,134
meuse_uneq,wave,62,13,31,54,64,79
meuse_uneq,wave,63,9,40,61,65,143
meuse_uneq,wave,64,1,22,54,67,153
meuse_uneq,wave,65,6,20,56,128,154
meuse_uneq,wave,66,9,40,60,131,153
meuse_uneq,wave,67,2,20,59,91,116
meuse_uneq,wave,68,6,19,81,121,128
meuse_uneq,wave,69,19,55,65,93,145
meuse_uneq,wave,70,17,47,54,83,153
meuse_uneq,wave,71,18,55,70,109,145
meuse_uneq,wave,72,3,20,56,112,138
meuse_uneq,wave,73,5,39,56,69,88
meuse_uneq,wave,74,3,21,57,75,118
meuse_uneq,wave,75,3,32,48,81,146
meuse_uneq,wave,76,8,19,54,131,147
meuse_uneq,wave,77,19,54,68,78,147
meuse_uneq,wave,78,20,62,128,139,146
meuse_uneq,wave,79,2,22,59,91,115
meuse_uneq,wave,80,48,55,64,130,140
meuse_uneq,wave,81,14,40,61,69,73
meuse_uneq,wave,82,7,16,40,61,72
meuse_uneq,wave,83,19,56,66,118,150
meuse_uneq,wave,84,16,59,62,79,144
meuse_uneq,wave,85,3,20,67,134,152
meuse_uneq,wave,86,6,38,55,71,107
meuse_uneq,wave,87,17,21,54,62,71
meuse_uneq,wave,88,24,63,71,107,124
meuse_uneq,wave,89,11,40,83,123,149
meuse_uneq,wave,90,13,72,109,121,148
meuse_uneq,wave,91,5,20,50,56,80
meuse_uneq,wave,92,59,64,84,91,107
meuse_uneq,wave,93,15,81,90,121,134
meuse_uneq,wave,94,3,41,60,98,109
meuse_uneq,wave,95,5,20,60,99,125
meuse_uneq,wave,96,27,56,83,107,149
meuse_uneq,wave,97,10,36,57,72,82
meuse_uneq,wave,98,9,34,53,64,72
meuse_uneq,wave,99,47,64,83,133,140
meuse_uneq,wave,100,16,35,46,68,79
meuse_uneq,wave,101,16,24,63,124,140
meuse_uneq,wave,102,16,46,56,68,79
meuse_uneq,wave,103,16,25,38,55,73
meuse_uneq,wave,104,18,59,63,91,155
meuse_uneq,wave,105,24,80,101,105,122
meuse_uneq,wave,106,15,35,44,73,113
meuse_uneq,wave,107,17,38,52,148,155
meuse_uneq,wave,108,47,56,69,71,133
meuse_uneq,wave,109,15,40,61,74,105
meuse_uneq,wave,110,15,52,70,76,113
meuse_uneq,wave,111,41,55,71,78,84
meuse_uneq,wave,112,2,23,71,123,131
meuse_uneq,wave,113,1,43,67,88,121
meuse_uneq,wave,114,16,34,55,114,139
meuse_uneq,wave,115,4,21,48,60,152
meuse_uneq,wave,116,25,50,72,82,125
meuse_uneq,wave,117,18,59,66,93,101
meuse_uneq,wave,118,7,20,58,87,147
meuse_uneq,wave,119,17,61,78,101,106
meuse_uneq,wave,120,5,39,50,60,77
meuse_uneq,wave,121,17,39,55,71,105
meuse_uneq,wave,122,3,29,52,135,138
meuse_uneq,wave,123,4,21,54,74,135
meuse_uneq,wave,124,25,45,50,56,151
meuse_uneq,wave,125,25,40,62,118,139
meuse_uneq,wave,126,2,17,45,78,110
meuse_uneq,wave,127,4,20,111,132,145
meuse_uneq,wave,128,59,61,74,130,135
meuse_uneq,wave,129,6,19,53,88,136
meuse_uneq,wave,130,4,18,55,72,120
meuse_uneq,wave,131,1,21,57,66,150
meuse_uneq,wave,132,4,32,65,125,145
meuse_uneq,wave,133,1,80,111,126,147
meuse_uneq,wave,134,56,66,124,130,154
meuse_uneq,wave,135,30,40,55,80,146
meuse_uneq,wave,136,14,40,50,116,138
meuse_uneq,wave,137,3,19,54,71,107
meuse_uneq,wave,138,13,20,66,118,148
meuse_uneq,wave,139,17,38,56,81,145
meuse_uneq,wave,140,56,60,71,84,134
meuse_uneq,wave,141,5,20,50,60,70
meuse_uneq,wave,142,5,45,83,118,149
meuse_uneq,wave,143,8,23,67,125,153
meuse_uneq,wave,144,1,20,83,120,148
meuse_uneq,wave,145,4,22,51,63,152
meuse_uneq,wave,146,28,40,61,76,105
meuse_uneq,wave,147,20,24,60,72,128
meuse_uneq,wave,148,17,47,79,111,141
meuse_uneq,wave,149,1,34,53,68,139
meuse_uneq,wave,150,1,23,54,64,79
meuse_uneq,wave,151,31,53,65,148,155
meuse_uneq,wave,152,45,62,72,82,129
meuse_uneq,wave,153,13,69,70,89,126
meuse_uneq,wave,154,1,56,59,97,149
meuse_uneq,wave,155,7,20,81,120,145
meuse_uneq,wave,156,11,36,58,91,112
meuse_uneq,wave,157,2,21,45,60,145
meuse_uneq,wave,158,13,52,66,95,104
meuse_uneq,wave,159,5,23,54,67,152
meuse_uneq,wave,160,21,24,76,81,135
meuse_uneq,wave,161,9,34,53,75,113
meuse_uneq,wave,162,18,47,64,89,118
meuse_uneq,wave,163,14,59,64,118,152
meuse_uneq,wave,164,13,35,59,67,143
meuse_uneq,wave,165,6,16,69,80,123
meuse_uneq,wave,166,15,29,55,85,89
meuse_uneq,wave,167,4,37,55,87,108
meuse_uneq,wave,168,30,36,57,85,90
meuse_uneq,wave,169,4,59,67,90,130
meuse_uneq,wave,170,5,37,73,115,119
meuse_uneq,wave,171,28,39,60,76,104
meuse_uneq,wave,172,3,37,55,75,118
meuse_uneq,wave,173,16,39,47,72,101
meuse_uneq,wave,174,15,42,57,87,110
meuse_uneq,wave,175,12,52,61,80,143
meuse_uneq,wave,176,3,23,54,72,97
meuse_uneq,wave,177,13,42,57,70,149
meuse_uneq,wave,178,2,31,87,117,143
