pop,method,rep,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx10,idx11,idx12,idx13,idx14,idx15,idx16
grid_uneq,srs,1,55,71,63,44,97,46,39,23,29,92,40,70,74,3,10,76
grid_uneq,srs,2,3,55,71,38,83,89,73,28,51,72,9,57,23,37,48,43
grid_uneq,srs,3,21,56,51,59,89,94,85,1,46,3,76,35,66,15,57,39
grid_uneq,srs,4,38,49,68,76,36,11,41,1,13,6,65,64,12,24,93,10
grid_uneq,srs,5,43,19,85,12,33,73,61,79,80,98,94,16,72,83,57,7
grid_uneq,srs,6,80,55,86,98,45,29,73,94,22,10,91,20,35,90,78,56
grid_uneq,srs,7,19,41,18,78,36,80,37,11,84,61,12,95,6,76,1,30
grid_uneq,srs,8,44,4,19,1,47,65,29,58,37,25,53,2,48,73,42,22
grid_uneq,srs,9,5,71,43,2,44,9,58,87,41,21,31,47,50,11,20,29
grid_uneq,srs,10,20,18,38,19,95,52,15,35,28,23,14,56,97,84,45,34
grid_uneq,srs,11,71,99,58,37,47,79,40,95,48,41,63,54,22,23,21,97
grid_uneq,srs,12,47,38,46,40,80,10,88,15,28,55,24,95,99,2,37,48
grid_uneq,srs,13,1,94,93,60,46,28,54,20,32,64,48,78,80,29,10,2
grid_uneq,srs,14,44,52,10,69,68,15,71,14,26,37,77,40,62,72,79,8
grid_uneq,srs,15,98,12,96,9,5,23,60,7,64,74,54,2,26,42,90,61
grid_uneq,srs,16,75,47,61,2,88,12,77,62,65,19,37,38,93,68,30,95
grid_uneq,srs,17,4,48,57,71,96,93,25,9,19,28,23,38,49,98,47,72
grid_uneq,srs,18,2,74,1,5,92,51,4,89,25,87,80,36,96,23,32,45
grid_uneq,srs,19,20,91,58,42,2,97,100,55,51,78,4,13,74,95,85,36
grid_uneq,srs,20,54,32,51,25,52,19,39,45,82,86,59,76,78,6,72,17
grid_uneq,srs,21,25,39,21,51,91,16,7,4,73,11,56,49,54,10,61,78
grid_uneq,srs,22,88,14,58,45,21,32,65,23,16,29,81,69,87,35,84,28
grid_uneq,srs,23,62,7,74,5,42,43,78,46,16,13,24,45,47,18,50,20
grid_uneq,srs,24,45,3,64,9,82,18,100,85,8,96,49,63,86,2,80,92
grid_uneq,srs,25,21,14,69,3,62,63,15,80,64,84,4,79,1,82,18,65
grid_uneq,srs,26,21,89,87,12,68,24,75,46,4,34,10,70,33,32,28,47
grid_uneq,srs,27,41,50,90,81,38,86,74,26,39,27,9,29,33,73,4,56
grid_uneq,srs,28,59,50,76,1,47,48,4,16,78,30,14,73,53,42,26,89
grid_uneq,srs,29,17,4,56,93,86,31,30,52,20,11,55,47,76,2,97,46
grid_uneq,srs,30,42,75,66,71,83,48,82,56,51,89,11,59,58,98,24,36
grid_uneq,srs,31,61,97,100,70,29,84,55,23,35,89,27,82,76,1,44,14
grid_uneq,srs,32,29,84,70,96,58,80,74,86,87,69,98,44,8,67,14,77
grid_uneq,srs,33,97,70,68,95,46,6,47,76,44,25,93,28,48,17,100,39
grid_uneq,srs,34,88,42,96,7,59,34,83,14,15,69,13,97,8,98,85,90
grid_uneq,srs,35,7,26,83,5,63,82,19,91,96,90,23,72,11,59,36,43
grid_uneq,srs,36,5,48,19,1,60,23,93,52,31,13,98,80,89,49,4,72
grid_uneq,srs,37,100,48,83,81,35,18,44,56,75,89,92,70,25,16,50,15
grid_uneq,srs,38,62,95,4,71,40,50,87,35,33,56,48,8,38,19,14,25
grid_uneq,srs,39,55,21,42,39,4,78,75,52,58,41,74,69,50,63,5,59
