pop,method,rep,idx1,idx2,idx3,idx4
random_uneq,wave,1,25,30,38,91
random_uneq,wave,2,2,21,87,88
random_uneq,wave,3,37,44,61,88
random_uneq,wave,4,9,53,87,93
random_uneq,wave,5,16,22,26,43
random_uneq,wave,6,24,48,52,62
random_uneq,wave,7,13,27,73,92
random_uneq,wave,8,29,31,88,92
random_uneq,wave,9,8,16,49,51
random_uneq,wave,10,25,30,55,91
random_uneq,wave,11,2,39,74,90
random_uneq,wave,12,38,42,51,70
random_uneq,wave,13,26,51,53,70
random_uneq,wave,14,2,87,89,90
random_uneq,wave,15,36,76,80,98
random_uneq,wave,16,25,56,59,68
random_uneq,wave,17,18,54,80,97
random_uneq,wave,18,42,48,51,56
random_uneq,wave,19,10,29,38,67
random_uneq,wave,20,28,33,51,76
random_uneq,wave,21,34,62,91,93
random_uneq,wave,22,16,44,67,90
random_uneq,wave,23,10,68,83,99
random_uneq,wave,24,45,65,85,97
random_uneq,wave,25,29,35,42,68
random_uneq,wave,26,56,75,82,86
random_uneq,wave,27,19,24,64,66
random_uneq,wave,28,13,25,64,71
random_uneq,wave,29,1,17,53,90
random_uneq,wave,30,14,29,40,47
random_uneq,wave,31,16,75,93,100
random_uneq,wave,32,2,38,42,83
random_uneq,wave,33,14,21,34,84
random_uneq,wave,34,13,51,78,97
random_uneq,wave,35,9,16,44,67
random_uneq,wave,36,53,65,76,94
random_uneq,wave,37,1,22,37,70
random_uneq,wave,38,19,24,33,83
random_uneq,wave,39,37,45,56,94
random_uneq,wave,40,9,53,65,93
random_uneq,wave,41,61,62,68,82
random_uneq,wave,42,5,51,52,62
random_uneq,wave,43,25,35,48,83
random_uneq,wave,44,14,25,81,89
random_uneq,wave,45,22,53,62,68
random_uneq,wave,46,29,60,82,87
random_uneq,wave,47,22,26,29,74
random_uneq,wave,48,14,47,57,62
random_uneq,wave,49,16,61,72,90
random_uneq,wave,50,21,34,69,83
random_uneq,wave,51,7,23,55,56
random_uneq,wave,52,10,68,70,86
random_uneq,wave,53,30,38,48,88
random_uneq,wave,54,15,29,38,42
random_uneq,wave,55,55,66,83,86
random_uneq,wave,56,17,38,51,66
random_uneq,wave,57,2,74,87,90
random_uneq,wave,58,4,85,89,97
random_uneq,wave,59,9,32,59,91
random_uneq,wave,60,9,14,38,42
random_uneq,wave,61,2,33,66,76
random_uneq,wave,62,14,31,73,74
random_uneq,wave,63,35,36,64,80
random_uneq,wave,64,18,88,91,93
random_uneq,wave,65,10,68,83,96
random_uneq,wave,66,2,4,22,82
random_uneq,wave,67,13,14,51,55
random_uneq,wave,68,43,64,85,89
random_uneq,wave,69,8,37,66,67
random_uneq,wave,70,5,8,23,67
random_uneq,wave,71,32,42,65,94
random_uneq,wave,72,37,70,73,98
random_uneq,wave,73,5,76,85,86
random_uneq,wave,74,36,74,76,86
random_uneq,wave,75,28,68,85,97
random_uneq,wave,76,51,70,76,82
random_uneq,wave,77,10,61,64,87
random_uneq,wave,78,5,8,23,96
random_uneq,wave,79,24,49,90,91
random_uneq,wave,80,27,55,66,75
random_uneq,wave,81,26,37,49,75
random_uneq,wave,82,10,28,29,68
random_uneq,wave,83,16,29,62,65
random_uneq,wave,84,59,75,78,82
random_uneq,wave,85,34,52,87,89
random_uneq,wave,86,4,21,30,51
random_uneq,wave,87,2,85,88,89
random_uneq,wave,88,52,73,78,96
random_uneq,wave,89,10,17,35,87
random_uneq,wave,90,22,24,49,89
random_uneq,wave,91,5,18,32,83
random_uneq,wave,92,6,8,23,71
random_uneq,wave,93,8,24,36,66
random_uneq,wave,94,18,66,86,90
random_uneq,wave,95,5,11,17,94
random_uneq,wave,96,48,64,66,98
random_uneq,wave,97,4,29,85,89
random_uneq,wave,98,22,48,52,98
random_uneq,wave,99,5,17,22,98
random_uneq,wave,100,25,30,55,91
random_uneq,wave,101,15,49,62,74
random_uneq,wave,102,36,61,85,88
random_uneq,wave,103,30,54,71,82
random_uneq,wave,104,2,21,90,92
random_uneq,wave,105,8,48,88,98
random_uneq,wave,106,48,62,85,98
random_uneq,wave,107,3,9,16,21
random_uneq,wave,108,18,23,30,48
random_uneq,wave,109,14,19,82,90
random_uneq,wave,110,15,25,56,92
random_uneq,wave,111,8,23,40,48
random_uneq,wave,112,40,48,69,75
random_uneq,wave,113,43,53,65,75
random_uneq,wave,114,30,74,76,98
random_uneq,wave,115,25,40,48,56
random_uneq,wave,116,51,67,76,78
random_uneq,wave,117,22,27,74,81
random_uneq,wave,118,62,74,86,95
random_uneq,wave,119,38,42,52,73
random_uneq,wave,120,23,52,55,88
random_uneq,wave,121,39,66,76,82
random_uneq,wave,122,23,33,35,64
random_uneq,wave,123,7,18,22,82
random_uneq,wave,124,29,67,82,91
random_uneq,wave,125,22,24,25,48
random_uneq,wave,126,26,53,62,69
random_uneq,wave,127,9,16,32,78
random_uneq,wave,128,19,76,80,89
random_uneq,wave,129,5,8,23,46
random_uneq,wave,130,17,55,80,83
random_uneq,wave,131,53,61,62,75
random_uneq,wave,132,35,64,78,88
random_uneq,wave,133,4,62,68,85
random_uneq,wave,134,4,51,70,89
random_uneq,wave,135,21,35,85,97
random_uneq,wave,136,2,36,80,83
random_uneq,wave,137,16,66,90,95
random_uneq,wave,138,13,52,55,73
random_uneq,wave,139,25,34,76,89
random_uneq,wave,140,23,39,47,64
random_uneq,wave,141,16,20,61,90
random_uneq,wave,142,29,33,50,80
random_uneq,wave,143,8,53,65,94
random_uneq,wave,144,14,37,57,73
random_uneq,wave,145,16,19,29,38
random_uneq,wave,146,39,52,68,85
random_uneq,wave,147,4,16,22,91
random_uneq,wave,148,49,78,80,94
random_uneq,wave,149,5,25,27,65
random_uneq,wave,150,1,7,10,83
random_uneq,wave,151,8,16,88,96
random_uneq,wave,152,17,53,62,81
random_uneq,wave,153,2,71,85,90
random_uneq,wave,154,43,73,76,89
random_uneq,wave,155,8,15,36,51
random_uneq,wave,156,28,29,38,42
random_uneq,wave,157,23,43,59,97
random_uneq,wave,158,16,49,90,95
random_uneq,wave,159,33,42,75,93
random_uneq,wave,160,11,13,22,34
random_uneq,wave,161,10,40,75,89
random_uneq,wave,162,53,64,65,94
random_uneq,wave,163,12,47,58,86
random_uneq,wave,164,29,38,42,44
random_uneq,wave,165,1,24,64,91
random_uneq,wave,166,2,48,73,76
random_uneq,wave,167,22,54,81,85
random_uneq,wave,168,22,36,49,92
random_uneq,wave,169,13,24,69,76
random_uneq,wave,170,5,23,70,84
random_uneq,wave,171,16,22,93,95
random_uneq,wave,172,29,37,57,83
random_uneq,wave,173,25,30,55,91
random_uneq,wave,174,22,40,47,69
random_uneq,wave,175,7,29,71,82
random_uneq,wave,176,33,64,80,98
random_uneq,wave,177,16,25,40,75
random_uneq,wave,178,13,52,73,81
random_uneq,wave,179,9,21,59,70
random_uneq,wave,180,30,38,42,62
random_uneq,wave,181,32,34,83,91
random_uneq,wave,182,22,35,48,49
random_uneq,wave,183,21,73,87,93
random_uneq,wave,184,29,38,41,42
random_uneq,wave,185,20,61,82,90
random_uneq,wave,186,14,40,47,88
random_uneq,wave,187,28,29,43,82
random_uneq,wave,188,17,82,94,96
random_uneq,wave,189,32,91,92,97
random_uneq,wave,190,53,62,65,86
random_uneq,wave,191,25,66,81,83
random_uneq,wave,192,12,51,70,91
random_uneq,wave,193,18,35,62,64
random_uneq,wave,194,75,78,85,96
random_uneq,wave,195,5,8,23,79
random_uneq,wave,196,4,51,76,91
random_uneq,wave,197,39,70,74,75
random_uneq,wave,198,15,29,76,82
random_uneq,wave,199,25,30,71,91
random_uneq,wave,200,37,49,73,83
random_uneq,wave,201,2,48,73,76
random_uneq,wave,202,8,13,67,88
random_uneq,wave,203,23,56,81,89
random_uneq,wave,204,24,61,89,90
random_uneq,wave,205,9,39,44,53
random_uneq,wave,206,38,42,61,62
random_uneq,wave,207,13,22,24,49
random_uneq,wave,208,18,21,35,90
random_uneq,wave,209,11,37,80,97
random_uneq,wave,210,15,17,21,90
random_uneq,wave,211,14,53,81,88
random_uneq,wave,212,50,70,74,90
random_uneq,wave,213,11,23,29,82
random_uneq,wave,214,47,76,85,98
random_uneq,wave,215,21,51,56,59
random_uneq,wave,216,16,32,68,75
random_uneq,wave,217,18,42,51,76
random_uneq,wave,218,32,66,75,92
random_uneq,wave,219,23,33,83,99
random_uneq,wave,220,22,47,55,93
random_uneq,wave,221,8,16,19,73
random_uneq,wave,222,9,29,38,74
random_uneq,wave,223,5,62,66,86
random_uneq,wave,224,43,68,75,85
random_uneq,wave,225,22,23,89,98
random_uneq,wave,226,21,59,70,73
random_uneq,wave,227,75,80,89,96
random_uneq,wave,228,7,24,70,90
random_uneq,wave,229,14,16,31,91
random_uneq,wave,230,9,70,82,84
random_uneq,wave,231,4,9,53,93
random_uneq,wave,232,13,24,49,90
random_uneq,wave,233,23,40,47,56
random_uneq,wave,234,8,37,62,93
random_uneq,wave,235,17,59,74,94
random_uneq,wave,236,25,30,48,71
random_uneq,wave,237,30,67,82,90
random_uneq,wave,238,47,70,73,81
random_uneq,wave,239,9,66,67,92
random_uneq,wave,240,37,80,84,97
random_uneq,wave,241,16,22,93,100
random_uneq,wave,242,8,30,73,82
random_uneq,wave,243,14,42,59,68
random_uneq,wave,244,33,80,83,98
random_uneq,wave,245,17,21,24,90
random_uneq,wave,246,22,38,49,66
random_uneq,wave,247,15,56,74,90
random_uneq,wave,248,18,52,85,91
random_uneq,wave,249,22,72,82,93
random_uneq,wave,250,13,23,67,68
random_uneq,wave,251,13,59,70,94
random_uneq,wave,252,30,38,53,62
random_uneq,wave,253,4,14,23,89
random_uneq,wave,254,6,8,48,85
random_uneq,wave,255,5,29,51,84
random_uneq,wave,256,70,73,91,92
random_uneq,wave,257,10,29,87,98
random_uneq,wave,258,13,24,69,90
random_uneq,wave,259,17,22,24,47
random_uneq,wave,260,9,38,42,52
random_uneq,wave,261,13,31,37,52
random_uneq,wave,262,76,78,80,96
random_uneq,wave,263,8,36,80,98
random_uneq,wave,264,7,38,56,80
random_uneq,wave,265,25,35,48,56
random_uneq,wave,266,5,30,65,85
random_uneq,wave,267,1,64,69,80
random_uneq,wave,268,7,9,33,70
random_uneq,wave,269,14,47,87,88
random_uneq,wave,270,21,38,51,70
random_uneq,wave,271,5,23,67,76
random_uneq,wave,272,47,52,79,88
random_uneq,wave,273,37,55,61,90
random_uneq,wave,274,11,47,80,94
random_uneq,wave,275,38,52,66,73
random_uneq,wave,276,7,16,56,75
random_uneq,wave,277,5,14,84,88
random_uneq,wave,278,4,10,49,75
random_uneq,wave,279,8,12,21,34
random_uneq,wave,280,16,44,83,94
random_uneq,wave,281,9,37,69,81
random_uneq,wave,282,43,68,90,91
