pop,method,rep,idx1,idx2,idx3,idx4
clust_eq,srs,1,74,59,84,46
clust_eq,srs,2,33,90,47,30
clust_eq,srs,3,47,37,33,83
clust_eq,srs,4,14,35,61,77
clust_eq,srs,5,46,67,9,59
clust_eq,srs,6,59,82,22,93
clust_eq,srs,7,71,35,9,85
clust_eq,srs,8,71,12,91,62
clust_eq,srs,9,31,37,63,36
clust_eq,srs,10,99,22,12,64
clust_eq,srs,11,80,34,20,11
clust_eq,srs,12,51,25,94,32
clust_eq,srs,13,41,91,65,23
clust_eq,srs,14,93,98,82,56
clust_eq,srs,15,12,93,67,13
clust_eq,srs,16,90,2,37,11
clust_eq,srs,17,63,31,3,86
clust_eq,srs,18,41,59,79,2
clust_eq,srs,19,69,21,55,91
clust_eq,srs,20,53,30,28,33
clust_eq,srs,21,99,13,46,5
clust_eq,srs,22,12,2,54,58
clust_eq,srs,23,24,80,94,9
clust_eq,srs,24,15,8,9,89
clust_eq,srs,25,71,82,8,1
clust_eq,srs,26,92,49,85,51
clust_eq,srs,27,16,2,82,64
clust_eq,srs,28,88,53,67,17
clust_eq,srs,29,3,70,27,7
clust_eq,srs,30,84,95,55,36
clust_eq,srs,31,90,15,43,28
clust_eq,srs,32,70,74,72,23
clust_eq,srs,33,22,85,34,73
clust_eq,srs,34,36,15,33,70
clust_eq,srs,35,44,16,14,21
clust_eq,srs,36,51,70,93,91
clust_eq,srs,37,93,77,90,29
clust_eq,srs,38,20,21,89,56
clust_eq,srs,39,35,72,73,66
clust_eq,srs,40,72,63,51,93
clust_eq,srs,41,20,94,14,60
clust_eq,srs,42,49,58,81,89
clust_eq,srs,43,82,94,49,29
clust_eq,srs,44,99,40,23,97
clust_eq,srs,45,78,83,92,15
clust_eq,srs,46,21,80,27,3
clust_eq,srs,47,78,7,28,32
clust_eq,srs,48,21,64,7,29
clust_eq,srs,49,80,13,53,47
clust_eq,srs,50,52,54,36,30
clust_eq,srs,51,73,59,26,19
clust_eq,srs,52,19,88,95,9
clust_eq,srs,53,83,13,17,65
clust_eq,srs,54,60,2,68,24
clust_eq,srs,55,73,41,70,76
clust_eq,srs,56,64,59,9,50
clust_eq,srs,57,88,80,73,11
clust_eq,srs,58,23,70,73,21
clust_eq,srs,59,32,39,38,19
clust_eq,srs,60,90,29,7,28
clust_eq,srs,61,55,75,5,83
clust_eq,srs,62,21,14,91,44
clust_eq,srs,63,47,29,12,82
clust_eq,srs,64,81,14,87,79
clust_eq,srs,65,82,66,39,16
clust_eq,srs,66,21,20,51,29
clust_eq,srs,67,40,3,13,27
clust_eq,srs,68,30,71,81,72
clust_eq,srs,69,8,86,15,49
clust_eq,srs,70,38,70,20,19
clust_eq,srs,71,90,32,69,18
clust_eq,srs,72,23,62,66,58
clust_eq,srs,73,84,64,72,29
clust_eq,srs,74,19,75,22,51
clust_eq,srs,75,94,71,99,37
clust_eq,srs,76,82,16,40,93
clust_eq,srs,77,36,57,81,49
clust_eq,srs,78,34,47,58,37
clust_eq,srs,79,62,49,14,29
clust_eq,srs,80,78,21,48,12
clust_eq,srs,81,29,20,36,95
clust_eq,srs,82,29,65,13,25
clust_eq,srs,83,60,18,2,33
clust_eq,srs,84,24,88,23,34
clust_eq,srs,85,46,63,97,19
clust_eq,srs,86,53,45,3,12
clust_eq,srs,87,70,74,6,96
clust_eq,srs,88,25,60,72,11
clust_eq,srs,89,2,54,33,12
clust_eq,srs,90,18,76,77,87
clust_eq,srs,91,89,59,63,10
clust_eq,srs,92,36,59,41,65
clust_eq,srs,93,12,16,100,39
clust_eq,srs,94,62,77,27,15
clust_eq,srs,95,33,97,17,37
clust_eq,srs,96,44,75,93,16
clust_eq,srs,97,45,99,10,69
clust_eq,srs,98,10,46,15,87
clust_eq,srs,99,98,68,94,93
clust_eq,srs,100,49,59,71,21
clust_eq,srs,101,18,7,73,37
clust_eq,srs,102,21,76,35,16
clust_eq,srs,103,23,11,1,82
clust_eq,srs,104,10,62,86,79
clust_eq,srs,105,81,67,75,36
clust_eq,srs,106,56,76,85,13
clust_eq,srs,107,74,99,62,81
clust_eq,srs,108,33,61,31,84
clust_eq,srs,109,79,78,93,58
clust_eq,srs,110,15,92,96,46
clust_eq,srs,111,86,76,68,81
clust_eq,srs,112,73,35,9,87
clust_eq,srs,113,25,54,83,82
clust_eq,srs,114,98,41,39,31
clust_eq,srs,115,56,46,19,47
clust_eq,srs,116,15,29,66,34
clust_eq,srs,117,37,95,9,52
clust_eq,srs,118,34,23,64,37
clust_eq,srs,119,77,39,14,78
clust_eq,srs,120,33,82,20,53
clust_eq,srs,121,47,53,43,87
clust_eq,srs,122,41,68,56,92
clust_eq,srs,123,21,48,63,34
clust_eq,srs,124,88,18,66,20
clust_eq,srs,125,18,99,81,30
clust_eq,srs,126,30,5,93,78
clust_eq,srs,127,46,31,60,4
clust_eq,srs,128,13,82,84,57
clust_eq,srs,129,23,1,35,63
clust_eq,srs,130,96,73,85,47
clust_eq,srs,131,68,40,51,98
clust_eq,srs,132,48,91,45,95
clust_eq,srs,133,54,92,68,29
clust_eq,srs,134,53,39,22,74
clust_eq,srs,135,89,54,12,15
clust_eq,srs,136,7,9,69,8
clust_eq,srs,137,59,49,35,77
clust_eq,srs,138,54,20,28,32
clust_eq,srs,139,18,92,82,40
clust_eq,srs,140,34,18,83,24
clust_eq,srs,141,87,6,84,45
clust_eq,srs,142,86,83,88,59
clust_eq,srs,143,86,48,35,100
clust_eq,srs,144,52,86,59,20
clust_eq,srs,145,37,46,63,12
clust_eq,srs,146,61,37,67,17
clust_eq,srs,147,28,7,47,69
clust_eq,srs,148,63,61,25,21
clust_eq,srs,149,88,73,98,87
clust_eq,srs,150,34,71,44,20
clust_eq,srs,151,41,58,74,98
clust_eq,srs,152,53,96,48,41
clust_eq,srs,153,32,19,81,27
clust_eq,srs,154,97,37,25,45
clust_eq,srs,155,64,45,87,74
clust_eq,srs,156,100,23,48,92
clust_eq,srs,157,95,12,28,33
clust_eq,srs,158,63,7,2,83
clust_eq,srs,159,21,64,55,32
clust_eq,srs,160,8,2,54,78
clust_eq,srs,161,91,6,73,88
clust_eq,srs,162,3,51,98,73
clust_eq,srs,163,14,76,30,26
clust_eq,srs,164,69,75,99,54
clust_eq,srs,165,72,58,90,76
clust_eq,srs,166,59,11,18,22
clust_eq,srs,167,8,45,51,52
clust_eq,srs,168,99,38,18,97
clust_eq,srs,169,92,62,17,6
clust_eq,srs,170,19,5,17,42
clust_eq,srs,171,87,84,72,74
clust_eq,srs,172,62,72,98,80
clust_eq,srs,173,18,12,99,70
clust_eq,srs,174,64,7,56,89
clust_eq,srs,175,19,29,45,93
clust_eq,srs,176,91,71,66,83
clust_eq,srs,177,15,81,32,26
clust_eq,srs,178,89,62,12,83
clust_eq,srs,179,40,57,23,26
clust_eq,srs,180,31,67,25,84
clust_eq,srs,181,58,86,89,45
clust_eq,srs,182,39,11,32,43
clust_eq,srs,183,13,55,41,51
clust_eq,srs,184,16,83,32,17
clust_eq,srs,185,92,86,33,30
clust_eq,srs,186,16,35,58,8
clust_eq,srs,187,89,81,19,54
clust_eq,srs,188,11,43,7,98
clust_eq,srs,189,44,28,69,20
clust_eq,srs,190,33,25,1,49
clust_eq,srs,191,12,82,29,17
clust_eq,srs,192,22,43,8,83
clust_eq,srs,193,9,69,60,62
clust_eq,srs,194,2,38,63,91
