pop,method,rep,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8
clust_uneq,srs,1,47,46,85,91,95,86,70,94
clust_uneq,srs,2,5,41,72,78,85,51,99,82
clust_uneq,srs,3,2,83,44,36,40,64,29,22
clust_uneq,srs,4,70,14,54,87,42,76,48,46
clust_uneq,srs,5,6,72,81,27,33,52,67,88
clust_uneq,srs,6,37,9,81,36,59,90,10,48
clust_uneq,srs,7,13,23,86,63,2,14,50,33
clust_uneq,srs,8,92,53,27,35,20,100,23,21
clust_uneq,srs,9,3,5,53,74,9,83,82,2
clust_uneq,srs,10,49,55,83,40,36,57,65,12
clust_uneq,srs,11,67,33,83,90,85,69,37,88
clust_uneq,srs,12,44,89,31,98,46,69,97,75
clust_uneq,srs,13,69,21,91,62,87,54,92,28
clust_uneq,srs,14,59,44,12,48,76,39,25,16
clust_uneq,srs,15,19,97,81,62,100,48,52,58
clust_uneq,srs,16,49,60,99,1,90,50,88,65
clust_uneq,srs,17,92,31,72,25,87,3,66,59
clust_uneq,srs,18,59,76,73,10,6,24,34,18
clust_uneq,srs,19,22,48,24,52,78,13,50,97
clust_uneq,srs,20,27,12,79,88,2,100,29,13
clust_uneq,srs,21,50,3,56,82,98,64,58,86
clust_uneq,srs,22,96,5,79,11,94,66,42,36
clust_uneq,srs,23,71,56,49,50,91,75,64,57
clust_uneq,srs,24,16,41,99,87,81,49,32,50
clust_uneq,srs,25,99,62,85,20,41,75,3,83
clust_uneq,srs,26,31,98,81,68,33,35,83,46
clust_uneq,srs,27,96,60,94,41,77,76,37,25
clust_uneq,srs,28,56,5,2,42,67,70,53,57
clust_uneq,srs,29,83,52,13,63,67,29,27,37
clust_uneq,srs,30,16,62,88,96,86,89,72,47
clust_uneq,srs,31,64,16,42,9,66,98,12,96
clust_uneq,srs,32,26,5,24,44,45,50,55,95
clust_uneq,srs,33,56,20,63,42,57,10,50,83
clust_uneq,srs,34,45,24,96,90,64,81,60,61
clust_uneq,srs,35,45,17,93,24,58,89,3,71
clust_uneq,srs,36,86,30,65,54,41,74,28,33
clust_uneq,srs,37,99,28,55,36,53,48,73,38
clust_uneq,srs,38,99,43,9,42,98,85,11,82
clust_uneq,srs,39,48,93,100,73,8,54,90,4
clust_uneq,srs,40,11,40,37,93,90,91,79,9
clust_uneq,srs,41,65,94,45,43,75,35,22,56
clust_uneq,srs,42,76,93,45,29,71,24,77,6
clust_uneq,srs,43,78,13,5,97,34,64,85,79
clust_uneq,srs,44,5,50,94,78,53,70,57,39
clust_uneq,srs,45,1,84,70,39,20,43,71,10
clust_uneq,srs,46,56,19,34,52,51,59,33,25
clust_uneq,srs,47,85,14,77,15,29,49,70,64
clust_uneq,srs,48,41,57,21,20,19,92,38,36
clust_uneq,srs,49,100,65,99,87,89,82,52,79
clust_uneq,srs,50,37,84,83,7,66,57,3,95
clust_uneq,srs,51,61,12,56,22,58,95,98,33
clust_uneq,srs,52,68,49,7,62,1,64,86,46
clust_uneq,srs,53,61,48,68,67,83,57,85,86
clust_uneq,srs,54,38,68,67,57,4,5,87,21
clust_uneq,srs,55,63,29,15,95,74,32,64,35
clust_uneq,srs,56,85,65,21,92,75,80,99,10
clust_uneq,srs,57,54,26,10,39,37,84,81,86
clust_uneq,srs,58,74,36,29,99,53,38,43,62
clust_uneq,srs,59,70,34,21,59,98,93,36,2
clust_uneq,srs,60,87,16,81,91,73,33,42,5
clust_uneq,srs,61,29,8,39,81,48,82,55,96
clust_uneq,srs,62,40,66,32,42,83,19,15,81
clust_uneq,srs,63,98,50,46,91,15,86,70,25
clust_uneq,srs,64,13,74,35,9,88,50,7,18
clust_uneq,srs,65,28,49,39,38,48,18,71,13
clust_uneq,srs,66,93,15,99,25,40,72,49,90
clust_uneq,srs,67,47,96,98,45,39,73,1,69
clust_uneq,srs,68,57,14,41,27,63,19,56,58
clust_uneq,srs,69,58,54,15,19,93,59,55,51
clust_uneq,srs,70,1,59,81,28,88,3,70,49
clust_uneq,srs,71,17,16,75,67,36,71,61,89
clust_uneq,srs,72,62,2,55,46,20,13,58,94
clust_uneq,srs,73,16,56,63,65,23,48,68,9
clust_uneq,srs,74,93,4,31,76,6,3,90,83
clust_uneq,srs,75,84,18,17,71,59,98,31,70
clust_uneq,srs,76,27,97,14,38,85,99,81,21
clust_uneq,srs,77,91,56,60,24,71,7,95,34
clust_uneq,srs,78,39,44,87,27,65,75,82,91
clust_uneq,srs,79,77,13,79,11,85,95,75,19
