pop,method,rep,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8
clust_eq,lpm1,1,6,10,12,25,57,66,69,94
clust_eq,lpm1,2,17,20,33,39,42,48,80,88
clust_eq,lpm1,3,1,17,37,38,57,61,78,90
clust_eq,lpm1,4,1,23,26,28,38,45,51,69
clust_eq,lpm1,5,5,20,21,27,31,39,62,91
clust_eq,lpm1,6,8,10,37,47,72,81,82,96
clust_eq,lpm1,7,9,17,38,42,45,53,57,67
clust_eq,lpm1,8,55,57,60,79,83,93,95,97
clust_eq,lpm1,9,2,34,44,46,57,77,86,92
clust_eq,lpm1,10,21,28,41,46,51,63,64,93
clust_eq,lpm1,11,11,19,36,38,67,70,71,81
clust_eq,lpm1,12,1,16,24,38,51,88,91,94
clust_eq,lpm1,13,13,31,47,55,58,89,92,95
clust_eq,lpm1,14,14,22,36,44,51,60,63,87
clust_eq,lpm1,15,22,23,41,47,66,83,86,88
clust_eq,lpm1,16,57,64,68,77,81,82,88,96
clust_eq,lpm1,17,7,30,40,49,59,66,75,81
clust_eq,lpm1,18,12,23,35,49,68,91,98,99
clust_eq,lpm1,19,1,5,29,37,41,45,61,87
clust_eq,lpm1,20,14,31,40,42,65,74,75,77
clust_eq,lpm1,21,4,19,48,56,59,61,78,90
clust_eq,lpm1,22,19,21,53,62,86,88,98,99
clust_eq,lpm1,23,7,17,20,36,63,82,84,95
clust_eq,lpm1,24,2,27,28,31,43,59,67,70
clust_eq,lpm1,25,2,9,27,39,74,80,94,98
clust_eq,lpm1,26,8,13,22,34,52,74,90,92
clust_eq,lpm1,27,6,22,29,54,80,83,90,95
clust_eq,lpm1,28,9,17,40,45,57,65,67,90
clust_eq,lpm1,29,8,9,33,35,40,59,87,100
clust_eq,lpm1,30,22,24,41,49,71,77,81,98
clust_eq,lpm1,31,5,11,21,26,48,52,67,73
clust_eq,lpm1,32,17,21,44,63,79,83,99,100
clust_eq,lpm1,33,46,52,55,57,65,68,76,95
clust_eq,lpm1,34,1,6,18,21,32,45,58,66
clust_eq,lpm1,35,8,24,33,37,42,45,97,98
clust_eq,lpm1,36,8,22,30,46,57,83,95,97
clust_eq,lpm1,37,32,40,51,76,77,90,91,92
clust_eq,lpm1,38,7,10,11,17,31,60,62,95
clust_eq,lpm1,39,10,18,20,29,30,36,47,85
clust_eq,lpm1,40,21,37,49,53,55,88,94,99
clust_eq,lpm1,41,16,18,22,25,48,62,77,92
clust_eq,lpm1,42,1,3,14,33,48,49,88,98
clust_eq,lpm1,43,14,22,37,46,50,52,61,92
clust_eq,lpm1,44,4,9,34,61,68,70,79,87
clust_eq,lpm1,45,10,12,16,19,25,38,50,65
clust_eq,lpm1,46,1,9,21,23,31,43,67,76
clust_eq,lpm1,47,9,13,19,44,53,58,83,90
