pop,method,rep,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx10,idx11,idx12,idx13,idx14,idx15,idx16
swiss_eq_fake_N=100,wave,1,20,32,35,41,51,54,55,62,65,66,73,85,89,91,95,97
swiss_eq_fake_N=100,wave,2,27,31,37,38,39,42,53,57,67,71,74,76,78,80,92,93
swiss_eq_fake_N=100,wave,3,3,8,17,22,28,37,41,50,65,79,82,84,90,91,99,100
swiss_eq_fake_N=100,wave,4,11,13,16,19,22,32,39,46,51,66,68,73,76,83,85,96
swiss_eq_fake_N=100,wave,5,25,27,29,34,40,51,57,63,67,68,69,72,80,82,92,96
swiss_eq_fake_N=100,wave,6,1,2,5,6,25,27,30,32,42,44,49,64,80,86,93,96
swiss_eq_fake_N=100,wave,7,3,6,8,16,17,28,38,50,59,62,68,71,73,79,88,90
swiss_eq_fake_N=100,wave,8,40,42,43,45,47,52,53,56,58,63,66,75,77,78,82,87
swiss_eq_fake_N=100,wave,9,31,38,44,46,47,51,53,57,61,67,73,76,78,79,87,93
swiss_eq_fake_N=100,wave,10,2,5,10,12,37,48,52,53,59,64,67,70,75,82,84,92
swiss_eq_fake_N=100,wave,11,20,25,30,31,40,50,51,53,65,72,74,82,89,91,92,98
swiss_eq_fake_N=100,wave,12,3,8,12,14,19,28,50,53,56,59,61,62,71,84,98,100
swiss_eq_fake_N=100,wave,13,14,18,21,27,35,36,39,42,43,57,60,76,78,93,99,100
swiss_eq_fake_N=100,wave,14,1,2,6,7,20,24,38,42,51,52,53,60,71,73,83,88
swiss_eq_fake_N=100,wave,15,2,4,11,16,22,26,32,39,42,46,56,57,65,76,83,85
swiss_eq_fake_N=100,wave,16,9,14,31,36,38,50,51,53,57,64,74,75,80,87,92,93
swiss_eq_fake_N=100,wave,17,1,7,17,24,25,51,52,65,71,85,88,94,97,98,99,100
swiss_eq_fake_N=100,wave,18,15,27,29,32,39,40,57,61,63,69,72,77,85,86,92,99
swiss_eq_fake_N=100,wave,19,2,9,23,26,38,48,53,56,59,63,67,70,71,83,87,97
swiss_eq_fake_N=100,wave,20,13,22,26,30,31,33,36,48,59,62,65,83,85,87,90,97
swiss_eq_fake_N=100,wave,21,5,18,21,24,36,37,42,43,45,52,68,75,76,84,93,96
swiss_eq_fake_N=100,wave,22,9,14,17,22,24,36,47,49,51,60,63,74,79,85,86,90
swiss_eq_fake_N=100,wave,23,3,11,12,18,23,32,35,37,48,70,73,79,84,86,87,91
swiss_eq_fake_N=100,wave,24,7,14,17,31,38,41,53,55,57,62,71,76,81,92,93,99
