pop,method,rep,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx10,idx11,idx12,idx13,idx14,idx15,idx16
swiss_uneq_fake_N=100,wave,1,7,10,18,20,31,43,45,52,65,66,67,83,85,89,95,97
swiss_uneq_fake_N=100,wave,2,7,8,10,18,42,43,46,65,66,67,75,80,85,86,95,100
swiss_uneq_fake_N=100,wave,3,4,7,8,10,12,15,18,43,46,65,66,67,72,75,80,89
swiss_uneq_fake_N=100,wave,4,4,7,10,11,14,18,23,31,42,43,62,65,66,67,81,83
swiss_uneq_fake_N=100,wave,5,4,7,10,11,14,18,20,23,42,43,62,65,66,77,83,89
swiss_uneq_fake_N=100,wave,6,7,10,11,18,20,31,40,42,43,50,66,67,71,83,89,90
swiss_uneq_fake_N=100,wave,7,7,10,18,20,21,22,31,43,65,66,70,80,83,84,89,97
swiss_uneq_fake_N=100,wave,8,7,8,10,11,18,20,23,27,31,35,43,46,65,66,67,90
swiss_uneq_fake_N=100,wave,9,7,10,18,20,21,31,42,43,46,50,65,66,67,75,88,92
swiss_uneq_fake_N=100,wave,10,7,10,14,18,30,42,43,50,60,65,66,75,77,88,89,90
swiss_uneq_fake_N=100,wave,11,7,10,11,13,18,23,35,43,46,56,65,66,81,89,90,95
swiss_uneq_fake_N=100,wave,12,7,10,18,20,31,43,44,45,46,65,66,67,75,85,89,90
swiss_uneq_fake_N=100,wave,13,7,8,10,16,18,23,42,43,62,65,66,75,80,89,90,97
swiss_uneq_fake_N=100,wave,14,7,10,18,20,34,43,45,46,52,61,66,67,72,88,89,96
swiss_uneq_fake_N=100,wave,15,7,8,10,18,34,42,43,44,62,65,66,67,80,83,97,100
swiss_uneq_fake_N=100,wave,16,7,10,11,12,18,42,43,46,65,66,67,77,81,85,89,99
swiss_uneq_fake_N=100,wave,17,1,7,10,13,14,18,20,23,33,43,65,66,75,80,89,90
swiss_uneq_fake_N=100,wave,18,7,10,11,18,23,43,45,46,66,67,71,74,76,79,90,95
swiss_uneq_fake_N=100,wave,19,7,10,13,18,20,43,46,65,66,72,75,77,85,89,90,95
swiss_uneq_fake_N=100,wave,20,7,8,10,11,14,15,16,18,20,23,43,66,67,83,90,96
swiss_uneq_fake_N=100,wave,21,2,7,10,11,18,27,43,46,57,65,66,67,85,87,88,89
swiss_uneq_fake_N=100,wave,22,7,10,12,18,21,28,31,43,45,46,50,65,66,67,75,80
swiss_uneq_fake_N=100,wave,23,7,8,10,18,20,21,23,42,43,46,56,65,66,67,72,75
swiss_uneq_fake_N=100,wave,24,7,10,14,18,20,23,41,43,56,62,65,66,67,81,89,90
swiss_uneq_fake_N=100,wave,25,7,10,11,14,18,23,31,42,43,47,62,66,81,83,89,90
swiss_uneq_fake_N=100,wave,26,5,7,10,11,14,18,20,23,28,35,43,65,66,67,70,89
swiss_uneq_fake_N=100,wave,27,7,8,10,14,17,18,20,23,31,43,47,66,67,89,90,98
swiss_uneq_fake_N=100,wave,28,6,7,10,11,18,23,28,43,45,65,66,67,83,84,89,91
swiss_uneq_fake_N=100,wave,29,4,7,10,11,18,20,35,42,43,46,66,67,72,77,88,89
swiss_uneq_fake_N=100,wave,30,4,7,10,14,18,20,23,42,43,60,62,65,66,67,83,89
swiss_uneq_fake_N=100,wave,31,5,7,10,18,20,35,43,46,60,66,67,71,81,82,89,90
swiss_uneq_fake_N=100,wave,32,7,9,10,11,14,18,23,27,43,45,65,66,67,77,89,95
swiss_uneq_fake_N=100,wave,33,2,4,7,8,9,10,14,15,18,23,43,56,66,67,75,80
swiss_uneq_fake_N=100,wave,34,1,4,7,10,11,14,18,20,23,43,45,56,66,67,83,89
swiss_uneq_fake_N=100,wave,35,7,10,14,18,23,32,43,45,48,56,62,65,66,75,80,89
swiss_uneq_fake_N=100,wave,36,7,10,11,18,20,43,45,66,67,71,72,76,88,90,97,98
swiss_uneq_fake_N=100,wave,37,7,10,11,14,16,18,29,34,42,43,62,66,67,83,89,90
swiss_uneq_fake_N=100,wave,38,7,10,11,18,20,42,43,46,66,71,75,81,85,89,90,92
swiss_uneq_fake_N=100,wave,39,7,8,10,11,18,20,23,42,43,46,56,65,66,67,69,83
swiss_uneq_fake_N=100,wave,40,7,10,14,18,31,43,45,65,66,67,72,75,76,80,88,89
swiss_uneq_fake_N=100,wave,41,5,7,10,11,13,14,16,18,43,51,65,66,67,76,88,89
swiss_uneq_fake_N=100,wave,42,7,9,10,18,20,23,31,37,43,45,65,66,67,83,89,90
swiss_uneq_fake_N=100,wave,43,7,10,18,28,31,43,45,65,66,67,80,83,84,85,89,97
swiss_uneq_fake_N=100,wave,44,5,7,8,10,14,18,35,42,43,60,65,66,82,89,90,99
