"pop","method","rep","idx1","idx2","idx3","idx4"
"swiss_eq_fake_N=100","wave",1,10,11,65,79
"swiss_eq_fake_N=100","wave",2,15,44,49,95
"swiss_eq_fake_N=100","wave",3,15,17,90,91
"swiss_eq_fake_N=100","wave",4,4,30,35,76
"swiss_eq_fake_N=100","wave",5,1,14,27,91
"swiss_eq_fake_N=100","wave",6,21,25,29,75
"swiss_eq_fake_N=100","wave",7,54,57,62,83
"swiss_eq_fake_N=100","wave",8,4,17,30,62
"swiss_eq_fake_N=100","wave",9,14,36,55,80
"swiss_eq_fake_N=100","wave",10,19,24,72,97
"swiss_eq_fake_N=100","wave",11,19,68,74,97
"swiss_eq_fake_N=100","wave",12,21,54,62,75
"swiss_eq_fake_N=100","wave",13,29,37,67,98
"swiss_eq_fake_N=100","wave",14,47,51,67,75
"swiss_eq_fake_N=100","wave",15,27,62,88,96
"swiss_eq_fake_N=100","wave",16,11,21,28,56
"swiss_eq_fake_N=100","wave",17,49,81,86,93
"swiss_eq_fake_N=100","wave",18,37,69,79,100
"swiss_eq_fake_N=100","wave",19,3,73,83,95
"swiss_eq_fake_N=100","wave",20,51,61,62,64
"swiss_eq_fake_N=100","wave",21,8,17,21,40
"swiss_eq_fake_N=100","wave",22,1,27,29,89
"swiss_eq_fake_N=100","wave",23,30,31,53,78
"swiss_eq_fake_N=100","wave",24,40,47,70,75
"swiss_eq_fake_N=100","wave",25,5,26,91,95
"swiss_eq_fake_N=100","wave",26,41,54,62,86
"swiss_eq_fake_N=100","wave",27,31,44,67,85
"swiss_eq_fake_N=100","wave",28,3,9,72,86
"swiss_eq_fake_N=100","wave",29,37,43,55,82
"swiss_eq_fake_N=100","wave",30,30,78,95,99
"swiss_eq_fake_N=100","wave",31,48,49,73,89
"swiss_eq_fake_N=100","wave",32,15,56,59,95
"swiss_eq_fake_N=100","wave",33,13,82,84,99
"swiss_eq_fake_N=100","wave",34,25,41,71,94
"swiss_eq_fake_N=100","wave",35,14,68,72,86
"swiss_eq_fake_N=100","wave",36,22,48,74,85
"swiss_eq_fake_N=100","wave",37,18,42,46,99
"swiss_eq_fake_N=100","wave",38,24,33,50,68
"swiss_eq_fake_N=100","wave",39,49,86,88,98
"swiss_eq_fake_N=100","wave",40,16,18,28,57
"swiss_eq_fake_N=100","wave",41,21,42,68,72
"swiss_eq_fake_N=100","wave",42,20,42,52,69
"swiss_eq_fake_N=100","wave",43,28,32,59,71
"swiss_eq_fake_N=100","wave",44,17,30,59,88
"swiss_eq_fake_N=100","wave",45,55,60,63,96
"swiss_eq_fake_N=100","wave",46,6,48,60,65
"swiss_eq_fake_N=100","wave",47,27,56,62,95
"swiss_eq_fake_N=100","wave",48,13,22,37,74
"swiss_eq_fake_N=100","wave",49,21,44,56,85
"swiss_eq_fake_N=100","wave",50,25,41,71,97
"swiss_eq_fake_N=100","wave",51,3,22,74,99
"swiss_eq_fake_N=100","wave",52,29,48,60,94
