pop,method,rep,idx1,idx2,idx3,idx4
swiss_uneq_fake_N=100,wave,1,18,20,42,43
swiss_uneq_fake_N=100,wave,2,18,21,28,99
swiss_uneq_fake_N=100,wave,3,10,23,53,66
swiss_uneq_fake_N=100,wave,4,43,45,46,99
swiss_uneq_fake_N=100,wave,5,10,20,23,67
swiss_uneq_fake_N=100,wave,6,8,20,65,89
swiss_uneq_fake_N=100,wave,7,9,11,18,89
swiss_uneq_fake_N=100,wave,8,7,21,29,66
swiss_uneq_fake_N=100,wave,9,4,7,61,66
swiss_uneq_fake_N=100,wave,10,18,20,45,67
swiss_uneq_fake_N=100,wave,11,10,14,66,89
swiss_uneq_fake_N=100,wave,12,10,14,43,79
swiss_uneq_fake_N=100,wave,13,10,11,46,67
swiss_uneq_fake_N=100,wave,14,4,7,42,80
swiss_uneq_fake_N=100,wave,15,10,43,62,98
swiss_uneq_fake_N=100,wave,16,10,13,63,67
swiss_uneq_fake_N=100,wave,17,20,45,64,89
swiss_uneq_fake_N=100,wave,18,10,11,25,43
swiss_uneq_fake_N=100,wave,19,10,27,67,90
swiss_uneq_fake_N=100,wave,20,23,66,67,96
swiss_uneq_fake_N=100,wave,21,11,31,65,67
swiss_uneq_fake_N=100,wave,22,10,58,66,89
swiss_uneq_fake_N=100,wave,23,23,66,68,89
swiss_uneq_fake_N=100,wave,24,11,14,65,89
swiss_uneq_fake_N=100,wave,25,14,31,42,43
swiss_uneq_fake_N=100,wave,26,18,20,45,67
swiss_uneq_fake_N=100,wave,27,7,11,18,25
swiss_uneq_fake_N=100,wave,28,23,43,66,100
swiss_uneq_fake_N=100,wave,29,7,18,66,99
swiss_uneq_fake_N=100,wave,30,23,43,65,66
swiss_uneq_fake_N=100,wave,31,7,10,46,75
swiss_uneq_fake_N=100,wave,32,7,18,45,99
swiss_uneq_fake_N=100,wave,33,47,62,75,89
swiss_uneq_fake_N=100,wave,34,10,45,74,89
swiss_uneq_fake_N=100,wave,35,5,16,18,67
swiss_uneq_fake_N=100,wave,36,10,23,66,89
swiss_uneq_fake_N=100,wave,37,18,42,89,92
