"pop","method","rep","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8"
"swiss_eq_fake_N=100","wave",1,1,5,21,38,54,60,70,100
"swiss_eq_fake_N=100","wave",2,6,15,20,36,64,66,72,75
"swiss_eq_fake_N=100","wave",3,14,22,32,44,70,74,79,96
"swiss_eq_fake_N=100","wave",4,10,27,53,58,81,92,97,99
"swiss_eq_fake_N=100","wave",5,2,8,20,55,60,65,88,94
"swiss_eq_fake_N=100","wave",6,8,10,26,35,46,55,68,89
"swiss_eq_fake_N=100","wave",7,7,30,41,50,58,63,65,68
"swiss_eq_fake_N=100","wave",8,4,23,27,28,56,66,75,84
"swiss_eq_fake_N=100","wave",9,16,34,35,43,62,66,91,95
"swiss_eq_fake_N=100","wave",10,2,19,33,42,70,75,76,85
"swiss_eq_fake_N=100","wave",11,52,54,61,62,68,78,90,96
"swiss_eq_fake_N=100","wave",12,11,22,39,45,78,90,91,97
"swiss_eq_fake_N=100","wave",13,5,9,11,22,24,43,47,68
"swiss_eq_fake_N=100","wave",14,24,37,38,55,61,68,73,88
"swiss_eq_fake_N=100","wave",15,2,4,9,60,79,81,93,96
"swiss_eq_fake_N=100","wave",16,14,27,36,43,44,81,82,99
"swiss_eq_fake_N=100","wave",17,10,24,33,41,50,82,84,89
"swiss_eq_fake_N=100","wave",18,3,6,7,41,48,50,53,77
"swiss_eq_fake_N=100","wave",19,2,5,20,33,64,70,76,86
"swiss_eq_fake_N=100","wave",20,2,21,23,45,55,60,65,84
"swiss_eq_fake_N=100","wave",21,8,33,58,65,68,82,92,98
"swiss_eq_fake_N=100","wave",22,15,16,32,36,46,47,66,75
"swiss_eq_fake_N=100","wave",23,1,41,45,50,71,74,89,95
"swiss_eq_fake_N=100","wave",24,26,51,56,62,69,79,82,87
"swiss_eq_fake_N=100","wave",25,20,27,32,36,37,66,69,85
"swiss_eq_fake_N=100","wave",26,1,13,17,19,33,54,80,91
"swiss_eq_fake_N=100","wave",27,10,12,13,17,58,59,67,87
"swiss_eq_fake_N=100","wave",28,17,29,37,48,52,90,93,100
"swiss_eq_fake_N=100","wave",29,35,42,50,52,56,63,84,86
"swiss_eq_fake_N=100","wave",30,2,13,17,18,25,46,88,94
"swiss_eq_fake_N=100","wave",31,22,24,27,28,38,40,68,94
"swiss_eq_fake_N=100","wave",32,31,43,46,50,51,73,75,95
"swiss_eq_fake_N=100","wave",33,38,46,48,52,54,74,85,90
"swiss_eq_fake_N=100","wave",34,29,43,46,53,56,66,79,87
"swiss_eq_fake_N=100","wave",35,8,21,26,34,37,43,49,75
"swiss_eq_fake_N=100","wave",36,6,48,50,52,74,89,95,96
"swiss_eq_fake_N=100","wave",37,8,25,49,65,75,82,92,94
"swiss_eq_fake_N=100","wave",38,2,4,13,14,25,30,80,82
"swiss_eq_fake_N=100","wave",39,20,28,38,52,71,73,78,95
"swiss_eq_fake_N=100","wave",40,1,8,16,27,43,44,54,56
"swiss_eq_fake_N=100","wave",41,12,15,32,47,57,61,72,100
"swiss_eq_fake_N=100","wave",42,14,22,24,31,34,61,86,94
"swiss_eq_fake_N=100","wave",43,22,28,45,59,83,91,94,97
"swiss_eq_fake_N=100","wave",44,19,30,44,58,77,79,95,97
"swiss_eq_fake_N=100","wave",45,3,37,39,55,67,74,88,96
"swiss_eq_fake_N=100","wave",46,1,24,32,41,50,63,71,100
"swiss_eq_fake_N=100","wave",47,17,31,33,41,64,70,76,86
"swiss_eq_fake_N=100","wave",48,34,54,57,61,69,84,91,94
"swiss_eq_fake_N=100","wave",49,19,39,44,46,55,77,81,95
"swiss_eq_fake_N=100","wave",50,20,22,34,57,67,97,98,100
"swiss_eq_fake_N=100","wave",51,30,48,54,60,63,72,83,90
"swiss_eq_fake_N=100","wave",52,8,21,35,47,60,84,88,100
"swiss_eq_fake_N=100","wave",53,5,9,11,38,53,54,81,100
"swiss_eq_fake_N=100","wave",54,5,12,21,39,45,60,65,100
"swiss_eq_fake_N=100","wave",55,6,15,20,57,64,73,75,96
"swiss_eq_fake_N=100","wave",56,10,11,42,62,78,89,95,100
"swiss_eq_fake_N=100","wave",57,3,33,48,54,56,80,83,86
"swiss_eq_fake_N=100","wave",58,46,49,65,79,81,82,92,94
"swiss_eq_fake_N=100","wave",59,7,14,24,48,50,64,75,91
"swiss_eq_fake_N=100","wave",60,20,43,56,58,79,92,95,97
"swiss_eq_fake_N=100","wave",61,3,18,46,48,61,85,90,100
"swiss_eq_fake_N=100","wave",62,1,11,63,70,71,78,88,100
"swiss_eq_fake_N=100","wave",63,21,26,27,37,48,65,77,82
"swiss_eq_fake_N=100","wave",64,2,7,29,45,53,85,97,98
"swiss_eq_fake_N=100","wave",65,22,38,60,68,81,83,94,97
"swiss_eq_fake_N=100","wave",66,6,20,32,34,57,61,64,77
"swiss_eq_fake_N=100","wave",67,10,12,23,52,55,57,87,89
"swiss_eq_fake_N=100","wave",68,9,12,21,24,38,59,79,100
"swiss_eq_fake_N=100","wave",69,14,29,38,85,92,94,98,100
"swiss_eq_fake_N=100","wave",70,9,12,21,27,65,66,73,99
"swiss_eq_fake_N=100","wave",71,5,6,7,60,70,76,91,95
"swiss_eq_fake_N=100","wave",72,15,16,29,37,41,43,85,95
"swiss_eq_fake_N=100","wave",73,13,47,59,63,68,72,76,89
"swiss_eq_fake_N=100","wave",74,13,20,21,39,65,77,83,88
"swiss_eq_fake_N=100","wave",75,16,24,35,39,55,56,82,89
"swiss_eq_fake_N=100","wave",76,19,24,28,33,41,50,54,87
"swiss_eq_fake_N=100","wave",77,6,36,44,45,69,72,74,76
"swiss_eq_fake_N=100","wave",78,11,28,46,64,70,78,89,91
"swiss_eq_fake_N=100","wave",79,26,48,52,63,78,87,90,91
"swiss_eq_fake_N=100","wave",80,6,30,34,36,49,58,69,75
"swiss_eq_fake_N=100","wave",81,2,22,62,65,72,81,92,98
"swiss_eq_fake_N=100","wave",82,15,31,48,60,65,83,88,97
"swiss_eq_fake_N=100","wave",83,16,19,62,66,72,73,95,98
"swiss_eq_fake_N=100","wave",84,15,17,24,46,54,60,90,100
"swiss_eq_fake_N=100","wave",85,25,29,33,41,49,50,66,86
"swiss_eq_fake_N=100","wave",86,2,11,28,57,71,78,86,97
"swiss_eq_fake_N=100","wave",87,9,11,19,31,54,63,78,81
"swiss_eq_fake_N=100","wave",88,5,9,21,29,51,52,65,68
"swiss_eq_fake_N=100","wave",89,3,4,14,28,49,54,56,75
"swiss_eq_fake_N=100","wave",90,8,16,37,52,54,56,76,90
"swiss_eq_fake_N=100","wave",91,11,19,30,34,53,73,84,100
"swiss_eq_fake_N=100","wave",92,3,12,17,51,89,91,97,99
"swiss_eq_fake_N=100","wave",93,2,26,34,43,52,53,71,84
"swiss_eq_fake_N=100","wave",94,5,6,11,22,25,30,47,89
