pop,method,rep,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8
swiss_uneq_fake_N=100,wave,1,10,17,18,20,46,66,89,90
swiss_uneq_fake_N=100,wave,2,2,7,10,11,18,45,46,89
swiss_uneq_fake_N=100,wave,3,10,18,43,45,67,72,80,88
swiss_uneq_fake_N=100,wave,4,7,18,21,35,43,56,66,85
swiss_uneq_fake_N=100,wave,5,62,65,66,71,80,83,89,90
swiss_uneq_fake_N=100,wave,6,4,10,42,61,65,66,67,85
swiss_uneq_fake_N=100,wave,7,7,10,14,18,43,55,66,80
swiss_uneq_fake_N=100,wave,8,2,7,22,34,43,65,66,80
swiss_uneq_fake_N=100,wave,9,7,20,42,50,65,66,67,95
swiss_uneq_fake_N=100,wave,10,10,18,42,43,46,60,67,85
swiss_uneq_fake_N=100,wave,11,20,27,31,43,45,46,65,67
swiss_uneq_fake_N=100,wave,12,4,20,46,65,66,71,83,89
swiss_uneq_fake_N=100,wave,13,10,18,31,43,66,67,75,88
swiss_uneq_fake_N=100,wave,14,3,7,10,42,43,62,80,90
swiss_uneq_fake_N=100,wave,15,10,18,43,66,67,80,83,85
swiss_uneq_fake_N=100,wave,16,7,10,27,43,46,65,66,85
swiss_uneq_fake_N=100,wave,17,7,40,43,65,66,71,72,87
swiss_uneq_fake_N=100,wave,18,18,22,66,67,75,76,77,90
swiss_uneq_fake_N=100,wave,19,10,11,18,43,66,67,76,85
swiss_uneq_fake_N=100,wave,20,20,43,46,48,65,66,67,77
swiss_uneq_fake_N=100,wave,21,7,8,10,18,21,43,60,85
swiss_uneq_fake_N=100,wave,22,7,11,31,43,45,65,85,95
swiss_uneq_fake_N=100,wave,23,10,18,20,43,45,46,67,75
swiss_uneq_fake_N=100,wave,24,7,18,20,42,46,66,72,96
swiss_uneq_fake_N=100,wave,25,7,8,9,50,56,60,65,90
swiss_uneq_fake_N=100,wave,26,7,22,35,37,42,43,65,66
swiss_uneq_fake_N=100,wave,27,10,18,27,46,66,67,81,99
swiss_uneq_fake_N=100,wave,28,7,10,43,45,46,65,75,90
swiss_uneq_fake_N=100,wave,29,3,10,14,18,67,81,88,99
swiss_uneq_fake_N=100,wave,30,7,10,18,25,46,66,67,75
swiss_uneq_fake_N=100,wave,31,7,10,18,42,43,60,83,100
swiss_uneq_fake_N=100,wave,32,4,7,23,31,35,43,45,65
swiss_uneq_fake_N=100,wave,33,4,20,27,31,54,65,67,76
swiss_uneq_fake_N=100,wave,34,10,17,18,20,42,43,66,67
swiss_uneq_fake_N=100,wave,35,4,8,31,60,65,67,76,83
swiss_uneq_fake_N=100,wave,36,5,7,8,31,37,43,60,65
swiss_uneq_fake_N=100,wave,37,2,42,43,65,66,67,80,88
swiss_uneq_fake_N=100,wave,38,8,10,11,14,18,23,43,67
swiss_uneq_fake_N=100,wave,39,4,20,35,45,65,77,88,89
swiss_uneq_fake_N=100,wave,40,7,10,18,20,46,66,67,83
swiss_uneq_fake_N=100,wave,41,14,18,20,50,52,65,89,90
swiss_uneq_fake_N=100,wave,42,5,10,18,37,43,66,67,80
swiss_uneq_fake_N=100,wave,43,10,18,30,41,43,50,67,97
swiss_uneq_fake_N=100,wave,44,10,18,28,43,46,66,67,75
swiss_uneq_fake_N=100,wave,45,7,10,18,20,30,42,43,85
swiss_uneq_fake_N=100,wave,46,10,23,35,65,66,67,90,95
swiss_uneq_fake_N=100,wave,47,4,7,25,65,87,88,89,98
swiss_uneq_fake_N=100,wave,48,7,18,42,43,66,80,85,97
swiss_uneq_fake_N=100,wave,49,7,34,38,43,59,66,71,95
swiss_uneq_fake_N=100,wave,50,11,14,18,23,36,43,45,67
swiss_uneq_fake_N=100,wave,51,10,18,23,43,45,46,67,80
swiss_uneq_fake_N=100,wave,52,31,42,46,54,65,66,67,80
swiss_uneq_fake_N=100,wave,53,7,10,18,42,60,72,89,90
swiss_uneq_fake_N=100,wave,54,3,5,7,18,31,43,46,51
swiss_uneq_fake_N=100,wave,55,5,9,10,18,20,43,66,67
swiss_uneq_fake_N=100,wave,56,10,18,23,31,43,66,67,75
swiss_uneq_fake_N=100,wave,57,10,43,65,66,67,75,76,88
swiss_uneq_fake_N=100,wave,58,7,10,17,18,44,67,81,97
